순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'058610,신,에스피지,"76,800",▼,"-5,000","-6.11","3,674,041","77.25","16.57%","304,307"
2,'475150,,SK이터닉스,"41,800",▼,"-1,650","-3.80","6,447,004","108.09","18.93%","289,649"
3,'036930,신,주성엔지니어링,"98,300",▼,"-17,800","-15.33","2,738,918","123.73","5.90%","282,263"
4,'051900,신,LG생활건강,"292,000",▲,"29,000","+11.03","798,672","304.06","5.34%","236,889"
5,'277810,신,레인보우로보틱스,"373,000",▼,"-37,500","-9.14","550,903","82.69","2.84%","220,357"
6,'003230,신,삼양식품,"1,243,000",▲,"23,000","+1.89","172,285","74.88","2.29%","216,003"
7,'214450,신,파마리서치,"348,000",▼,"-43,000","-11.00","460,385","72.83","4.44%","164,869"
8,'090430,신,아모레퍼시픽,"134,000",▲,"12,100","+9.93","1,270,865","193.54","2.18%","163,828"
9,'086520,신,에코프로,"70,600",▲,"3,200","+4.75","2,293,297","98.91","1.69%","161,504"
10,'073240,신,금호타이어,"6,080",▲,"480","+8.57","25,849,317","223.74","9.00%","160,676"
11,'0039P0,,매드업,"6,600",▲,"680","+11.49","18,489,190","305.98","98.31%","124,712"
12,'080220,신,제주반도체,"50,100",▼,"-5,000","-9.07","2,168,108","74.24","6.30%","113,712"
13,'483650,,달바글로벌,"233,500",▼,"-31,500","-11.89","466,758","63.10","3.74%","113,592"
14,'010060,신,OCI홀딩스,"175,400",▲,"5,300","+3.12","588,740","81.40","3.16%","106,536"
15,'240810,신,원익IPS,"76,300",▼,"-6,900","-8.29","1,324,108","71.10","2.70%","104,739"
16,'352820,신,하이브,"163,000",▼,"-7,300","-4.29","607,046","42.05","1.41%","100,650"
17,'353200,신,대덕전자,"74,500",▼,"-6,400","-7.91","1,324,252","80.89","2.68%","100,579"
18,'007660,신,이수페타시스,"59,200",▼,"-4,800","-7.50","1,612,160","98.90","2.20%","98,116"
19,'267270,신,HD건설기계,"114,200",▼,"-4,100","-3.47","797,184","108.03","1.67%","95,231"
20,'009830,신,한화솔루션,"23,500",▲,"650","+2.84","3,895,563","58.67","2.27%","92,658"
21,'028050,신,삼성E&A,"41,000",▲,"1,250","+3.14","2,197,995","75.84","1.13%","91,020"
22,'455900,주,엔젤로보틱스,"19,050",▼,"-1,600","-7.75","4,086,270","590.89","26.55%","89,878"
23,'319660,신,피에스케이,"101,400",▼,"-13,500","-11.75","856,887","74.92","2.96%","89,665"
24,'095610,신,테스,"100,000",▼,"-14,300","-12.51","808,743","70.22","4.18%","85,721"
25,'307950,신,현대오토에버,"315,500",▼,"-22,500","-6.66","250,480","83.95","0.92%","81,608"
26,'004170,신,신세계,"396,000",▼,"-48,500","-10.91","192,374","119.50","2.04%","79,063"
27,'119850,신,지엔씨에너지,"29,750",▲,"1,150","+4.02","2,455,134","144.07","14.93%","75,713"
28,'006340,신,대원전선,"10,320",▼,"-730","-6.61","7,028,436","44.04","8.97%","75,341"
29,'108490,신,로보티즈,"158,400",▼,"-15,000","-8.65","424,046","68.65","2.90%","70,507"
30,'247540,신,에코프로비엠,"96,500",▲,"3,900","+4.21","700,296","75.85","0.72%","67,663"
31,'047040,신,대우건설,"11,200",▼,"-820","-6.82","5,597,900","100.54","1.37%","64,798"
32,'016360,신,삼성증권,"90,300",▲,"2,400","+2.73","699,648","72.23","0.79%","63,962"
33,'000720,신,현대건설,"81,700",▼,"-2,900","-3.43","759,553","65.69","0.69%","63,846"
34,'078930,신,GS,"86,500",▲,"2,400","+2.85","712,286","118.63","0.77%","63,220"
35,'319400,주,현대무벡스,"19,350",▼,"-4,100","-17.48","2,995,870","39.53","2.69%","62,976"
36,'001440,신,대한전선,"20,800",▼,"-1,400","-6.31","2,898,187","85.97","1.48%","61,950"
37,'222800,신,심텍,"63,800",▼,"-4,800","-7.00","926,620","67.48","2.48%","60,656"
38,'006360,신,GS건설,"22,250",▲,"50","+0.23","2,571,340","50.35","3.01%","59,217"
39,'039490,신,키움증권,"258,500",▲,"2,000","+0.78","218,657","93.39","0.84%","57,428"
40,'003490,신,대한항공,"24,650",▼,"-150","-0.60","2,286,717","71.76","0.63%","56,794"
41,'089970,신,브이엠,"50,600",▼,"-6,500","-11.38","1,071,837","71.33","4.08%","56,578"
42,'006260,신,LS,"223,500",▼,"-20,000","-8.21","239,854","80.47","0.77%","56,107"
43,'062040,신,산일전기,"120,800",▼,"-7,000","-5.48","448,982","64.74","1.47%","55,840"
44,'403870,신,HPSP,"28,550",▼,"-1,100","-3.71","1,910,322","57.83","2.33%","55,740"
45,'000500,신,가온전선,"107,600",▼,"-14,800","-12.09","485,995","55.72","1.64%","55,577"
46,'000990,신,DB하이텍,"71,200",▼,"-3,700","-4.94","755,839","73.63","1.74%","54,162"
47,'058470,신,리노공업,"55,200",▼,"-3,000","-5.15","958,635","70.77","1.26%","54,041"
48,'439960,,코스모로보틱스,"13,470",▼,"-2,450","-15.39","3,503,035","37.19","10.80%","53,781"
49,'064400,신,LG씨엔에스,"58,200",▼,"-1,100","-1.85","901,708","60.20","0.94%","53,632"
50,'347850,신,디앤디파마텍,"45,700",▼,"-2,950","-6.06","1,070,613","65.33","2.34%","50,236"
51,'365660,,레몬헬스케어,"5,350",↑,"1,230","+29.85","10,259,360","154.94","76.85%","49,659"
52,'039030,신,이오테크닉스,"240,000",▼,"-9,000","-3.61","201,561","82.77","1.64%","48,998"
53,'000250,증,삼천당제약,"129,900",▲,"3,400","+2.69","367,581","63.35","1.57%","47,392"
54,'141080,신,리가켐바이오,"77,900",▼,"-5,000","-6.03","583,665","61.92","1.58%","46,252"
55,'082740,신,한화엔진,"39,300",▲,"600","+1.55","1,111,237","53.81","1.34%","45,123"
56,'437730,,삼현,"32,600",▼,"-1,650","-4.82","1,277,824","84.49","4.04%","44,988"
57,'484810,,티엑스알로보틱스,"11,840",▼,"-2,030","-14.64","3,392,418","43.11","21.96%","44,859"
58,'161890,신,한국콜마,"93,200",▼,"-4,200","-4.31","471,226","69.21","2.00%","44,564"
59,'028300,증,HLB,"29,950",▼,"-1,300","-4.16","1,456,860","72.92","1.10%","44,530"
60,'322000,신,HD현대에너지솔루션,"101,100",▲,"1,600","+1.61","420,172","90.01","3.76%","44,197"
61,'010170,증,대한광통신,"7,160",▼,"-290","-3.89","5,917,153","58.31","3.81%","43,344"
62,'047050,신,포스코인터내셔널,"51,100",▲,"2,550","+5.25","823,186","125.66","0.47%","42,174"
63,'067290,신,JW신약,"1,811",▲,"244","+15.57","22,740,794","852.25","40.59%","41,281"
64,'103590,신,일진전기,"45,650",▼,"-3,000","-6.17","880,494","109.24","1.85%","41,201"
65,'460930,신,현대힘스,"13,000",▲,"460","+3.67","3,228,777","52.57","9.10%","40,862"
66,'034220,신,LG디스플레이,"8,540",▼,"-30","-0.35","4,473,469","86.65","0.90%","38,800"
67,'002990,증,금호건설,"9,490",↑,"2,190","+30.00","4,460,179","151.71","11.98%","38,534"
68,'950160,증,코오롱티슈진,"11,670",▼,"-1,530","-11.59","3,169,907","97.31","3.74%","38,398"
69,'087010,증,펩트론,"120,800",▼,"-14,500","-10.72","295,843","50.81","1.27%","37,808"
70,'000100,신,유한양행,"74,000",▲,"3,700","+5.26","511,416","73.86","0.65%","37,240"
71,'032640,신,LG유플러스,"15,360",▲,"950","+6.59","2,433,482","192.20","0.58%","37,218"
72,'098460,신,고영,"22,550",▼,"-200","-0.88","1,621,549","51.07","2.38%","37,069"
73,'001450,신,현대해상,"38,750",▲,"1,850","+5.01","949,414","133.22","1.12%","36,875"
74,'095340,신,ISC,"106,500",▼,"-4,400","-3.97","318,367","91.63","1.51%","35,525"
75,'009420,신,한올바이오파마,"39,000",▼,"-2,700","-6.47","883,762","112.57","1.70%","35,012"
76,'336260,,두산퓨얼셀,"18,900",▼,"-1,200","-5.97","1,800,176","59.66","2.75%","34,643"
77,'333430,신,일승,"3,680",▲,"390","+11.85","9,294,310","230.48","30.25%","34,575"
78,'161390,신,한국타이어앤테크놀로지,"65,100",▼,"-800","-1.21","518,883","104.71","0.42%","34,127"
79,'489790,신,한화비전,"35,000",▲,"1,650","+4.95","965,847","100.37","1.92%","33,459"
80,'128940,신,한미약품,"311,500",▼,"-10,500","-3.26","102,930","25.83","0.81%","32,755"
81,'067310,신,하나마이크론,"24,750",▼,"-1,900","-7.13","1,270,875","56.62","1.92%","32,653"
82,'257720,신,실리콘투,"33,050",▼,"-1,550","-4.48","957,632","74.09","1.47%","32,533"
83,'079650,증,서산,"4,205",↑,"970","+29.98","7,874,901","536.76","39.38%","31,842"
84,'454910,신,두산로보틱스,"55,400",▼,"-2,100","-3.65","553,203","59.86","0.86%","31,809"
85,'066970,증,엘앤에프,"67,000",▲,"1,400","+2.13","472,394","75.66","1.17%","31,800"
86,'024060,신,흥구석유,"10,910",▲,"400","+3.81","2,893,702","42.90","19.30%","31,683"
87,'477850,신,마키나락스,"19,500",▼,"-4,450","-18.58","1,472,774","57.06","8.30%","31,543"
88,'037710,신,광주신세계,"35,050",▲,"1,700","+5.10","870,040","254.67","11.41%","31,389"
89,'204320,신,HL만도,"39,750",▲,"650","+1.66","777,291","94.27","1.66%","31,157"
90,'440110,증,파두,"48,800",▼,"-1,500","-2.98","620,998","69.48","1.24%","30,913"
91,'089030,신,테크윙,"31,900",▼,"-2,500","-7.27","921,652","72.73","2.49%","30,666"
92,'226950,증,올릭스,"89,500",▼,"-4,600","-4.89","325,009","49.97","1.55%","29,802"
93,'298380,신,에이비엘바이오,"60,800",▼,"-2,500","-3.95","470,830","55.74","0.85%","29,339"
94,'001820,신,삼화콘덴서,"57,800",▼,"-5,100","-8.11","483,485","77.94","4.66%","28,809"
95,'443060,신,HD현대마린솔루션,"180,700",▼,"-500","-0.28","157,495","106.30","0.36%","28,551"
96,'005387,신,현대차2우B,"180,000",▲,"900","+0.50","156,349","46.92","0.45%","27,950"
97,'009155,신,삼성전기우,"320,000",▼,"-46,000","-12.57","82,320","100.83","2.84%","27,897"
98,'005290,신,동진쎄미켐,"33,150",▼,"-1,150","-3.35","819,940","62.49","1.61%","27,764"
99,'192820,신,코스맥스,"185,900",▲,"1,200","+0.65","147,602","82.03","1.31%","27,676"
100,'005940,신,NH투자증권,"26,600",▲,"650","+2.50","1,021,572","75.22","0.28%","27,547"
101,'084370,신,유진테크,"88,600",▼,"-8,200","-8.47","299,522","72.45","1.31%","27,298"
102,'004310,신,현대약품,"5,070",▲,"160","+3.26","5,088,324","476.10","15.91%","27,081"
103,'131970,신,두산테스나,"51,800",▼,"-4,100","-7.33","504,470","52.70","2.62%","26,699"
104,'138930,신,BNK금융지주,"14,800",▼,"-160","-1.07","1,776,022","43.58","0.58%","26,651"
105,'399720,신,가온칩스,"42,200",▼,"-900","-2.09","605,568","66.25","5.11%","26,555"
106,'108860,신,셀바스AI,"7,530",▼,"-440","-5.52","3,267,915","54.60","12.15%","26,216"
107,'011790,신,SKC,"64,200",▼,"-900","-1.38","395,419","55.04","0.80%","25,480"
108,'131290,신,티에스이,"143,600",▼,"-13,900","-8.83","166,467","88.71","1.51%","25,136"
109,'036570,신,NC,"229,000",▲,"6,500","+2.92","108,277","84.00","0.51%","24,937"
110,'271560,신,오리온,"135,300",▲,"300","+0.22","179,578","60.23","0.46%","24,817"
111,'004020,신,현대제철,"25,150",▲,"650","+2.65","970,164","90.93","0.73%","24,252"
112,'413630,신,씨피시스템,"3,550",▼,"-400","-10.13","6,294,587","20.17","17.28%","24,179"
113,'021240,신,코웨이,"91,200",▲,"600","+0.66","263,584","78.43","0.38%","24,126"
114,'071970,신,HD현대마린엔진,"47,900",▼,"-50","-0.10","483,918","52.97","1.43%","23,769"
115,'0126Z0,신,삼성에피스홀딩스,"349,000",▼,"-3,500","-0.99","65,252","58.07","0.27%","23,201"
116,'448900,신,한국피아이엠,"44,000",▼,"-11,800","-21.15","445,912","64.97","7.35%","23,019"
117,'241560,신,두산밥캣,"57,600",▼,"-800","-1.37","395,920","126.94","0.42%","22,971"
118,'093370,신,후성,"6,930",▼,"-240","-3.35","3,233,879","60.77","3.02%","22,807"
119,'178320,신,서진시스템,"27,900",▼,"-1,650","-5.58","797,588","55.09","1.26%","22,652"
120,'332570,신,PS일렉트로닉스,"6,200",▼,"-580","-8.55","3,273,895","46.50","7.01%","21,450"
121,'007810,신,코리아써키트,"38,500",▼,"-4,150","-9.73","540,959","78.99","2.26%","21,404"
122,'028670,신,팬오션,"4,935",▼,"-25","-0.50","4,046,617","100.55","0.76%","20,470"
123,'032820,증,우리기술,"7,740",▼,"-340","-4.21","2,578,522","65.53","1.51%","20,442"
124,'396300,신,세아메카닉스,"3,705",▼,"-85","-2.24","5,265,113","81.07","19.88%","20,189"
125,'237690,신,에스티팜,"84,700",▼,"-5,900","-6.51","232,219","51.21","1.12%","20,097"
126,'180640,신,한진칼,"108,500",▼,"-2,800","-2.52","174,124","82.16","0.27%","19,465"
127,'281820,신,케이씨텍,"55,100",▼,"-3,300","-5.65","336,927","57.30","1.71%","19,161"
128,'255440,주,야스,"4,965",↑,"1,145","+29.97","4,040,030","150.52","30.94%","18,889"
129,'097950,신,CJ제일제당,"189,300",▼,"-1,300","-0.68","98,775","74.90","0.66%","18,848"
130,'091590,증,남화토건,"4,800",▲,"1,000","+26.32","4,051,131","766.37","34.51%","18,750"
131,'375500,신,DL이앤씨,"54,100",▲,"1,700","+3.24","344,747","74.46","0.90%","18,580"
132,'019210,신,와이지-원,"13,940",▼,"-2,170","-13.47","1,254,427","98.39","3.38%","18,558"
133,'466100,신,클로봇,"20,400",▼,"-1,750","-7.90","843,527","65.08","3.32%","18,378"
134,'420770,,기가비스,"84,200",▼,"-7,800","-8.48","211,890","75.62","1.68%","18,357"
135,'069960,신,현대백화점,"113,300",▼,"-5,600","-4.71","160,969","82.43","0.75%","18,312"
136,'090360,신,로보스타,"51,400",▼,"-3,600","-6.55","334,264","63.18","3.43%","18,116"
137,'018880,신,한온시스템,"3,265",▲,"105","+3.32","5,480,487","74.30","0.54%","17,950"
138,'008770,신,호텔신라,"42,850",▼,"-750","-1.72","413,071","110.16","1.06%","17,927"
139,'005385,신,현대차우,"178,700",▼,"-500","-0.28","100,083","53.99","0.43%","17,856"
140,'004370,신,농심,"387,000",▲,"9,500","+2.52","45,085","57.69","0.75%","17,445"
141,'001040,신,CJ,"124,200",▼,"-200","-0.16","140,349","74.08","0.49%","17,438"
142,'006110,신,삼아알미늄,"27,900",▲,"900","+3.33","578,163","207.29","3.83%","16,824"
143,'023530,신,롯데쇼핑,"112,600",▼,"-4,600","-3.92","148,019","118.00","0.53%","16,666"
144,'058730,신,다스코,"2,990",▲,"15","+0.50","5,001,749","392.61","24.70%","16,403"
145,'007390,신,네이처셀,"22,800",▲,"100","+0.44","714,179","72.66","1.11%","16,387"
146,'101490,신,에스앤에스텍,"34,250",▲,"200","+0.59","463,194","59.61","2.18%","16,358"
147,'044340,,위닉스,"4,350",▼,"-140","-3.12","3,590,038","145.43","20.09%","16,232"
148,'064260,신,다날,"4,225",▼,"-185","-4.20","3,714,820","18.46","4.92%","15,964"
149,'450080,신,에코프로머티,"29,450",▲,"850","+2.97","533,357","84.03","0.76%","15,844"
150,'052690,신,한전기술,"79,900",▼,"-2,500","-3.03","189,757","68.97","0.50%","15,513"
151,'326030,신,SK바이오팜,"77,600",▲,"2,000","+2.65","198,392","78.28","0.26%","15,466"
152,'357780,신,솔브레인,"224,500",▼,"-9,000","-3.85","66,115","87.48","0.85%","15,293"
153,'035900,신,JYP Ent.,"42,000",▼,"-950","-2.21","357,330","76.30","1.01%","15,241"
154,'100090,신,SK오션플랜트,"11,750",▲,"50","+0.43","1,262,605","66.72","2.03%","15,087"
155,'031980,신,피에스케이홀딩스,"77,200",▼,"-4,900","-5.97","191,153","37.20","0.89%","15,066"
156,'002380,신,KCC,"355,500",▲,"3,000","+0.85","41,685","68.98","0.49%","15,033"
157,'304100,신,솔트룩스,"11,920",▲,"290","+2.49","1,231,422","60.40","9.78%","14,924"
158,'043260,,성호전자,"11,850",▼,"-1,250","-9.54","1,201,293","77.20","1.68%","14,786"
159,'387690,,레메디,"8,020",▲,"750","+10.32","1,886,596","126.88","24.74%","14,777"
160,'064760,신,티씨케이,"138,200",▼,"-11,600","-7.74","101,757","65.88","0.92%","14,598"
161,'103140,신,풍산,"59,900",▲,"2,200","+3.81","238,266","104.80","0.86%","14,441"
162,'323280,신,태성,"24,050",▼,"-1,850","-7.14","577,527","69.21","1.90%","14,385"
163,'310210,증,보로노이,"100,800",▼,"-6,100","-5.71","141,379","52.98","0.77%","14,356"
164,'139130,신,iM금융지주,"16,510",▲,"790","+5.03","867,785","89.59","0.55%","14,326"
165,'088980,증,맥쿼리인프라,"10,010",▲,"80","+0.81","1,423,511","53.34","0.30%","14,208"
166,'377300,신,카카오페이,"39,900",▲,"550","+1.40","351,472","66.13","0.26%","14,039"
167,'214150,신,클래시스,"37,550",▼,"-2,500","-6.24","362,375","92.41","0.56%","14,029"
168,'002210,증,동성제약,"1,800",▼,"-146","-7.50","6,597,343","","6.83%","13,842"
169,'290650,신,엘앤씨바이오,"51,500",▼,"-800","-1.53","258,832","61.05","0.96%","13,552"
170,'014680,신,한솔케미칼,"190,700",▲,"3,900","+2.09","70,623","70.42","0.66%","13,384"
171,'088350,신,한화생명,"4,205",▲,"135","+3.32","3,115,629","77.72","0.36%","13,280"
172,'007340,신,DN오토모티브,"38,700",▲,"3,450","+9.79","346,219","137.00","0.60%","13,107"
173,'270660,,에브리봇,"11,720",▼,"-690","-5.56","1,055,636","51.05","8.32%","13,036"
174,'175330,신,JB금융지주,"26,900",▲,"650","+2.48","461,084","65.59","0.25%","12,554"
175,'112610,신,씨에스윈드,"35,550",▲,"500","+1.43","340,204","64.69","0.81%","12,291"
176,'049080,경,기가레인,"7,150",▲,"860","+13.67","1,674,853","634.15","19.74%","12,114"
177,'011780,신,금호석유화학,"113,000",▲,"3,000","+2.73","107,312","98.94","0.43%","12,092"
178,'078600,신,대주전자재료,"62,400",▼,"-1,200","-1.89","190,573","64.72","1.22%","12,056"
179,'402030,증,코난테크놀로지,"13,760",▲,"2,300","+20.07","920,836","294.31","7.36%","12,030"
180,'030000,신,제일기획,"19,170",▲,"370","+1.97","616,915","85.84","0.54%","11,877"
181,'079160,신,CJ CGV,"5,430",▲,"660","+13.84","2,223,468","358.98","1.35%","11,818"
182,'170920,신,엘티씨,"26,600",▼,"-3,000","-10.14","427,242","68.71","4.05%","11,805"
183,'003280,신,흥아해운,"1,569",▲,"40","+2.62","7,446,814","53.12","3.10%","11,792"
184,'195870,신,해성디에스,"38,150",▼,"-2,000","-4.98","300,188","57.84","1.77%","11,681"
185,'251270,신,넷마블,"38,450",▲,"2,500","+6.95","304,149","93.45","0.38%","11,591"
186,'074600,신,원익QnC,"20,650",▼,"-900","-4.18","533,597","62.52","2.03%","11,495"
187,'218410,신,RFHIC,"35,300",▼,"-1,750","-4.72","316,111","54.69","1.19%","11,478"
188,'017800,신,현대엘리베이터,"66,500",▲,"1,500","+2.31","169,462","62.52","0.44%","11,314"
189,'022100,신,포스코DX,"17,250",▼,"-130","-0.75","644,987","65.62","0.43%","11,242"
190,'263750,신,펄어비스,"32,100",▼,"-750","-2.28","345,054","49.50","0.55%","11,173"
191,'083650,,비에이치아이,"34,600",▼,"-1,350","-3.76","312,073","56.39","1.01%","11,171"
192,'011210,신,현대위아,"54,100",▲,"1,900","+3.64","204,007","78.78","0.76%","10,980"
193,'140860,신,파크시스템스,"227,000",▼,"-8,500","-3.61","47,126","40.44","0.68%","10,920"
194,'008930,신,한미사이언스,"34,750",▲,"1,200","+3.58","308,691","106.51","0.46%","10,882"
195,'376900,경,로킷헬스케어,"26,700",▼,"-2,800","-9.49","357,607","37.96","2.26%","10,348"
196,'096530,신,씨젠,"25,150",▼,"-300","-1.18","400,397","80.38","0.77%","10,299"
197,'145020,신,휴젤,"224,500",▼,"-5,000","-2.18","44,712","50.00","0.36%","10,192"
198,'459510,증,나우로보틱스,"12,670",▼,"-1,530","-10.77","734,818","28.54","5.67%","10,169"
199,'298020,신,효성티앤씨,"298,500",▲,"12,000","+4.19","33,946","83.73","0.79%","10,088"
200,'439260,신,대한조선,"49,050",▲,"4,300","+9.61","205,436","139.01","0.54%","9,911"
201,'002140,신,고려산업,"2,085",▲,"215","+11.50","4,818,605","66.69","19.33%","9,904"
202,'017960,신,한국카본,"19,790",▲,"490","+2.54","495,905","64.71","0.96%","9,897"
203,'457190,신,이수스페셜티케미컬,"47,400",▼,"-550","-1.15","203,745","66.36","0.68%","9,830"
204,'111770,신,영원무역,"89,100",▲,"1,500","+1.71","108,877","112.26","0.25%","9,754"
205,'037070,신,파세코,"6,160",▲,"310","+5.30","1,588,076","184.30","7.95%","9,752"
206,'090710,증,휴림로봇,"5,550",▼,"-410","-6.88","1,670,804","60.28","1.40%","9,706"
207,'033100,신,제룡전기,"36,500",▼,"-1,250","-3.31","259,384","53.62","1.62%","9,687"
208,'195940,신,HK이노엔,"34,900",▼,"-1,100","-3.06","271,367","98.04","0.96%","9,648"
209,'011170,신,롯데케미칼,"54,900",▲,"300","+0.55","175,629","96.07","0.42%","9,634"
210,'0156T0,,에이치엘지노믹스,"9,100",▼,"-1,200","-11.65","950,226","79.54","12.22%","9,619"
