순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'036930,신,주성엔지니어링,"192,600",▲,"10,100","+5.53","2,224,794","89.62","4.79%","417,563"
2,'006340,신,대원전선,"12,750",▲,"1,930","+17.84","33,370,056","583.33","42.56%","415,700"
3,'095610,신,테스,"217,500",▲,"31,100","+16.68","1,586,283","91.25","8.20%","311,761"
4,'319660,신,피에스케이,"203,500",▲,"18,900","+10.24","1,497,365","84.24","5.17%","286,141"
5,'240810,신,원익IPS,"127,100",▲,"2,300","+1.84","2,279,648","69.05","4.65%","279,947"
6,'475150,신,SK이터닉스,"48,800",▲,"750","+1.56","4,458,346","54.10","13.09%","209,445"
7,'089030,신,테크윙,"48,450",▲,"4,600","+10.49","4,101,702","275.26","11.07%","201,582"
8,'089970,,브이엠,"114,700",▲,"18,300","+18.98","1,667,264","113.22","6.34%","174,595"
9,'024060,신,흥구석유,"12,680",▲,"1,040","+8.93","13,095,854","93.01","87.31%","173,366"
10,'353200,신,대덕전자,"117,400",▲,"3,600","+3.16","1,337,696","76.21","2.71%","149,673"
11,'028300,증,HLB,"26,700",▲,"1,050","+4.09","5,635,248","53.18","4.24%","143,993"
12,'080220,신,제주반도체,"73,700",▼,"-3,600","-4.66","1,858,574","95.66","5.40%","138,233"
13,'387690,주,레메디,"17,460",▼,"-4,540","-20.64","7,133,262","26.70","93.55%","138,129"
14,'347850,신,디앤디파마텍,"71,600",▼,"-5,400","-7.01","1,900,805","134.08","4.15%","136,324"
15,'037070,신,파세코,"7,370",▼,"-1,390","-15.87","15,621,786","132.27","78.11%","135,402"
16,'000500,신,가온전선,"215,000",▼,"-32,500","-13.13","595,755","223.29","3.61%","130,453"
17,'007660,신,이수페타시스,"97,900",▼,"-1,700","-1.71","1,286,650","80.53","1.76%","125,611"
18,'002990,경,금호건설,"13,570",▼,"-400","-2.86","8,523,850","74.86","22.88%","123,336"
19,'376900,증,로킷헬스케어,"45,200",▲,"8,500","+23.16","2,818,355","225.87","17.76%","122,804"
20,'403870,신,HPSP,"42,000",▲,"100","+0.24","2,849,541","84.00","3.47%","118,781"
21,'073240,,금호타이어,"6,540",▼,"-620","-8.66","16,988,094","47.23","5.92%","113,054"
22,'003490,신,대한항공,"26,500",▲,"650","+2.51","4,234,145","130.43","1.15%","110,635"
23,'141080,신,리가켐바이오,"104,300",▼,"-9,000","-7.94","1,013,498","139.52","2.74%","104,704"
24,'003680,경,한성기업,"11,170",▲,"1,870","+20.11","9,292,435","84.85","149.65%","102,313"
25,'0126Z0,신,삼성에피스홀딩스,"384,500",▲,"6,500","+1.72","250,063","185.20","1.01%","99,972"
26,'010170,증,대한광통신,"11,050",▲,"140","+1.28","9,212,392","72.79","5.93%","99,860"
27,'028050,신,삼성E&A,"40,150",▼,"-950","-2.31","2,490,637","144.89","1.28%","99,332"
28,'161890,신,한국콜마,"106,300",▼,"-9,500","-8.20","893,790","98.07","3.79%","98,958"
29,'477850,신,마키나락스,"27,950",▲,"3,350","+13.62","3,657,509","187.70","20.61%","98,430"
30,'004170,신,신세계,"561,000",▼,"-30,000","-5.08","174,797","235.58","1.86%","97,402"
31,'399720,신,가온칩스,"51,800",▲,"3,000","+6.15","1,792,102","179.69","15.12%","92,253"
32,'439090,신,마녀공장,"16,460",▲,"600","+3.78","5,395,648","519.96","32.92%","92,101"
33,'222800,신,심텍,"108,000",▼,"-100","-0.09","842,916","80.56","2.25%","89,511"
34,'062040,신,산일전기,"168,600",▼,"-1,200","-0.71","543,390","125.73","1.78%","89,129"
35,'087010,증,펩트론,"110,000",▲,"1,800","+1.66","835,356","34.42","3.59%","87,525"
36,'003230,신,삼양식품,"1,072,000",▼,"-38,000","-3.42","79,527","161.21","1.06%","84,772"
37,'016360,신,삼성증권,"101,900",▼,"-6,900","-6.34","806,388","113.82","0.91%","84,348"
38,'003280,신,흥아해운,"1,825",▲,"78","+4.46","43,903,975","129.88","18.27%","82,605"
39,'128940,신,한미약품,"356,500",▼,"-25,000","-6.55","221,770","151.25","1.74%","79,052"
40,'058470,신,리노공업,"73,100",▲,"800","+1.11","1,058,213","76.74","1.39%","76,697"
41,'131290,신,티에스이,"277,000",▲,"26,500","+10.58","287,242","91.32","2.60%","75,797"
42,'950160,증,코오롱티슈진,"72,900",▼,"-3,700","-4.83","1,098,474","186.73","1.30%","75,333"
43,'010060,신,OCI홀딩스,"184,000",▼,"-20,500","-10.02","397,290","111.13","2.13%","75,192"
44,'066970,,엘앤에프,"90,800",▼,"-10,500","-10.37","800,117","113.58","1.97%","74,623"
45,'064400,신,LG씨엔에스,"66,000",▼,"-2,200","-3.23","1,115,177","80.69","1.16%","74,253"
46,'009830,신,한화솔루션,"29,850",▼,"-2,150","-6.72","2,433,987","98.67","1.42%","73,774"
47,'069540,증,빛과전자,"2,490",▲,"200","+8.73","29,455,928","64.50","26.14%","72,718"
48,'000990,신,DB하이텍,"113,500",▲,"2,800","+2.53","602,892","111.21","1.39%","66,976"
49,'214450,신,파마리서치,"318,500",▼,"-12,000","-3.63","209,946","97.46","2.03%","66,548"
50,'352820,신,하이브,"206,000",▼,"-7,000","-3.29","317,647","111.80","0.74%","65,521"
51,'006260,신,LS,"292,500",▼,"-11,000","-3.62","213,590","105.57","0.69%","62,180"
52,'047040,신,대우건설,"15,830",▼,"-180","-1.12","3,896,019","90.46","0.95%","61,529"
53,'006660,신,삼성공조,"10,980",▲,"900","+8.93","5,240,039","133.50","64.49%","60,524"
54,'277810,신,레인보우로보틱스,"400,500",▼,"-14,500","-3.49","150,655","113.71","0.78%","59,548"
55,'001440,신,대한전선,"28,000",▼,"-300","-1.06","2,118,032","105.62","1.09%","58,660"
56,'001820,신,삼화콘덴서,"89,300",▼,"-2,300","-2.51","649,877","97.95","6.26%","57,090"
57,'365660,,레몬헬스케어,"7,100",▲,"120","+1.72","7,318,849","269.45","54.82%","56,262"
58,'095340,신,ISC,"150,000",▼,"-3,500","-2.28","367,695","88.97","1.74%","55,036"
59,'031980,,피에스케이홀딩스,"141,000",▲,"900","+0.64","400,017","71.62","1.86%","54,071"
60,'084370,신,유진테크,"147,000",▼,"-6,100","-3.98","366,779","110.41","1.61%","53,872"
61,'067310,신,하나마이크론,"38,250",▲,"50","+0.13","1,394,253","79.85","2.10%","52,782"
62,'298380,신,에이비엘바이오,"74,400",▼,"-4,700","-5.94","707,678","119.77","1.27%","52,013"
63,'082740,신,한화엔진,"43,500",▼,"-2,700","-5.84","1,151,904","102.86","1.39%","50,731"
64,'039030,신,이오테크닉스,"357,000",▼,"-2,500","-0.70","141,002","82.98","1.15%","50,180"
65,'021240,신,코웨이,"94,200",▲,"2,500","+2.73","523,915","302.77","0.75%","49,396"
66,'440110,증,파두,"71,300",▲,"700","+0.99","679,760","105.10","1.36%","48,187"
67,'039490,신,키움증권,"308,000",▼,"-15,500","-4.79","153,066","115.46","0.59%","48,071"
68,'108490,신,로보티즈,"195,500",▼,"-10,500","-5.10","248,338","89.39","1.70%","48,063"
69,'226950,증,올릭스,"123,700",▼,"-3,800","-2.98","380,216","78.81","1.88%","46,869"
70,'047050,신,포스코인터내셔널,"51,300",▲,"700","+1.38","901,850","125.79","0.52%","46,324"
71,'005387,신,현대차2우B,"199,800",▼,"-200","-0.10","237,180","146.69","0.68%","46,280"
72,'178320,신,서진시스템,"37,700",▼,"-1,550","-3.95","1,215,720","64.50","1.91%","45,583"
73,'034220,신,LG디스플레이,"10,350",▼,"-10","-0.10","4,258,282","98.53","0.86%","44,324"
74,'006360,신,GS건설,"28,000",▼,"-1,450","-4.92","1,579,834","69.71","1.85%","44,279"
75,'263800,,데이타솔루션,"5,680",▼,"-450","-7.34","6,883,455","180.62","42.43%","43,858"
76,'009420,신,한올바이오파마,"50,300",▼,"-4,900","-8.88","833,104","146.25","1.60%","42,475"
77,'180640,신,한진칼,"111,400",▼,"-20,200","-15.35","345,955","50.96","0.52%","41,881"
78,'454910,신,두산로보틱스,"66,700",▼,"-3,400","-4.85","621,113","116.56","0.96%","41,497"
79,'049080,증,기가레인,"9,030",▲,"1,270","+16.37","4,540,465","159.26","53.50%","41,063"
80,'078930,신,GS,"79,000",▼,"-500","-0.63","491,370","65.30","0.53%","39,062"
81,'006110,신,삼아알미늄,"33,750",▼,"-5,150","-13.24","997,643","102.92","6.60%","39,044"
82,'009155,신,삼성전기우,"449,500",▼,"-20,500","-4.36","84,971","117.90","2.93%","38,011"
83,'044340,,위닉스,"4,670",▲,"225","+5.06","7,310,045","508.22","40.90%","37,932"
84,'103590,신,일진전기,"62,500",▲,"1,500","+2.46","615,415","107.10","1.30%","37,732"
85,'281820,신,케이씨텍,"94,000",▲,"4,000","+4.44","407,764","78.34","2.06%","37,241"
86,'138930,신,BNK금융지주,"18,020",▼,"-140","-0.77","2,000,987","209.05","0.65%","36,690"
87,'204320,신,HL만도,"44,850",▼,"-2,750","-5.78","799,259","95.54","1.71%","36,434"
88,'000250,증,삼천당제약,"180,000",▼,"-4,900","-2.65","197,771","91.11","0.85%","35,391"
89,'079650,경,서산,"5,530",▼,"-80","-1.43","5,931,364","41.09","29.66%","34,975"
90,'005860,신,한일사료,"2,580",▲,"100","+4.03","12,438,917","2,714.06","31.57%","34,767"
91,'011790,신,SKC,"84,300",▼,"-3,700","-4.20","407,105","103.94","0.83%","34,601"
92,'005385,신,현대차우,"196,200",▼,"-3,600","-1.80","176,365","138.58","0.76%","34,145"
93,'023530,신,롯데쇼핑,"146,000",▼,"-8,300","-5.38","233,980","225.56","0.83%","33,924"
94,'007390,증,네이처셀,"25,000",▲,"1,600","+6.84","1,383,304","121.92","2.15%","33,906"
95,'090430,신,아모레퍼시픽,"120,000",▼,"-1,600","-1.32","277,328","73.08","0.48%","33,374"
96,'420770,,기가비스,"156,500",▼,"-5,500","-3.40","213,699","119.96","1.69%","32,884"
97,'267270,신,HD건설기계,"122,800",▼,"-4,200","-3.31","257,595","63.31","0.54%","31,726"
98,'161390,신,한국타이어앤테크놀로지,"68,500",▼,"-1,200","-1.72","463,105","102.80","0.38%","31,625"
99,'131970,신,두산테스나,"87,900",▼,"-4,600","-4.97","354,158","107.92","1.84%","30,760"
100,'032820,증,우리기술,"10,340",▼,"-350","-3.27","2,970,386","69.31","1.74%","30,496"
