순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'108490,신,로보티즈,"325,500",▲,"1,000","+0.31","1,516,415","220.70","10.34%","511,021"
2,'052690,신,한전기술,"144,300",▲,"6,100","+4.41","2,594,828","140.77","6.79%","364,257"
3,'017900,신,광전자,"10,660",▲,"390","+3.80","33,449,786","115.46","57.73%","361,160"
4,'058610,신,에스피지,"103,300",▲,"12,600","+13.89","3,138,471","657.03","14.16%","322,179"
5,'036930,신,주성엔지니어링,"192,800",▼,"-13,200","-6.41","1,409,056","157.92","3.04%","279,498"
6,'030530,,원익홀딩스,"25,050",▲,"3,150","+14.38","9,028,120","1,083.28","11.69%","228,167"
7,'014950,신,삼익제약,"11,690",▲,"2,420","+26.11","19,922,674","123.50","197.89%","222,015"
8,'356680,신,엑스게이트,"17,550",▲,"350","+2.03","11,361,352","68.13","39.81%","199,703"
9,'336260,,두산퓨얼셀,"51,200",▲,"3,400","+7.11","3,655,422","234.55","5.59%","187,600"
10,'001820,신,삼화콘덴서,"142,500",▲,"3,300","+2.37","1,256,552","74.60","12.09%","180,118"
11,'000990,신,DB하이텍,"116,800",▲,"5,500","+4.94","1,522,954","98.45","3.51%","177,826"
12,'004310,신,현대약품,"10,120",▲,"130","+1.30","15,526,682","172.54","48.53%","164,553"
13,'067290,증,JW신약,"3,680",▲,"280","+8.24","41,664,006","272.65","74.36%","159,185"
14,'437730,신,삼현,"52,700",↑,"12,100","+29.80","3,166,339","412.46","9.99%","151,741"
15,'036540,증,SFA반도체,"8,600",▲,"1,070","+14.21","17,183,071","246.43","10.45%","146,253"
16,'042510,신,라온시큐어,"12,960",▲,"1,660","+14.69","11,013,275","200.01","99.17%","144,768"
17,'128940,신,한미약품,"495,500",▲,"21,500","+4.54","270,720","154.00","2.12%","134,320"
18,'062970,증,한국첨단소재,"3,360",↑,"775","+29.98","43,572,813","943.53","144.66%","133,876"
19,'093370,신,후성,"14,780",▲,"670","+4.75","8,886,841","116.17","8.29%","130,419"
20,'062040,신,산일전기,"187,400",▼,"-10,600","-5.35","530,947","113.94","1.74%","100,536"
21,'298380,신,에이비엘바이오,"59,300",▼,"-5,600","-8.63","1,531,653","622.89","2.74%","93,873"
22,'004020,신,현대제철,"35,200",▲,"2,200","+6.67","2,535,652","320.16","1.91%","90,267"
23,'203650,신,드림시큐리티,"2,800",▲,"5","+0.18","31,245,495","81.48","30.73%","88,989"
24,'047040,신,대우건설,"19,130",▲,"370","+1.97","4,423,018","91.56","1.08%","83,565"
25,'222800,신,심텍,"125,600",▲,"900","+0.72","644,675","94.54","1.70%","81,427"
26,'375500,신,DL이앤씨,"89,400",▲,"3,700","+4.32","887,560","197.61","2.30%","78,272"
27,'069540,증,빛과전자,"4,120",▼,"-205","-4.74","18,266,398","22.70","16.21%","76,629"
28,'000670,,영풍,"50,200",▲,"250","+0.50","1,466,492","107.45","7.97%","76,528"
29,'456160,,지투지바이오,"34,550",▲,"2,950","+9.34","1,995,880","1,122.04","12.01%","72,725"
30,'386380,,스카이랩스,"20,800",▼,"-2,900","-12.24","3,245,002","108.95","17.30%","71,753"
31,'066970,증,엘앤에프,"114,500",▲,"400","+0.35","623,029","96.17","1.54%","71,526"
32,'024060,신,흥구석유,"14,980",▲,"320","+2.18","4,528,630","42.24","30.20%","67,888"
33,'006360,신,GS건설,"37,800",▲,"1,150","+3.14","1,776,972","157.14","2.08%","67,294"
34,'158430,신,아톤,"6,310",↑,"1,450","+29.84","11,710,325","1,332.91","47.84%","67,111"
35,'131970,신,두산테스나,"74,400",▼,"-9,000","-10.79","869,896","345.26","4.51%","66,743"
36,'010170,증,대한광통신,"14,140",▼,"-350","-2.42","4,650,248","34.59","3.00%","66,067"
37,'028050,신,삼성E&A,"50,800", ,"0","0","1,279,981","99.86","0.66%","64,774"
38,'488280,주,에스투더블유,"15,420",▲,"50","+0.33","3,990,333","47.54","36.87%","64,298"
39,'226950,증,올릭스,"108,200",▲,"8,100","+8.09","588,526","130.50","2.59%","63,849"
40,'101730,신,위메이드맥스,"4,990",▼,"-210","-4.04","11,338,908","100.38","13.54%","62,455"
41,'003230,신,삼양식품,"1,277,000",▼,"-33,000","-2.52","48,306","48.79","0.65%","62,146"
42,'031980,,피에스케이홀딩스,"166,300",▲,"10,800","+6.95","365,084","191.96","1.70%","61,199"
43,'000500,신,가온전선,"241,500",▼,"-4,000","-1.63","247,750","78.94","0.84%","60,325"
44,'277810,신,레인보우로보틱스,"433,500",▲,"13,000","+3.09","136,966","135.91","0.71%","59,687"
45,'403870,신,HPSP,"51,900",▼,"-200","-0.38","1,141,741","96.73","1.39%","59,656"
46,'007660,신,이수페타시스,"104,600",▼,"-2,800","-2.61","564,744","132.31","0.77%","59,543"
