순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'010170,증,대한광통신,"16,230",▲,"2,090","+14.78","45,656,543","907.02","29.37%","714,691"
2,'069540,증,빛과전자,"4,425",▲,"305","+7.40","73,431,112","386.32","65.17%","335,009"
3,'052690,신,한전기술,"134,300",▼,"-9,500","-6.61","1,982,992","64.09","5.19%","278,864"
4,'036930,신,주성엔지니어링,"200,500",▲,"7,700","+3.99","1,122,839","72.70","2.42%","220,044"
5,'108490,신,로보티즈,"310,500",▼,"-14,000","-4.31","669,762","41.91","4.57%","209,485"
6,'000990,신,DB하이텍,"126,200",▲,"9,500","+8.14","1,687,849","103.61","3.88%","205,196"
7,'072950,신,빛샘전자,"13,910",↑,"3,210","+30.00","14,950,961","547.21","185.67%","195,459"
8,'000500,신,가온전선,"247,000",▲,"7,000","+2.92","681,281","250.07","2.29%","170,613"
9,'356680,신,엑스게이트,"17,120",▼,"-430","-2.45","9,423,253","79.78","33.02%","167,450"
10,'229640,신,LS에코에너지,"55,300",▲,"5,450","+10.93","2,850,373","1,303.47","9.31%","167,327"
11,'413630,,씨피시스템,"4,680",▲,"180","+4.00","27,646,690","350.20","75.88%","135,598"
12,'437730,신,삼현,"49,400",▼,"-3,300","-6.26","2,533,828","79.53","8.00%","131,309"
13,'004310,신,현대약품,"10,150",▲,"30","+0.30","12,531,260","78.96","39.17%","129,696"
14,'017900,주,광전자,"10,590",▼,"-70","-0.66","12,236,413","35.53","21.12%","129,104"
15,'218410,신,RFHIC,"52,100",▲,"2,750","+5.57","2,430,008","559.22","9.15%","127,518"
16,'240810,신,원익IPS,"117,900",▲,"9,500","+8.76","1,086,665","198.28","2.22%","124,774"
17,'128940,신,한미약품,"501,000",▲,"4,500","+0.91","232,504","83.04","1.82%","117,412"
18,'062970,주,한국첨단소재,"3,365",▲,"5","+0.15","31,964,709","73.18","106.12%","113,485"
19,'058610,신,에스피지,"97,500",▼,"-5,300","-5.16","1,083,331","30.41","4.89%","107,990"
20,'062040,신,산일전기,"195,700",▲,"8,200","+4.37","520,015","90.43","1.70%","100,876"
21,'001820,신,삼화콘덴서,"142,700",▲,"200","+0.14","696,545","52.97","6.71%","99,922"
22,'043260,,성호전자,"18,880",▲,"2,070","+12.31","5,424,566","630.43","7.39%","99,157"
23,'452280,신,한선엔지니어링,"13,400",▲,"2,710","+25.35","7,604,178","3,847.16","39.51%","96,683"
24,'336260,,두산퓨얼셀,"51,600", ,"0","0","1,731,023","45.22","2.65%","88,076"
25,'222800,신,심텍,"129,100",▲,"3,600","+2.87","686,185","100.96","1.81%","87,506"
26,'298380,증,에이비엘바이오,"56,800",▼,"-2,500","-4.22","1,539,559","93.82","2.75%","86,672"
27,'411080,,샌즈랩,"7,120",▲,"220","+3.19","11,015,700","164.31","72.16%","85,159"
28,'115440,신,우리넷,"9,660",▲,"950","+10.91","8,527,379","285.09","79.00%","84,586"
29,'424870,증,이뮨온시아,"3,425",▼,"-90","-2.56","20,026,213","330.10","21.91%","79,271"
30,'386380,,스카이랩스,"20,800", ,"0","0","3,585,383","100.83","19.11%","76,820"
31,'126340,신,비나텍,"76,400",▲,"11,200","+17.18","1,036,902","966.93","14.45%","76,457"
32,'047040,신,대우건설,"18,610",▼,"-520","-2.72","4,066,106","85.14","0.99%","75,976"
33,'093370,신,후성,"14,600",▼,"-180","-1.22","5,087,839","55.16","4.75%","74,726"
34,'457370,신,한켐,"9,640",▲,"1,480","+18.14","7,738,465","3,552.42","95.93%","74,153"
35,'217590,신,티엠씨,"13,250",▲,"290","+2.24","5,486,581","136.14","22.78%","73,525"
36,'036540,증,SFA반도체,"8,920",▲,"320","+3.72","8,402,346","47.49","5.11%","73,281"
37,'066970,증,엘앤에프,"112,100",▼,"-2,600","-2.27","620,000","95.11","1.53%","69,641"
38,'054920,신,한컴위드,"5,300",▲,"70","+1.34","12,776,780","126.48","45.29%","69,220"
39,'030530,,원익홀딩스,"25,100",▲,"50","+0.20","2,717,982","27.28","3.52%","68,275"
40,'047050,신,포스코인터내셔널,"55,200",▲,"300","+0.55","1,164,238","171.74","0.67%","65,741"
