순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'090360,,로보스타,"147,200",▲,"8,000","+5.75","9,860,133","228.01","101.13%","1,463,291"
2,'454910,신,두산로보틱스,"138,700",▼,"-19,200","-12.16","9,666,349","98.13","14.92%","1,331,274"
3,'240810,신,원익IPS,"124,600",▼,"-2,600","-2.04","6,197,130","175.84","12.63%","788,753"
4,'128940,신,한미약품,"483,500",▼,"-8,000","-1.63","1,300,744","326.01","10.16%","680,579"
5,'036930,신,주성엔지니어링,"210,000",▼,"-40,500","-16.17","2,799,628","41.00","6.03%","612,267"
6,'403870,신,HPSP,"50,300",▲,"2,800","+5.89","9,674,579","226.00","11.76%","496,214"
7,'085620,신,미래에셋생명,"20,650",▲,"1,240","+6.39","21,822,886","161.98","16.15%","470,743"
8,'439960,,코스모로보틱스,"28,450",▼,"-600","-2.07","10,308,705","670.90","31.77%","339,749"
9,'043260,,성호전자,"48,800",▼,"-2,600","-5.06","5,989,068","45.75","8.45%","289,987"
10,'095610,신,테스,"132,100",▼,"-3,800","-2.80","1,847,714","129.18","9.55%","258,233"
11,'319660,신,피에스케이,"122,900",▲,"8,500","+7.43","1,994,432","124.22","6.89%","246,888"
12,'011790,신,SKC,"142,000",▼,"-13,900","-8.92","1,674,962","33.49","4.43%","246,220"
13,'007660,신,이수페타시스,"119,900",▼,"-13,800","-10.32","1,862,573","89.55","2.54%","225,936"
14,'108490,,로보티즈,"312,500",▼,"-31,000","-9.02","660,703","67.89","4.51%","212,519"
15,'010170,증,대한광통신,"18,080",▼,"-2,220","-10.94","10,357,240","50.71","6.67%","191,992"
16,'001820,경,삼화콘덴서,"111,800",▲,"1,400","+1.27","1,540,959","160.00","14.83%","172,533"
17,'178320,신,서진시스템,"70,100",▲,"900","+1.30","2,517,335","155.52","3.96%","170,207"
18,'477850,증,마키나락스,"26,700",▲,"250","+0.95","5,430,812","733.61","30.96%","167,084"
19,'080220,경,제주반도체,"93,500",▼,"-13,800","-12.86","1,610,596","54.92","4.68%","156,201"
20,'001510,신,SK증권,"3,205",▲,"5","+0.16","44,395,397","1,036.44","19.20%","155,462"
21,'093370,신,후성,"11,800",▲,"340","+2.97","12,875,736","205.70","12.01%","155,426"
22,'001440,신,대한전선,"39,950",▼,"-2,400","-5.67","3,649,758","128.64","1.87%","145,905"
23,'034220,신,LG디스플레이,"15,210",▼,"-910","-5.65","9,273,115","73.15","1.86%","140,534"
24,'353200,신,대덕전자,"152,400",▼,"-6,600","-4.15","911,914","98.64","1.85%","138,230"
25,'004170,신,신세계,"636,000",▼,"-23,000","-3.49","210,301","88.44","2.23%","137,665"
26,'347850,경,디앤디파마텍,"92,300",▼,"-1,700","-1.81","1,443,306","74.05","3.30%","133,671"
27,'003230,신,삼양식품,"1,114,000", ,"0","0","108,080","153.55","1.44%","124,174"
28,'226950,증,올릭스,"147,500",▼,"-14,700","-9.06","763,951","160.06","3.77%","120,857"
29,'440110,증,파두,"109,800",▼,"-6,200","-5.34","1,045,791","80.53","2.09%","115,570"
30,'039030,,이오테크닉스,"478,500",▼,"-17,500","-3.53","240,262","68.98","1.96%","115,147"
31,'000990,신,DB하이텍,"168,800",▼,"-7,600","-4.31","660,165","62.33","1.52%","113,548"
32,'457370,신,한켐,"14,670",↑,"3,380","+29.94","8,323,723","1,344.96","103.25%","112,364"
33,'047040,신,대우건설,"21,750",▼,"-1,200","-5.23","5,119,213","69.61","1.25%","111,104"
34,'222800,경,심텍,"103,000",▼,"-10,400","-9.17","1,070,779","108.28","2.86%","108,618"
35,'319400,신,현대무벡스,"32,800",▼,"-2,200","-6.29","3,246,421","80.04","2.92%","106,067"
36,'089030,신,테크윙,"54,700",▲,"1,000","+1.86","1,939,379","139.14","5.24%","105,789"
37,'388790,증,라이콤,"5,910",▲,"1,000","+20.37","18,090,294","599.50","59.10%","103,528"
38,'001740,주,SK네트웍스,"10,900",▼,"-2,110","-16.22","9,093,622","32.78","4.54%","102,454"
39,'084370,신,유진테크,"150,900",▼,"-4,800","-3.08","649,538","66.02","2.84%","100,219"
40,'058470,신,리노공업,"93,500",▼,"-6,100","-6.12","1,039,627","60.19","1.37%","98,445"
41,'377480,증,마음AI,"14,950",▼,"-2,650","-15.06","5,378,813","398.48","75.65%","98,046"
42,'066970,,엘앤에프,"137,900",▼,"-12,200","-8.13","684,490","96.24","1.69%","96,821"
43,'126730,신,코칩,"23,500",▲,"600","+2.62","3,920,973","1,015.28","44.71%","96,073"
44,'489790,신,한화비전,"71,200",▼,"-8,300","-10.44","1,299,125","30.15","2.58%","94,880"
45,'089970,신,브이엠,"67,000",▼,"-2,500","-3.60","1,351,508","62.69","5.46%","94,184"
46,'141080,신,리가켐바이오,"134,000",▼,"-11,600","-7.97","648,056","123.10","1.76%","92,261"
47,'010060,신,OCI홀딩스,"290,500",▼,"-21,000","-6.74","306,353","91.47","1.65%","90,510"
48,'028050,신,삼성E&A,"47,500",▼,"-2,000","-4.04","1,885,759","74.39","0.97%","90,246"
49,'290650,신,엘앤씨바이오,"84,700",▲,"700","+0.83","1,012,508","78.83","3.76%","86,083"
50,'062040,신,산일전기,"219,500",▼,"-3,000","-1.35","386,539","80.80","1.27%","84,554"
51,'242040,경,나무기술,"8,570",▲,"780","+10.01","10,124,684","141.86","29.26%","83,601"
52,'271830,주,팸텍,"2,085",▼,"-275","-11.65","30,179,453","167.62","102.34%","80,641"
53,'069960,신,현대백화점,"143,600",▲,"3,800","+2.72","548,377","78.26","2.55%","80,098"
54,'298380,신,에이비엘바이오,"98,200",▼,"-7,800","-7.36","767,973","125.19","1.38%","78,483"
55,'031980,신,피에스케이홀딩스,"122,400",▼,"-1,900","-1.53","613,786","70.57","2.85%","78,178"
56,'000250,증,삼천당제약,"288,000",▼,"-21,500","-6.95","260,166","57.07","1.11%","78,060"
57,'006220,신,제주은행,"10,680",▲,"680","+6.80","6,495,996","4,051.60","17.19%","75,198"
58,'009155,,삼성전기우,"597,000",▲,"19,000","+3.29","120,661","161.59","4.16%","71,095"
59,'036570,신,NC,"276,000",▼,"-13,500","-4.66","252,990","40.00","1.18%","70,526"
60,'001720,신,신영증권,"194,100",▲,"5,700","+3.03","329,226","129.23","2.01%","69,921"
61,'039490,신,키움증권,"362,000",▼,"-10,000","-2.69","186,933","138.11","0.72%","69,322"
62,'005290,신,동진쎄미켐,"53,900",▼,"-5,800","-9.72","1,239,293","28.48","2.44%","68,625"
63,'131970,신,두산테스나,"133,200",▼,"-14,300","-9.69","490,678","97.18","2.54%","67,456"
64,'336260,신,두산퓨얼셀,"82,300",▼,"-2,300","-2.72","790,677","123.70","1.21%","67,108"
65,'347700,증,스피어,"30,350",▼,"-3,600","-10.60","2,101,306","82.80","4.14%","66,309"
66,'009420,신,한올바이오파마,"56,600",▲,"1,200","+2.17","1,131,711","205.38","2.17%","66,222"
67,'007810,,코리아써키트,"115,500",▼,"-6,800","-5.56","555,655","66.26","2.32%","64,454"
68,'218410,신,RFHIC,"82,200",▼,"-8,700","-9.57","747,354","46.00","2.82%","64,165"
69,'486990,증,노타,"33,150",▼,"-5,950","-15.22","1,825,536","30.91","8.56%","63,340"
70,'028300,증,HLB,"49,950",▼,"-2,550","-4.86","1,233,092","135.37","0.93%","62,791"
71,'003490,신,대한항공,"24,850",▼,"-200","-0.80","2,505,327","115.04","0.69%","62,447"
72,'095340,신,ISC,"200,500",▼,"-13,500","-6.31","291,524","77.27","1.38%","59,511"
73,'005387,신,현대차2우B,"260,000",▼,"-6,000","-2.26","227,422","102.64","0.66%","58,391"
74,'087010,증,펩트론,"252,500",▼,"-14,000","-5.25","223,933","115.45","0.97%","58,107"
75,'009830,신,한화솔루션,"37,900",▼,"-2,000","-5.01","1,478,634","68.96","0.87%","56,745"
76,'023530,신,롯데쇼핑,"168,200",▼,"-3,800","-2.21","323,185","77.75","1.15%","55,453"
77,'352820,신,하이브,"206,500",▼,"-8,500","-3.95","260,835","72.11","0.61%","54,566"
78,'032820,,우리기술,"14,200",▼,"-1,490","-9.50","3,695,916","61.94","2.16%","54,041"
79,'018880,신,한온시스템,"4,695",▼,"-125","-2.59","11,574,049","118.19","1.13%","53,089"
80,'001040,신,CJ,"179,800",▲,"2,800","+1.58","295,912","172.27","1.02%","52,975"
81,'007390,경,네이처셀,"33,950",▼,"-600","-1.74","1,456,293","72.66","2.27%","50,097"
82,'483650,신,달바글로벌,"191,700",▼,"-6,400","-3.23","247,597","67.19","1.99%","48,904"
83,'032500,증,케이엠더블유,"32,550",▼,"-5,650","-14.79","1,424,616","35.00","3.38%","48,362"
84,'183300,신,코미코,"104,900",▲,"6,100","+6.17","464,401","85.46","4.44%","47,987"
85,'166090,신,하나머티리얼즈,"61,600",▼,"-1,800","-2.84","735,134","127.13","3.72%","47,751"
86,'066575,신,LG전자우,"96,900",▼,"-5,200","-5.09","489,328","78.93","2.85%","47,484"
87,'323280,신,태성,"53,600",▼,"-3,400","-5.96","816,888","99.03","2.68%","46,225"
88,'950160,증,코오롱티슈진,"99,200",▼,"-10,300","-9.41","445,787","115.20","0.53%","46,191"
89,'022100,신,포스코DX,"29,050",▼,"-2,950","-9.22","1,558,642","72.34","1.03%","46,098"
90,'058610,신,에스피지,"103,200",▼,"-8,300","-7.44","441,392","72.35","2.00%","46,035"
91,'005385,신,현대차우,"259,000",▼,"-9,000","-3.36","178,946","164.58","0.77%","45,863"
92,'005500,신,삼진제약,"19,990",▲,"580","+2.99","2,149,557","1,411.71","16.14%","45,843"
93,'420770,신,기가비스,"139,600",▲,"200","+0.14","317,609","101.68","2.51%","45,525"
94,'000880,신,한화,"126,900",▼,"-3,300","-2.53","369,431","73.82","0.53%","45,354"
95,'000100,신,유한양행,"77,200",▼,"-2,900","-3.62","575,864","113.36","0.73%","45,183"
96,'100790,신,미래에셋벤처투자,"39,800",▼,"-3,150","-7.33","1,099,072","49.16","2.07%","44,956"
97,'375500,신,DL이앤씨,"70,700",▼,"-800","-1.12","635,814","117.47","1.65%","44,826"
98,'088350,신,한화생명,"4,785",▼,"-80","-1.64","9,009,013","302.24","1.04%","44,585"
99,'098460,신,고영,"31,350",▼,"-2,550","-7.52","1,411,912","82.06","2.06%","44,556"
100,'295310,신,에이치브이엠,"92,000",▼,"-10,600","-10.33","448,588","66.52","3.73%","44,195"
101,'267270,신,HD건설기계,"145,400",▼,"-3,300","-2.22","294,879","75.64","0.62%","43,523"
102,'034230,신,파라다이스,"15,400",▲,"710","+4.83","2,823,357","120.86","3.05%","43,257"
103,'488280,신,에스투더블유,"18,960",▲,"1,730","+10.04","2,088,345","434.54","19.34%","42,075"
104,'356680,신,엑스게이트,"17,430",▼,"-2,820","-13.93","2,327,339","28.32","8.16%","41,903"
105,'021240,신,코웨이,"93,500",▲,"500","+0.54","433,513","154.15","0.62%","41,261"
106,'490470,신,세미파이브,"31,950",▼,"-6,150","-16.14","1,256,180","141.26","3.70%","41,214"
107,'443060,신,HD현대마린솔루션,"219,000",▼,"-1,000","-0.45","185,006","44.71","0.42%","40,968"
108,'082740,신,한화엔진,"55,200",▼,"-2,100","-3.66","729,487","64.76","0.88%","40,924"
109,'067310,경,하나마이크론,"41,850",▼,"-3,550","-7.82","956,297","50.84","1.44%","40,347"
110,'008770,신,호텔신라,"54,700",▼,"-300","-0.55","721,849","103.60","1.84%","40,299"
111,'020150,신,롯데에너지머티리얼즈,"54,200",▼,"-6,800","-11.15","721,359","64.12","1.38%","39,834"
112,'092220,증,KEC,"5,350",▲,"210","+4.09","6,795,001","634.79","16.93%","39,550"
113,'084670,증,동양고속,"40,500",▼,"-950","-2.29","853,958","66.75","29.50%","39,095"
114,'004020,신,현대제철,"35,500",▼,"-2,550","-6.70","1,075,500","101.47","0.81%","38,878"
115,'103590,신,일진전기,"79,800",▼,"-6,100","-7.10","470,286","93.61","0.99%","37,976"
116,'077360,신,덕산하이메탈,"14,500",▼,"-510","-3.40","2,544,841","87.24","5.61%","37,618"
117,'001450,신,현대해상,"35,300",▲,"200","+0.57","1,036,574","124.50","1.22%","37,166"
118,'476830,신,알지노믹스,"102,500",▼,"-7,500","-6.82","338,209","80.23","2.43%","36,694"
