순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'038500,경,삼표시멘트,"19,650",▲,"1,210","+6.56","59,372,222","","55.02%","1,174,029"
2,'322000,신,HD현대에너지솔루션,"82,400",▲,"500","+0.61","9,302,922","73.32","83.07%","801,055"
3,'100790,,미래에셋벤처투자,"24,400",▲,"1,500","+6.55","19,067,610","348.23","35.90%","473,418"
4,'139480,신,이마트,"101,300",▼,"-2,300","-2.22","3,820,099","155.81","13.85%","423,102"
5,'090710,경,휴림로봇,"13,770",▲,"410","+3.07","27,134,061","255.86","22.72%","376,082"
6,'347700,증,스피어,"37,350",↑,"8,600","+29.91","9,910,292","431.58","21.15%","339,149"
7,'489790,신,한화비전,"67,300",▲,"5,200","+8.37","4,850,594","293.42","9.61%","318,640"
8,'056080,,유진로봇,"31,750",▲,"1,900","+6.37","8,005,026","265.71","21.34%","272,696"
9,'003380,,하림지주,"15,170",▼,"-1,360","-8.23","16,441,419","66.19","14.68%","267,806"
10,'0001A0,,덕양에너젠,"29,300",▼,"-1,750","-5.64","7,659,657","36.25","30.90%","249,669"
11,'080220,신,제주반도체,"41,900", ,"0","0","5,590,149","113.68","16.24%","231,257"
12,'440110,주,파두,"45,150",▲,"450","+1.01","5,118,098","31.88","10.35%","230,345"
13,'010060,신,OCI홀딩스,"148,700",▲,"10,200","+7.36","1,513,101","158.01","8.11%","223,733"
14,'214450,신,파마리서치,"339,500",▲,"3,000","+0.89","625,423","35.83","6.02%","207,884"
15,'008830,신,대동기어,"22,200",▼,"-650","-2.84","7,989,352","44.47","88.90%","193,995"
16,'099320,신,쎄트렉아이,"185,900",▲,"3,700","+2.03","1,009,329","123.71","9.22%","180,403"
17,'225190,증,LK삼양,"2,545",↑,"586","+29.91","75,067,709","651.02","106.53%","177,777"
18,'065170,환,비엘팜텍,"5,000",▼,"-1,060","-17.49","33,229,977","7,194.77","124.54%","171,561"
19,'058610,신,에스피지,"135,400",▼,"-13,200","-8.88","1,225,875","151.76","5.53%","168,075"
20,'255220,,SG,"3,350",▲,"385","+12.98","50,085,160","236.68","48.19%","164,777"
21,'403870,신,HPSP,"46,000",▲,"900","+2.00","3,445,458","135.19","4.11%","156,572"
22,'347850,신,디앤디파마텍,"78,100",▼,"-7,700","-8.97","1,943,707","115.70","4.47%","152,952"
23,'171090,증,선익시스템,"89,700",▲,"10,400","+13.11","1,715,609","76.37","17.89%","150,232"
24,'000490,신,대동,"11,350",▼,"-340","-2.91","11,950,915","46.70","41.46%","149,731"
25,'098460,신,고영,"32,600",▼,"-2,250","-6.46","4,349,953","41.04","6.34%","143,663"
26,'024060,신,흥구석유,"14,620",▲,"920","+6.72","9,420,828","444.52","62.81%","137,696"
27,'478340,신,나라스페이스테크놀로지,"53,400",▲,"1,300","+2.50","2,583,764","171.32","22.41%","136,559"
28,'348340,위,뉴로메카,"90,800",▼,"-7,200","-7.35","1,408,760","102.75","11.45%","136,005"
29,'036930,신,주성엔지니어링,"46,900",▲,"2,750","+6.23","2,936,710","92.75","6.22%","134,335"
30,'108490,신,로보티즈,"272,000",▼,"-17,000","-5.88","494,002","84.00","3.38%","133,915"
31,'025980,신,아난티,"8,780",▲,"750","+9.34","13,907,520","936.87","14.69%","119,911"
32,'050890,신,쏠리드,"9,370",▲,"790","+9.21","12,867,538","652.88","21.18%","118,782"
33,'474170,신,루미르,"19,460",▲,"1,370","+7.57","6,038,100","359.40","33.89%","117,151"
34,'033340,신,좋은사람들,"1,916",▲,"266","+16.12","61,411,777","5,851.10","63.35%","117,135"
35,'457190,,이수스페셜티케미컬,"99,700",▼,"-5,900","-5.59","1,169,607","52.48","3.88%","116,594"
36,'295310,,에이치브이엠,"84,800",▲,"7,000","+9.00","1,408,346","131.65","11.84%","115,953"
37,'047770,신,코데즈컴바인,"3,970",↑,"915","+29.95","31,563,435","3,043.99","83.41%","115,196"
38,'272290,신,이녹스첨단소재,"38,950",▲,"4,000","+11.44","2,957,032","187.10","14.84%","109,261"
39,'251270,신,넷마블,"55,300",▲,"4,500","+8.86","1,924,220","162.31","2.24%","107,562"
40,'095340,신,ISC,"162,400",▲,"13,600","+9.14","685,469","100.36","3.24%","107,015"
41,'489500,신,엘케이켐,"49,350",▲,"5,000","+11.27","2,257,690","99.28","35.97%","106,022"
42,'101490,신,에스앤에스텍,"92,400",▲,"5,600","+6.45","1,147,890","233.60","5.39%","104,593"
43,'033100,신,제룡전기,"57,400",▼,"-5,700","-9.03","1,725,130","24.36","10.75%","101,025"
44,'204320,신,HL만도,"57,500",▼,"-4,000","-6.50","1,714,030","182.57","3.66%","98,572"
45,'032820,경,우리기술,"9,490",▲,"140","+1.50","10,686,018","94.22","6.41%","98,305"
46,'018880,신,한온시스템,"3,770",▼,"-260","-6.45","25,947,446","23.30","2.53%","97,927"
47,'017800,신,현대엘리베이터,"102,100",▲,"5,900","+6.13","949,727","254.70","2.43%","94,209"
48,'319400,경,현대무벡스,"31,050",▼,"-2,200","-6.62","3,010,845","160.91","2.71%","92,215"
49,'001430,신,세아베스틸지주,"82,600",▲,"2,300","+2.86","1,134,117","154.18","3.17%","90,329"
50,'226950,증,올릭스,"122,900",▼,"-9,200","-6.96","743,623","125.36","3.69%","90,105"
51,'491000,신,리브스메드,"79,200",▼,"-2,800","-3.41","1,135,466","142.72","4.61%","90,078"
52,'083650,신,비에이치아이,"75,200",▲,"1,200","+1.62","1,208,925","126.43","3.91%","89,495"
53,'483650,신,달바글로벌,"170,000",▲,"600","+0.35","506,433","65.41","4.09%","85,527"
54,'353200,신,대덕전자,"58,500",▼,"-100","-0.17","1,446,928","141.87","2.93%","84,449"
55,'004060,신,SG세계물산,"491",▲,"46","+10.34","153,484,043","79.36","75.83%","82,700"
56,'079900,신,전진건설로봇,"55,700",▼,"-5,900","-9.58","1,416,568","31.61","9.71%","79,801"
57,'417010,신,나노팀,"12,440",▲,"1,390","+12.58","6,377,631","1,125.84","31.62%","79,135"
58,'466100,신,클로봇,"64,100",▼,"-4,500","-6.56","1,242,797","159.73","4.98%","78,778"
