순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'100790,신,미래에셋벤처투자,"22,100",↑,"5,100","+30.00","35,727,350","354.63","67.26%","738,940"
2,'253590,신,네오셈,"18,810",▲,"4,040","+27.35","22,996,423","711.83","52.43%","405,095"
3,'478340,신,나라스페이스테크놀로지,"60,300",▲,"5,100","+9.24","6,486,976","278.30","56.25%","397,968"
4,'257720,신,실리콘투,"46,050",▼,"-5,950","-11.44","8,088,706","643.39","13.23%","369,195"
5,'080220,신,제주반도체,"42,450",▲,"3,250","+8.29","8,530,351","100.25","24.77%","352,843"
6,'012210,신,삼미금속,"17,900",▲,"1,750","+10.84","16,698,320","104.45","75.25%","307,105"
7,'0001A0,,덕양에너젠,"34,550",▼,"-3,950","-10.26","8,395,227","27.99","33.87%","306,970"
8,'380550,주,뉴로핏,"35,150",▼,"-1,550","-4.22","7,366,307","34.40","63.31%","259,434"
9,'066970,,엘앤에프,"119,600",▼,"-3,700","-3.00","2,140,981","174.73","5.33%","251,664"
10,'489790,신,한화비전,"64,200",▲,"7,300","+12.83","3,896,501","186.60","7.72%","245,913"
11,'027360,신,아주IB투자,"5,110",▲,"635","+14.19","44,812,999","435.06","37.00%","231,517"
12,'064260,신,다날,"9,620",▲,"550","+6.06","22,881,634","246.30","30.44%","221,896"
13,'038460,신,바이오스마트,"6,080",▲,"400","+7.04","30,824,560","287.22","117.82%","190,477"
14,'108490,신,로보티즈,"323,500",▲,"16,000","+5.20","520,786","52.23","3.58%","167,528"
15,'474170,신,루미르,"20,250",▲,"2,690","+15.32","8,378,645","80.34","47.03%","166,690"
16,'038500,경,삼표시멘트,"14,190",↑,"3,270","+29.95","12,541,066","45.62","11.63%","163,987"
17,'003380,신,하림지주,"15,140",▲,"1,230","+8.84","10,775,430","95.15","9.63%","161,397"
18,'272290,신,이녹스첨단소재,"39,300",▲,"3,800","+10.70","4,200,618","87.96","21.08%","161,085"
19,'403870,신,HPSP,"47,000",▲,"4,350","+10.20","3,505,536","79.34","4.18%","160,608"
20,'457190,신,이수스페셜티케미컬,"107,400",▲,"3,800","+3.67","1,495,769","85.12","4.96%","159,392"
21,'098460,신,고영,"32,700",▲,"550","+1.71","4,897,048","81.55","7.14%","159,119"
22,'456160,신,지투지바이오,"84,400",▲,"10,100","+13.59","1,823,909","251.17","11.11%","150,255"
23,'464490,신,쿼드메디슨,"17,700",▲,"2,700","+18.00","8,505,510","182.85","75.00%","148,266"
24,'079900,신,전진건설로봇,"65,500",↑,"15,100","+29.96","2,376,429","963.95","16.29%","144,475"
25,'099320,,쎄트렉아이,"214,000",▲,"26,100","+13.89","683,698","128.95","6.25%","142,955"
26,'004560,신,현대비앤지스틸,"18,100",▲,"580","+3.31","7,592,076","122.41","50.35%","140,279"
27,'353200,신,대덕전자,"64,800",▲,"4,100","+6.75","2,170,525","81.83","4.40%","138,709"
28,'234340,,헥토파이낸셜,"24,350",▲,"1,800","+7.98","5,411,167","462.16","38.74%","136,625"
29,'090710,위,휴림로봇,"14,650",▲,"270","+1.88","9,486,567","63.57","7.95%","135,933"
30,'0007C0,신,아크릴,"47,600", ,"0","0","2,848,287","56.30","35.47%","135,715"
31,'058610,,에스피지,"156,700",▲,"8,200","+5.52","862,219","51.29","3.89%","134,057"
32,'214450,신,파마리서치,"452,500",▲,"30,000","+7.10","297,857","58.85","2.87%","131,238"
33,'222800,신,심텍,"62,700",▲,"3,100","+5.20","2,087,139","67.20","5.59%","130,120"
34,'067310,신,하나마이크론,"37,350",▲,"1,000","+2.75","3,536,566","103.25","5.33%","130,052"
35,'036930,신,주성엔지니어링,"46,550",▲,"5,700","+13.95","2,909,660","92.65","6.16%","128,641"
36,'348340,위,뉴로메카,"88,200",▲,"5,500","+6.65","1,407,680","90.74","11.75%","127,146"
37,'125490,신,한라캐스트,"22,900",▲,"600","+2.69","5,552,516","45.67","15.22%","123,751"
38,'003530,신,한화투자증권,"6,820",▲,"770","+12.73","18,425,170","288.22","8.59%","123,649"
39,'001510,신,SK증권,"954",▲,"84","+9.66","126,621,324","262.18","26.80%","123,247"
40,'319400,위,현대무벡스,"34,500",▲,"1,100","+3.29","3,573,500","37.99","3.21%","122,712"
41,'206650,신,유바이오로직스,"13,660",▲,"1,160","+9.28","8,230,966","119.46","22.45%","120,527"
42,'032820,경,우리기술,"9,170",▲,"400","+4.56","12,525,717","66.37","7.52%","112,879"
43,'036540,신,SFA반도체,"7,600",▲,"630","+9.04","13,937,614","107.54","8.48%","103,431"
44,'128820,신,대성산업,"8,650",▲,"300","+3.59","11,154,274","77.85","24.66%","100,204"
45,'001430,신,세아베스틸지주,"82,600",▲,"11,700","+16.50","1,257,759","260.26","3.51%","99,663"
46,'006220,신,제주은행,"16,720",▼,"-330","-1.94","6,052,532","19.06","16.02%","98,881"
47,'117730,증,티로보틱스,"25,900",▲,"2,150","+9.05","3,650,919","302.92","16.48%","96,011"
48,'062040,신,산일전기,"148,100",▲,"11,900","+8.74","649,651","129.97","2.13%","94,923"
49,'204320,신,HL만도,"63,200",▲,"1,800","+2.93","1,505,022","131.54","3.21%","93,275"
50,'008830,신,대동기어,"20,800",▲,"3,080","+17.38","4,387,842","1,184.65","48.83%","91,903"
51,'084670,증,동양고속,"58,300",▲,"3,400","+6.19","1,486,948","64.22","51.36%","88,394"
52,'281740,신,레이크머티리얼즈,"25,950",▼,"-550","-2.08","3,401,882","101.51","5.18%","87,869"
53,'475830,신,오름테라퓨틱,"118,600",▲,"12,800","+12.10","736,916","182.83","3.48%","85,762"
54,'060250,,NHN KCP,"24,100",▲,"1,350","+5.93","3,621,267","57.01","9.02%","85,653"
55,'323280,,태성,"73,900",▲,"900","+1.23","1,163,699","96.91","3.82%","85,102"
56,'007810,경,코리아써키트,"59,500",▼,"-4,700","-7.32","1,415,050","300.26","6.00%","85,022"
57,'003310,신,대주산업,"5,370",▼,"-30","-0.56","15,180,532","57.97","42.90%","84,931"
58,'417010,신,나노팀,"11,950",▲,"1,830","+18.08","6,882,172","707.25","34.12%","84,499"
59,'295310,,에이치브이엠,"92,900",▲,"5,600","+6.41","901,573","103.58","7.58%","83,399"
60,'082740,신,한화엔진,"57,400",▲,"4,300","+8.10","1,471,779","113.09","1.77%","82,792"
61,'000990,신,DB하이텍,"113,800",▲,"10,800","+10.49","742,467","73.32","1.71%","81,932"
62,'365330,신,에스와이스틸텍,"4,100",▲,"570","+16.15","19,981,325","1,484.83","39.83%","81,138"
63,'189300,,인텔리안테크,"108,100",▲,"10,600","+10.87","755,946","171.17","7.05%","80,364"
64,'290650,주,엘앤씨바이오,"89,500",▲,"1,700","+1.94","913,069","68.37","3.68%","80,143"
65,'486990,신,노타,"41,300",▼,"-550","-1.31","1,937,426","142.52","9.09%","78,875"
66,'255220,,SG,"3,240",▲,"590","+22.26","24,457,553","721.63","23.54%","78,603"
67,'018880,신,한온시스템,"3,490",▲,"290","+9.06","23,235,702","244.92","2.27%","78,547"
68,'036570,신,엔씨소프트,"216,000",▼,"-4,000","-1.82","359,374","127.85","1.67%","76,994"
69,'140410,증,메지온,"158,600",▲,"700","+0.44","467,311","74.67","1.54%","75,614"
70,'005290,신,동진쎄미켐,"55,800",▲,"4,800","+9.41","1,390,377","59.94","2.71%","74,960"
71,'347850,신,디앤디파마텍,"90,900",▲,"1,900","+2.13","820,091","70.07","1.89%","74,516"
72,'466100,신,클로봇,"73,600",▲,"3,600","+5.14","1,020,806","40.40","4.09%","74,135"
73,'089030,신,테크윙,"47,500",▲,"2,300","+5.09","1,582,218","58.52","4.28%","73,833"
74,'127120,증,제이에스링크,"28,800",▲,"6,550","+29.44","2,679,474","253.18","8.20%","73,620"
75,'000490,신,대동,"10,830",▲,"1,260","+13.17","6,557,835","2,526.44","22.75%","72,040"
76,'263750,신,펄어비스,"52,800",▼,"-2,500","-4.52","1,341,996","133.82","2.09%","71,186"
77,'095340,신,ISC,"154,400",▲,"17,200","+12.54","470,884","133.03","2.23%","69,679"
78,'039030,신,이오테크닉스,"395,000",▲,"40,500","+11.42","178,776","74.64","1.46%","67,793"
79,'030530,신,원익홀딩스,"42,000",▲,"2,300","+5.79","1,640,281","74.23","2.13%","67,491"
80,'397030,신,에이프릴바이오,"63,200",▲,"2,200","+3.61","1,057,504","54.52","4.54%","66,352"
81,'347700,경,스피어,"28,550",▲,"1,350","+4.96","2,295,531","75.25","4.90%","65,449"
82,'103590,신,일진전기,"65,200",▲,"5,800","+9.76","1,021,761","75.72","2.15%","65,072"
83,'222080,,씨아이에스,"12,050",▲,"140","+1.18","5,448,585","48.37","7.05%","64,952"
84,'226950,증,올릭스,"138,100",▲,"7,300","+5.58","474,378","91.94","2.35%","64,837"
85,'006805,신,미래에셋증권우,"22,000",▲,"2,550","+13.11","2,847,264","257.43","20.23%","62,964"
86,'456010,신,아이씨티케이,"18,180",▲,"1,370","+8.15","3,341,276","479.68","24.04%","61,213"
87,'491000,신,리브스메드,"74,600",▲,"4,900","+7.03","810,528","91.11","3.29%","60,709"
88,'101490,신,에스앤에스텍,"90,600",▲,"7,400","+8.89","689,735","75.17","3.24%","60,152"
89,'348370,증,엔켐,"84,900",▲,"2,400","+2.91","701,532","44.79","3.22%","59,232"
90,'368770,신,파이버프로,"17,900",▼,"-100","-0.56","3,028,901","73.15","9.22%","57,046"
91,'0015G0,경,그린광학,"38,150",▲,"2,750","+7.77","1,501,619","112.05","12.84%","56,101"
92,'232140,신,와이씨,"20,450",▲,"2,480","+13.80","2,881,691","149.14","3.52%","55,926"
93,'092870,신,엑시콘,"28,350",▲,"3,800","+15.48","1,970,757","299.90","15.11%","55,559"
94,'009420,신,한올바이오파마,"54,000",▲,"4,650","+9.42","1,004,775","158.88","1.93%","53,232"
95,'476830,신,알지노믹스,"148,400",▲,"7,700","+5.47","361,782","81.36","2.60%","53,120"
96,'237690,신,에스티팜,"160,900",▲,"7,400","+4.82","328,455","88.25","1.59%","52,663"
97,'450080,신,에코프로머티,"67,300",▲,"3,000","+4.67","797,202","50.76","1.13%","52,450"
98,'060280,신,큐렉소,"20,200",▲,"510","+2.59","2,637,129","27.28","6.42%","52,154"
99,'357780,,솔브레인,"443,500",▲,"24,000","+5.72","119,828","69.27","1.55%","52,009"
100,'0004V0,,엔비알모션,"22,250",▲,"1,500","+7.23","2,333,568","46.76","22.43%","51,650"
101,'041920,신,메디아나,"25,600",▲,"4,600","+21.90","2,035,454","168.72","10.95%","50,909"
102,'103140,신,풍산,"123,900",▲,"6,800","+5.81","415,621","42.98","1.49%","50,626"
103,'161580,신,필옵틱스,"55,500",▲,"2,400","+4.52","900,057","45.09","3.85%","49,457"
104,'000050,신,경방,"10,820",▲,"1,440","+15.35","4,508,876","316.17","16.45%","49,222"
105,'032350,증,롯데관광개발,"24,600",▼,"-300","-1.20","1,991,243","111.57","2.51%","49,215"
106,'011790,신,SKC,"117,100",▲,"5,700","+5.12","426,132","61.18","1.13%","49,052"
107,'00680K,신,미래에셋증권2우B,"17,800",▲,"2,650","+17.49","2,774,682","219.82","2.04%","48,045"
108,'120110,신,코오롱인더,"57,300",▲,"4,400","+8.32","866,917","113.07","3.16%","47,924"
109,'462350,경,이노스페이스,"24,350",▲,"2,650","+12.21","2,044,011","192.36","9.90%","47,534"
110,'083650,신,비에이치아이,"74,000",▲,"4,400","+6.32","638,541","52.83","2.07%","46,321"
111,'388210,신,씨엠티엑스,"140,600",▲,"17,600","+14.31","338,934","121.44","3.66%","46,314"
112,'483650,신,달바글로벌,"157,900",▼,"-700","-0.44","300,322","96.15","2.43%","46,192"
113,'020150,신,롯데에너지머티리얼즈,"41,900",▲,"5,100","+13.86","1,144,133","216.94","2.19%","46,052"
114,'009830,신,한화솔루션,"28,000",▲,"1,500","+5.66","1,645,044","73.37","0.96%","45,376"
115,'077360,신,덕산하이메탈,"9,180",▲,"210","+2.34","4,749,195","157.33","10.46%","45,241"
116,'254490,신,미래반도체,"18,940",▲,"1,870","+10.95","2,346,243","651.96","16.26%","45,096"
