순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'489790,신,한화비전,"86,000",▲,"10,200","+13.46","15,674,252","162.97","31.05%","1,343,870"
2,'080220,신,제주반도체,"50,700",▲,"7,200","+16.55","26,205,371","1,159.42","76.09%","1,303,044"
3,'001510,,SK증권,"2,150",▲,"343","+18.98","354,088,303","1,390.90","74.93%","766,226"
4,'047040,신,대우건설,"10,050",▲,"1,300","+14.86","77,399,247","184.36","18.63%","765,677"
5,'187660,위,현대ADM,"18,670",▲,"3,000","+19.14","38,769,080","","69.90%","724,657"
6,'046890,주,서울반도체,"13,440",▲,"1,070","+8.65","36,572,885","485.73","62.73%","511,848"
7,'003530,신,한화투자증권,"8,530",▲,"330","+4.02","54,551,388","598.05","25.43%","488,765"
8,'036540,신,SFA반도체,"8,340",▲,"1,170","+16.32","55,449,340","1,813.11","33.72%","449,242"
9,'319400,,현대무벡스,"34,100",▼,"-1,450","-4.08","9,314,719","62.14","8.37%","332,193"
10,'403870,신,HPSP,"43,300",▲,"2,300","+5.61","7,494,833","240.04","8.93%","324,780"
11,'048410,경,현대바이오,"16,800",▼,"-2,260","-11.86","18,324,914","307.03","19.09%","315,131"
12,'018880,신,한온시스템,"4,785",▲,"255","+5.63","55,534,626","104.73","5.42%","263,120"
13,'012860,,모베이스전자,"5,020",▲,"20","+0.40","51,294,377","211.62","70.05%","261,203"
14,'058610,신,에스피지,"151,300",▲,"4,000","+2.72","1,629,392","59.08","7.35%","243,300"
15,'011790,신,SKC,"105,700",▼,"-8,000","-7.04","2,170,438","371.67","5.74%","238,198"
16,'103590,신,일진전기,"88,700",▲,"4,100","+4.85","2,679,706","41.47","5.62%","237,647"
17,'221800,경,유투바이오,"26,850",▲,"900","+3.47","7,770,604","114.88","48.78%","228,193"
18,'108490,신,로보티즈,"296,500",▲,"8,500","+2.95","729,444","165.27","4.98%","214,084"
19,'336260,신,두산퓨얼셀,"39,600",▲,"1,500","+3.94","4,967,661","213.20","7.59%","203,828"
20,'049630,,재영솔루텍,"4,365",▲,"20","+0.46","41,048,286","378.89","35.12%","199,391"
21,'032820,경,우리기술,"16,580",▼,"-660","-3.83","11,763,391","86.41","7.06%","196,995"
22,'457190,신,이수스페셜티케미컬,"107,600",▲,"3,500","+3.36","1,671,483","66.39","5.54%","180,145"
23,'039440,신,에스티아이,"40,550",▲,"6,450","+18.91","4,430,727","432.19","28.58%","175,185"
24,'234340,신,헥토파이낸셜,"27,000",▲,"3,650","+15.63","6,280,320","868.02","44.96%","172,657"
25,'017800,신,현대엘리베이터,"100,100",▼,"-8,900","-8.17","1,709,300","165.65","4.38%","170,984"
26,'024060,신,흥구석유,"19,230",▼,"-1,870","-8.86","8,300,417","75.88","55.34%","166,653"
27,'476060,주,온코닉테라퓨틱스,"22,750",▼,"-3,550","-13.50","6,938,579","29.36","15.46%","164,704"
28,'450080,신,에코프로머티,"70,200",▲,"300","+0.43","2,158,568","114.33","3.06%","153,740"
29,'067310,신,하나마이크론,"37,150",▲,"2,500","+7.22","4,193,515","242.51","6.32%","153,199"
