순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'130660,신,한전산업,"18,660",▲,"2,560","+15.90","19,320,434","61.14","59.27%","351,647"
2,'003380,주,하림지주,"17,690",▼,"-1,920","-9.79","15,926,736","113.89","14.22%","304,867"
3,'018880,신,한온시스템,"3,910",▲,"185","+4.97","70,664,879","70.80","6.89%","298,634"
4,'322000,신,HD현대에너지솔루션,"70,100",▼,"-400","-0.57","3,916,602","134.16","34.97%","298,571"
5,'440110,증,파두,"42,000",▲,"6,150","+17.15","5,925,243","507.06","11.98%","252,789"
6,'214450,신,파마리서치,"362,000",▼,"-77,500","-17.63","628,490","87.45","6.05%","237,774"
7,'098460,신,고영,"34,700",▲,"900","+2.66","6,124,472","38.92","8.93%","220,456"
8,'033100,신,제룡전기,"61,300",▲,"900","+1.49","1,671,559","30.40","10.41%","102,759"
9,'474650,신,링크솔루션,"77,500",▲,"14,800","+23.60","1,335,827","976.81","23.76%","102,037"
10,'380550,,뉴로핏,"31,400",▼,"-2,700","-7.92","2,973,833","79.84","25.51%","100,946"
11,'080220,신,제주반도체,"42,550",▼,"-1,300","-2.96","2,299,718","14.06","6.68%","98,619"
12,'004310,,현대약품,"14,070",▲,"2,350","+20.05","7,044,071","234.98","22.02%","97,965"
13,'171090,증,선익시스템,"70,600",▼,"-6,100","-7.95","1,099,836","49.85","11.47%","85,984"
14,'347850,신,디앤디파마텍,"88,000",▲,"2,000","+2.33","953,628","53.81","2.20%","85,924"
15,'456160,신,지투지바이오,"87,200",▼,"-600","-0.68","938,201","43.88","5.72%","84,574"
16,'139480,신,이마트,"101,600",▲,"7,000","+7.40","771,661","210.90","2.80%","79,082"
17,'010060,신,OCI홀딩스,"138,100",▼,"-13,000","-8.60","462,041","22.01","2.48%","65,757"
18,'000050,신,경방,"13,100",▲,"1,400","+11.97","4,676,785","117.85","17.06%","65,439"
19,'079900,신,전진건설로봇,"69,200",▲,"4,700","+7.29","980,396","19.48","6.72%","64,166"
20,'128820,주,대성산업,"10,330",▼,"-910","-8.10","5,534,672","26.82","12.24%","61,316"
21,'100790,주,미래에셋벤처투자,"22,950",▼,"-2,050","-8.20","2,598,787","9.96","4.90%","60,550"
22,'094820,신,일진파워,"17,080",▲,"1,050","+6.55","3,399,478","406.96","22.55%","59,878"
23,'457190,주,이수스페셜티케미컬,"115,400",▼,"-6,800","-5.56","455,376","13.03","1.51%","53,368"
24,'108490,신,로보티즈,"299,500",▼,"-15,000","-4.77","173,604","35.44","1.19%","52,313"
25,'094360,신,칩스앤미디어,"19,740",▲,"650","+3.40","2,479,289","362.37","11.66%","49,935"
26,'0009K0,신,에임드바이오,"57,000",▲,"1,400","+2.52","719,880","46.01","1.12%","41,820"
27,'032820,경,우리기술,"9,490",▲,"10","+0.11","4,301,074","15.38","2.58%","40,690"
28,'489500,신,엘케이켐,"42,000",▲,"2,450","+6.19","919,782","81.89","14.66%","40,033"
29,'020150,신,롯데에너지머티리얼즈,"49,850",▲,"2,100","+4.40","819,324","22.04","1.57%","39,726"
30,'249420,,일동제약,"37,850",▼,"-200","-0.53","996,743","163.30","3.16%","39,036"
31,'483650,신,달바글로벌,"169,500",▲,"9,400","+5.87","734,325","230.28","5.93%","122,493"
32,'058610,,에스피지,"149,000",▼,"-6,600","-4.24","790,902","104.19","3.57%","117,972"
33,'100790,주,미래에셋벤처투자,"23,300",▼,"-1,700","-6.80","5,054,884","19.37","9.52%","117,009"
34,'403870,신,HPSP,"45,750",▼,"-100","-0.22","2,470,749","62.45","2.95%","112,509"
35,'000050,신,경방,"12,060",▲,"360","+3.08","8,247,814","207.84","30.09%","111,822"
36,'950250,신,테라뷰,"10,110",▲,"10","+0.10","10,489,903","60.96","29.54%","110,565"
37,'464490,신,쿼드메디슨,"18,530",▲,"1,380","+8.05","5,860,235","530.63","51.68%","110,270"
38,'066970,,엘앤에프,"119,300",▼,"-1,400","-1.16","865,924","127.33","2.16%","104,427"
39,'103140,신,풍산,"112,800",▼,"-8,100","-6.70","915,110","115.79","3.27%","103,881"
40,'032820,경,우리기술,"9,350",▼,"-130","-1.37","11,110,893","39.74","6.67%","103,432"
41,'095340,신,ISC,"149,600",▲,"6,500","+4.54","672,962","149.86","3.18%","100,372"
42,'489790,신,한화비전,"62,200",▼,"-1,900","-2.96","1,603,296","109.54","3.18%","100,288"
43,'489500,신,엘케이켐,"44,350",▲,"4,800","+12.14","2,266,481","201.80","36.11%","99,640"
44,'128820,주,대성산업,"9,800",▼,"-1,440","-12.81","9,282,071","44.99","20.52%","98,495"
45,'062040,신,산일전기,"148,600",▼,"-8,400","-5.35","648,468","57.65","2.13%","97,223"
46,'020150,신,롯데에너지머티리얼즈,"49,150",▲,"1,400","+2.93","1,987,708","53.48","3.80%","97,084"
47,'004060,신,SG세계물산,"445",▲,"29","+6.97","190,487,276","616.52","94.11%","95,446"
48,'499790,신,GS피앤엘,"60,900",▲,"5,700","+10.33","1,541,598","299.43","7.78%","91,889"
49,'104620,신,노랑풍선,"5,650",▲,"400","+7.62","15,426,625","4,435.94","91.77%","91,443"
50,'365330,신,에스와이스틸텍,"4,160",▲,"125","+3.10","21,203,638","380.44","42.27%","91,183"
51,'000990,신,DB하이텍,"105,600",▼,"-5,200","-4.69","830,333","125.84","1.91%","88,024"
52,'077360,신,덕산하이메탈,"11,900",▲,"260","+2.23","7,469,949","51.41","16.45%","88,009"
53,'290650,,엘앤씨바이오,"90,400",▼,"-3,900","-4.14","948,815","98.23","3.82%","86,776"
54,'295310,,에이치브이엠,"80,100",▼,"-11,900","-12.93","1,046,973","177.76","8.80%","85,645"
55,'094820,신,일진파워,"16,680",▲,"650","+4.05","4,765,732","570.52","31.61%","82,742"
56,'066430,증,아이로보틱스,"3,690",▲,"785","+27.02","23,732,509","207.49","60.62%","80,631"
57,'257720,신,실리콘투,"43,250",▼,"-1,650","-3.67","1,799,452","65.33","2.95%","80,298"
58,'226950,증,올릭스,"132,400",▼,"-6,500","-4.68","585,366","105.03","2.90%","80,095"
