순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'090710,위,휴림로봇,"14,820",▼,"-460","-3.01","152,808,075","165.37","127.92%","2,260,492"
2,'064260,신,다날,"9,800",▲,"900","+10.11","94,950,152","159.44","126.30%","946,913"
3,'108490,신,로보티즈,"280,000",▲,"31,500","+12.68","3,080,292","464.74","21.15%","862,924"
4,'348340,위,뉴로메카,"102,000",▼,"-19,700","-16.19","7,238,215","","63.11%","762,865"
5,'058610,신,에스피지,"119,900",▲,"16,000","+15.40","5,991,823","342.47","27.02%","706,456"
6,'319400,위,현대무벡스,"31,550",▼,"-2,000","-5.96","18,314,370","93.36","16.45%","596,848"
7,'032820,경,우리기술,"8,470",▲,"1,380","+19.46","57,542,009","170.63","34.51%","464,641"
8,'060250,신,NHN KCP,"20,400",▲,"1,910","+10.33","23,129,255","109.59","57.60%","457,390"
9,'491000,신,리브스메드,"80,800",↑,"18,600","+29.90","5,963,797","384.01","24.17%","454,752"
10,'098460,신,고영,"31,650",▲,"2,750","+9.52","14,466,262","304.44","21.08%","447,494"
11,'281740,신,레이크머티리얼즈,"24,950",▲,"4,650","+22.91","18,162,665","168.30","27.64%","432,022"
12,'222080,신,씨아이에스,"10,780",▲,"1,660","+18.20","32,497,069","144.29","42.01%","348,283"
13,'347850,신,디앤디파마텍,"96,100",▲,"10,300","+12.00","3,350,082","149.60","7.70%","314,236"
14,'011500,신,한농화성,"25,050",▲,"1,650","+7.05","10,201,475","100.31","65.24%","262,190"
15,'234340,신,헥토파이낸셜,"24,000",▲,"4,500","+23.08","10,388,033","172.79","74.36%","246,190"
16,'457190,,이수스페셜티케미컬,"99,100",▲,"2,500","+2.59","2,237,715","85.24","7.41%","224,042"
17,'388720,신,유일로보틱스,"135,000",↑,"31,100","+29.93","1,695,169","73.10","14.50%","203,122"
18,'140410,증,메지온,"151,000",▲,"32,900","+27.86","1,426,900","211.67","4.70%","202,973"
19,'466100,신,클로봇,"71,400",▲,"4,500","+6.73","2,868,582","136.24","11.48%","201,194"
20,'240810,신,원익IPS,"85,000",▲,"8,400","+10.97","2,367,745","420.67","4.83%","195,020"
21,'226950,증,올릭스,"147,500",▲,"20,100","+15.78","1,369,819","152.65","6.79%","194,352"
22,'237690,신,에스티팜,"149,400",▲,"9,800","+7.02","1,232,925","56.86","5.96%","180,679"
23,'476830,신,알지노믹스,"157,200",▲,"6,500","+4.31","1,087,310","94.52","7.81%","168,836"
24,'450080,신,에코프로머티,"65,400",▲,"3,700","+6.00","2,514,131","257.93","3.57%","162,631"
25,'083650,신,비에이치아이,"68,200",▲,"2,000","+3.02","2,334,545","69.52","7.55%","156,810"
26,'056080,경,유진로봇,"31,850",▲,"3,400","+11.95","5,155,833","93.20","13.75%","156,017"
27,'030530,신,원익홀딩스,"41,100",▲,"2,000","+5.12","3,573,204","128.71","4.63%","144,678"
28,'403870,신,HPSP,"35,850",▲,"1,850","+5.44","3,868,395","248.45","4.61%","137,282"
29,'161580,신,필옵틱스,"50,900",▲,"4,900","+10.65","2,736,465","214.41","11.70%","133,084"
30,'097230,증,HJ중공업,"25,400",▲,"1,650","+6.95","5,136,001","303.81","5.69%","127,601"
31,'204320,신,HL만도,"64,500",▼,"-1,000","-1.53","1,945,391","68.50","4.15%","125,568"
32,'290650,신,엘앤씨바이오,"65,000",▲,"8,000","+14.04","1,999,936","247.61","8.06%","124,239"
33,'263750,신,펄어비스,"49,600",▲,"5,650","+12.86","2,481,671","438.69","3.87%","124,088"
34,'257720,신,실리콘투,"52,200",▲,"2,900","+5.88","2,318,112","150.08","3.79%","119,175"
35,'456160,신,지투지바이오,"81,700",▲,"2,400","+3.03","1,470,609","130.07","8.96%","118,851"
36,'001440,신,대한전선,"26,600",▼,"-700","-2.56","4,424,758","62.99","2.38%","118,683"
37,'478340,,나라스페이스테크놀로지,"47,200",▼,"-1,350","-2.78","2,561,943","74.28","22.22%","118,611"
38,'090360,신,로보스타,"88,100",▲,"5,900","+7.18","1,330,960","207.51","13.66%","116,427"
39,'006910,신,보성파워텍,"8,190",▲,"430","+5.54","14,062,857","89.15","28.63%","114,283"
40,'068760,신,셀트리온제약,"70,000",▲,"6,500","+10.24","1,641,361","462.70","3.76%","112,758"
41,'100790,신,미래에셋벤처투자,"14,950",▲,"1,720","+13.00","7,773,486","150.26","14.64%","111,092"
42,'348370,증,엔켐,"72,800",▲,"8,000","+12.35","1,567,673","219.04","7.18%","110,560"
43,'039030,신,이오테크닉스,"321,500",▲,"22,000","+7.35","338,325","233.90","2.75%","106,654"
