순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'090710,경,휴림로봇,"11,080",▲,"1,560","+16.39","45,525,092","264.15","38.11%","493,944"
2,'056080,,유진로봇,"21,450",▲,"1,450","+7.25","13,068,787","42.89","34.84%","282,192"
3,'058610,신,에스피지,"96,300",▲,"9,200","+10.56","3,038,084","87.50","13.70%","280,910"
4,'0004V0,,엔비알모션,"22,200",▲,"4,490","+25.35","14,409,486","122.65","138.50%","279,451"
5,'459510,신,나우로보틱스,"31,300",↑,"7,200","+29.88","8,872,233","1,103.11","68.49%","260,565"
6,'108490,신,로보티즈,"267,500",▲,"17,500","+7.00","943,565","133.91","6.48%","245,246"
7,'319400,경,현대무벡스,"27,900",▲,"3,350","+13.65","8,386,922","269.92","7.54%","226,755"
8,'353200,신,대덕전자,"49,750",▲,"4,100","+8.98","3,410,630","330.85","6.91%","168,350"
9,'348340,주,뉴로메카,"56,000",▲,"1,700","+3.13","2,820,646","25.07","24.79%","153,500"
10,'452260,신,한화갤러리아,"2,105",↑,"483","+29.78","64,141,523","91.32","33.09%","132,096"
11,'098460,신,고영,"28,250",▲,"150","+0.53","4,647,495","59.99","6.77%","131,778"
12,'125490,신,한라캐스트,"19,670",▲,"1,280","+6.96","6,735,912","129.18","18.46%","130,691"
13,'295310,주,에이치브이엠,"74,600",▼,"-4,900","-6.16","1,557,482","439.27","13.09%","128,752"
14,'009520,신,포스코엠텍,"18,030",▲,"1,720","+10.55","7,075,760","689.27","17.00%","127,129"
15,'484810,신,티엑스알로보틱스,"20,000",▲,"1,500","+8.11","6,295,999","135.03","40.75%","125,963"
16,'455900,,엔젤로보틱스,"35,650",▲,"4,200","+13.35","3,464,401","426.21","22.77%","121,399"
17,'084670,경,동양고속,"68,600",▼,"-3,500","-4.85","1,474,803","106.36","50.94%","111,520"
18,'030530,신,원익홀딩스,"42,700",▲,"1,500","+3.64","2,626,543","64.20","3.41%","109,726"
19,'204320,신,HL만도,"63,000",▲,"900","+1.45","1,743,135","29.36","3.72%","106,875"
20,'222800,신,심텍,"50,300",▲,"2,300","+4.79","2,097,465","233.96","5.62%","106,863"
21,'456160,신,지투지바이오,"75,500",▲,"3,700","+5.15","1,290,642","134.13","7.86%","97,505"
22,'217590,,티엠씨,"14,170",▲,"1,500","+11.84","6,275,974","1,452.74","26.05%","91,580"
23,'097230,증,HJ중공업,"26,450",▲,"1,600","+6.44","3,430,002","156.93","3.80%","90,663"
24,'347850,신,디앤디파마텍,"91,100",▼,"-600","-0.65","956,319","47.21","2.20%","86,886"
25,'466100,신,클로봇,"62,800",▲,"2,200","+3.63","1,378,464","96.77","5.52%","84,991"
26,'448900,신,한국피아이엠,"76,900",▲,"11,100","+16.87","1,147,605","115.01","19.12%","80,954"
27,'000650,경,천일고속,"331,000",▲,"5,500","+1.69","203,788","104.18","14.26%","72,648"
28,'004800,신,효성,"149,800",▲,"12,900","+9.42","444,611","472.64","2.66%","68,855"
29,'117730,증,티로보틱스,"21,850",▲,"1,300","+6.33","3,057,280","149.79","14.04%","66,485"
30,'024060,신,흥구석유,"14,530",▲,"100","+0.69","4,344,456","39.86","28.97%","63,791"
31,'103140,신,풍산,"131,300",▲,"4,400","+3.47","945,240","155.36","3.38%","122,263"
32,'004310,,현대약품,"10,560",↑,"2,430","+29.89","11,549,989","1,079.50","36.10%","112,146"
33,'007810,신,코리아써키트,"60,400",▲,"8,600","+16.60","1,779,515","311.92","7.54%","104,132"
34,'217590,,티엠씨,"13,970",▲,"1,300","+10.26","7,156,352","1,656.53","29.71%","103,822"
35,'052690,신,한전기술,"114,000",▼,"-2,800","-2.40","849,103","26.43","2.23%","96,225"
36,'082740,신,한화엔진,"53,600",▲,"1,000","+1.90","1,752,515","92.80","2.11%","93,664"
37,'476830,,알지노믹스,"154,500",▼,"-3,200","-2.03","563,480","68.05","4.05%","88,985"
38,'101170,,우림피티에스,"22,550",▲,"1,800","+8.67","3,986,536","316.26","29.53%","88,761"
39,'000650,경,천일고속,"314,000",▼,"-11,500","-3.53","250,982","128.31","17.57%","87,568"
40,'117730,증,티로보틱스,"22,200",▲,"1,650","+8.03","3,992,982","195.63","18.33%","86,980"
41,'214450,신,파마리서치,"428,500",▼,"-12,500","-2.83","199,391","105.62","1.92%","85,731"
42,'403870,신,HPSP,"34,850",▲,"750","+2.20","2,416,302","133.04","2.89%","83,268"
43,'004800,신,효성,"152,400",▲,"15,500","+11.32","538,309","572.24","3.22%","83,025"
44,'024060,신,흥구석유,"14,750",▲,"320","+2.22","5,616,910","51.54","37.45%","82,442"
45,'049630,경,재영솔루텍,"5,370",▲,"580","+12.11","15,664,558","295.40","13.41%","80,909"
46,'462350,증,이노스페이스,"23,000",▼,"-250","-1.08","3,387,388","53.97","16.43%","79,821"
47,'101490,신,에스앤에스텍,"60,200",▼,"-3,300","-5.20","1,303,141","122.31","6.11%","77,188"
48,'001430,신,세아베스틸지주,"67,100",▼,"-800","-1.18","1,123,471","178.73","3.14%","76,327"
49,'001440,신,대한전선,"25,900",▲,"150","+0.58","2,950,543","53.80","1.59%","76,037"
50,'090360,신,로보스타,"79,300",▲,"4,900","+6.59","904,708","239.74","9.28%","70,348"
51,'226950,증,올릭스,"137,900",▲,"3,800","+2.83","510,650","83.85","2.53%","69,921"
52,'060280,신,큐렉소,"14,180",▲,"1,030","+7.83","4,897,941","647.75","11.93%","68,296"
53,'336260,신,두산퓨얼셀,"35,500",▼,"-1,400","-3.79","1,905,579","49.30","2.91%","67,194"
54,'083650,신,비에이치아이,"56,900",▲,"1,000","+1.79","1,184,227","83.97","3.83%","66,850"
55,'437730,신,삼현,"65,300",▲,"2,200","+3.49","1,041,651","120.96","3.29%","66,553"
56,'071970,신,HD현대마린엔진,"93,400",▲,"800","+0.86","700,964","72.76","2.07%","66,202"
57,'388720,,유일로보틱스,"90,900",▲,"4,300","+4.97","731,928","124.90","6.26%","65,043"
58,'486990,신,노타,"48,750",▲,"550","+1.14","1,331,687","74.79","6.25%","64,727"
59,'067310,신,하나마이크론,"28,750",▼,"-100","-0.35","2,258,358","55.98","3.41%","64,115"
60,'264850,신,이랜시스,"7,320",▲,"720","+10.91","8,479,948","736.40","28.00%","62,182"
61,'413630,신,씨피시스템,"4,410",▲,"465","+11.79","13,170,153","1,202.78","36.15%","61,316"
62,'240810,신,원익IPS,"78,800",▲,"500","+0.64","793,330","106.39","1.62%","61,234"
63,'066970,,엘앤에프,"115,400",▲,"2,100","+1.85","525,373","85.70","1.31%","59,706"
64,'491000,신,리브스메드,"56,900",▲,"100","+0.18","1,031,615","114.63","4.18%","59,110"
65,'376900,신,로킷헬스케어,"65,800",▼,"-1,200","-1.79","888,923","164.95","5.68%","58,645"
66,'270660,신,에브리봇,"23,700",▲,"2,000","+9.22","2,493,769","159.15","20.16%","57,697"
67,'388210,신,씨엠티엑스,"110,000",▼,"-4,200","-3.68","532,594","52.69","5.75%","57,455"
68,'039030,신,이오테크닉스,"303,000",▼,"-11,000","-3.50","185,028","183.05","1.51%","55,524"
69,'282880,신,코윈테크,"17,820",▲,"2,800","+18.64","3,087,299","4,497.82","26.92%","55,260"
70,'460930,신,현대힘스,"19,630",▲,"320","+1.66","2,978,507","754.64","8.39%","54,135"
71,'475830,신,오름테라퓨틱,"119,100",▼,"-400","-0.33","454,194","54.49","2.14%","54,074"
72,'0015G0,,그린광학,"26,150",▲,"500","+1.95","2,034,459","52.86","17.39%","53,295"
73,'389500,증,에스비비테크,"56,700",▲,"1,200","+2.16","941,395","114.92","14.87%","52,764"
74,'468530,신,프로티나,"87,800",▼,"-1,600","-1.79","597,679","122.26","5.47%","52,256"
