순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'038500,,삼표시멘트,"20,200",▲,"2,060","+11.36","56,360,178","270.62","52.23%","1,121,224"
2,'322000,,HD현대에너지솔루션,"130,700",▲,"25,700","+24.48","8,025,062","888.46","71.66%","1,003,329"
3,'475150,신,SK이터닉스,"37,350",↑,"8,600","+29.91","24,816,090","793.29","73.53%","829,384"
4,'010170,주,대한광통신,"7,670",▲,"510","+7.12","100,888,769","150.68","76.44%","812,380"
5,'032820,주,우리기술,"21,900",▼,"-800","-3.52","27,971,982","45.01","16.77%","612,452"
6,'050890,주,쏠리드,"12,400",▲,"690","+5.89","39,218,266","119.98","64.55%","490,390"
7,'0009K0,신,에임드바이오,"70,000",▲,"4,900","+7.53","6,697,900","239.27","10.36%","464,168"
8,'024060,경,흥구석유,"26,000",▲,"500","+1.96","12,941,217","72.81","86.28%","351,509"
9,'015750,신,성우하이텍,"11,260",▲,"610","+5.73","27,873,632","56.73","34.85%","325,185"
10,'336260,신,두산퓨얼셀,"46,350",▲,"5,250","+12.77","7,059,697","283.71","10.78%","322,807"
11,'218410,신,RFHIC,"83,800",▼,"-5,800","-6.47","3,016,872","42.27","11.37%","260,389"
12,'486990,신,노타,"44,100",▲,"6,800","+18.23","5,878,225","429.97","27.54%","250,076"
13,'047040,신,대우건설,"10,460",▲,"510","+5.13","23,761,041","125.16","5.72%","249,356"
14,'048410,주,현대바이오,"16,650",▲,"1,620","+10.78","13,004,982","662.90","13.55%","221,992"
15,'476830,신,알지노믹스,"180,100",▲,"13,300","+7.97","1,204,685","152.74","8.65%","210,714"
16,'032500,주,케이엠더블유,"26,100",▲,"1,400","+5.67","7,695,864","94.08","18.64%","200,441"
17,'010060,신,OCI홀딩스,"165,900",▲,"19,200","+13.09","1,120,852","505.75","6.01%","183,387"
18,'376900,증,로킷헬스케어,"102,100",▲,"5,100","+5.26","1,718,515","52.60","10.98%","173,721"
19,'046120,증,오르비텍,"8,160",↑,"1,880","+29.94","22,800,474","399.01","69.32%","173,588"
