순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'001820,경,삼화콘덴서,"149,100",▼,"-7,100","-4.55","6,239,545","45.73","60.03%","972,309"
2,'486990,증,노타,"38,800",▲,"4,200","+12.14","12,599,280","667.69","59.03%","476,839"
3,'010170,증,대한광통신,"22,700",▼,"-550","-2.37","18,438,881","79.78","11.86%","424,102"
4,'319400,신,현대무벡스,"39,600",▲,"2,150","+5.74","9,733,635","82.73","8.74%","378,725"
5,'090360,신,로보스타,"93,500",▲,"15,800","+20.33","3,984,260","844.93","40.87%","356,312"
6,'347850,경,디앤디파마텍,"94,600",▼,"-12,900","-12.00","3,251,016","21.43","7.43%","315,924"
7,'080220,경,제주반도체,"97,800",▼,"-11,900","-10.85","3,165,031","97.78","9.19%","315,276"
8,'108490,신,로보티즈,"322,000",▲,"29,500","+10.09","753,178","168.99","5.14%","234,822"
9,'178320,신,서진시스템,"77,600",▼,"-3,200","-3.96","3,105,502","105.28","4.89%","234,142"
10,'066575,신,LG전자우,"95,700",▲,"17,200","+21.91","2,427,777","1,134.32","14.14%","226,351"
11,'126730,신,코칩,"30,150",▼,"-650","-2.11","6,655,297","151.95","75.89%","220,519"
12,'356680,,엑스게이트,"25,050",▲,"1,500","+6.37","7,759,399","109.46","27.19%","196,387"
13,'009420,,한올바이오파마,"62,800",▲,"300","+0.48","2,918,260","141.50","5.59%","192,918"
14,'241520,신,DSC인베스트먼트,"14,100",▲,"1,210","+9.39","11,078,297","1,876.18","41.65%","171,136"
15,'475150,신,SK이터닉스,"40,200",▼,"-100","-0.25","3,876,678","432.95","11.38%","161,366"
16,'242040,주,나무기술,"8,780",▲,"1,290","+17.22","16,470,136","91.54","47.60%","140,660"
17,'403870,신,HPSP,"48,650",▼,"-2,250","-4.42","2,761,720","103.58","3.36%","134,535"
18,'226950,증,올릭스,"174,000",▼,"-6,100","-3.39","749,258","129.19","3.70%","124,774"
19,'009155,경,삼성전기우,"765,000",↑,"176,000","+29.88","168,945","172.38","5.82%","121,179"
20,'078600,신,대주전자재료,"151,700",▼,"-1,800","-1.17","688,485","95.85","4.42%","106,592"
21,'131970,신,두산테스나,"157,200",▲,"3,300","+2.14","678,918","104.13","3.52%","104,023"
22,'027360,신,아주IB투자,"12,090",▼,"-1,550","-11.36","8,256,248","133.15","6.82%","101,934"
23,'222800,경,심텍,"118,100",▲,"1,900","+1.64","873,955","86.61","2.34%","101,534"
