순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'080220,경,제주반도체,"75,600",▲,"16,700","+28.35","10,788,115","298.02","31.33%","760,697"
2,'010170,경,대한광통신,"24,750", ,"0","0","29,779,954","86.37","19.16%","724,057"
3,'319400,,현대무벡스,"43,750",▲,"100","+0.23","13,877,487","59.95","12.47%","630,537"
4,'322000,신,HD현대에너지솔루션,"244,000",▲,"32,000","+15.09","2,219,318","254.62","19.82%","545,364"
5,'100790,,미래에셋벤처투자,"59,900",▲,"2,300","+3.99","7,552,547","495.34","14.22%","487,814"
6,'439960,,코스모로보틱스,"52,700",↑,"12,150","+29.96","6,315,981","61.32","19.68%","321,873"
7,'452260,신,한화갤러리아,"3,340",▼,"-300","-8.24","87,009,097","176.09","44.89%","319,459"
8,'088350,신,한화생명,"5,490",▲,"510","+10.24","44,245,811","512.62","5.10%","247,953"
9,'098460,신,고영,"40,150",▼,"-2,300","-5.42","6,081,003","175.96","8.86%","245,738"
10,'027360,신,아주IB투자,"15,900",▲,"190","+1.21","13,182,795","252.31","10.89%","224,726"
11,'046890,,서울반도체,"18,360",▲,"670","+3.79","12,193,629","78.72","20.92%","217,497"
12,'033100,신,제룡전기,"76,200",▲,"2,400","+3.25","2,540,194","229.32","15.82%","202,921"
13,'006340,경,대원전선,"15,590",▲,"960","+6.56","12,440,636","157.80","15.87%","198,453"
14,'254490,,미래반도체,"43,000",▲,"5,200","+13.76","4,216,169","270.91","29.21%","178,832"
15,'078600,신,대주전자재료,"153,200",▲,"10,700","+7.51","1,127,884","241.89","7.27%","168,717"
16,'090360,신,로보스타,"81,000",▲,"6,500","+8.72","1,955,856","138.98","20.07%","158,269"
17,'487580,증,폴레드,"20,000",↑,"15,000","+300.00","7,922,689","","31.47%","157,320"
18,'090460,신,비에이치,"37,100",▲,"6,950","+23.05","4,307,747","630.11","12.78%","156,009"
19,'263750,신,펄어비스,"50,600",▼,"-1,300","-2.50","3,007,043","53.00","4.69%","152,755"
20,'131970,,두산테스나,"189,100",▲,"7,100","+3.90","807,718","66.83","4.18%","151,632"
21,'032820,증,우리기술,"18,200",▲,"60","+0.33","8,092,777","85.86","4.73%","145,041"
22,'006110,,삼아알미늄,"97,500",▲,"16,400","+20.22","1,455,126","187.56","9.63%","143,182"
23,'011210,신,현대위아,"96,700",▼,"-800","-0.82","1,397,558","69.31","5.14%","138,663"
24,'412350,증,레이저쎌,"11,590",▲,"1,350","+13.18","11,726,760","260.36","81.24%","133,475"
25,'204320,신,HL만도,"62,700",▼,"-600","-0.95","1,920,261","61.63","4.09%","120,791"
26,'072950,,빛샘전자,"17,700",▲,"2,410","+15.76","6,760,109","842.30","83.95%","119,554"
27,'001740,신,SK네트웍스,"7,900",↑,"1,820","+29.93","15,929,011","1,004.45","7.95%","116,251"
28,'214450,신,파마리서치,"348,000",▲,"34,000","+10.83","339,247","171.33","3.27%","114,133"
29,'086390,신,유니테스트,"20,550",▲,"2,330","+12.79","5,513,347","1,148.41","26.09%","111,164"
30,'012200,주,계양전기,"10,320",▼,"-2,060","-16.64","9,934,454","25.13","36.50%","109,467"
31,'008350,,남선알미늄,"2,035",▲,"109","+5.66","51,425,838","316.65","39.85%","109,428"
32,'183300,신,코미코,"179,300",▼,"-7,700","-4.12","578,912","67.26","5.54%","108,578"
33,'356680,,엑스게이트,"18,890",▼,"-1,210","-6.02","5,693,617","17.52","19.95%","107,415"
34,'475150,신,SK이터닉스,"51,100",▲,"2,100","+4.29","2,074,964","101.45","6.10%","106,912"
35,'081150,신,티플랙스,"4,790",▲,"495","+11.53","20,814,912","294.26","85.77%","105,460"
36,'403550,증,쏘카,"18,000",▲,"860","+5.02","5,311,222","289.34","16.18%","104,620"
37,'139480,신,이마트,"118,100",▲,"12,100","+11.42","905,280","230.84","3.29%","103,843"
38,'090710,증,휴림로봇,"12,630",▼,"-130","-1.02","7,877,706","93.45","6.60%","100,491"
39,'058610,신,에스피지,"130,700",▼,"-1,600","-1.21","750,738","77.90","3.39%","99,792"
40,'218410,신,RFHIC,"108,300",▲,"3,000","+2.85","903,794","68.19","3.41%","99,265"
41,'092190,환,서울바이오시스,"16,980",▲,"1,660","+10.84","5,538,756","233.28","12.08%","97,539"
42,'178320,신,서진시스템,"66,700",▲,"700","+1.06","1,431,163","90.71","2.41%","97,476"
43,'222800,신,심텍,"110,200",▼,"-4,000","-3.50","877,692","85.94","2.35%","96,620"
44,'006360,신,GS건설,"35,000",▲,"1,800","+5.42","2,806,915","144.37","3.28%","95,727"
45,'128820,신,대성산업,"8,090",▲,"560","+7.44","11,339,973","155.60","25.07%","94,607"
46,'096530,신,씨젠,"31,900",▲,"4,000","+14.34","3,039,221","182.11","5.82%","93,353"
47,'0011T0,,채비,"17,800",▲,"1,170","+7.04","5,085,573","176.17","10.88%","91,882"
48,'086960,신,MDS테크,"3,435",▲,"150","+4.57","24,637,030","228.07","59.98%","91,289"
49,'489790,신,한화비전,"78,600",▼,"-2,400","-2.96","1,142,745","57.14","2.27%","89,335"
50,'483650,신,달바글로벌,"259,500",▲,"9,000","+3.59","341,308","59.58","2.75%","88,474"
51,'067310,신,하나마이크론,"44,600",▲,"850","+1.94","2,058,319","115.19","3.10%","88,180"
52,'144960,신,뉴파워프라즈마,"11,630",▲,"480","+4.30","7,366,648","76.23","16.87%","86,021"
53,'375500,신,DL이앤씨,"85,800",▲,"2,600","+3.13","966,700","101.16","2.50%","81,174"
54,'066575,신,LG전자우,"83,300",▲,"10,500","+14.42","1,012,059","198.29","5.89%","80,342"
55,'403870,신,HPSP,"54,700",▼,"-600","-1.08","1,478,345","77.96","1.80%","79,592"
56,'229640,경,LS에코에너지,"91,500",▼,"-1,900","-2.03","771,927","182.09","2.53%","76,852"
57,'038500,신,삼표시멘트,"14,750",▼,"-810","-5.21","4,803,204","17.25","4.46%","74,070"
58,'024840,경,KBI메탈,"7,780",▲,"140","+1.83","9,361,392","83.78","26.59%","73,143"
59,'418420,증,라온텍,"11,410",↑,"2,630","+29.95","6,671,504","379.81","21.74%","71,221"
60,'332570,주,PS일렉트로닉스,"13,220",▼,"-960","-6.77","5,278,653","21.21","11.31%","70,607"
61,'008770,신,호텔신라,"66,000",▲,"4,900","+8.02","1,079,790","146.77","2.76%","70,408"
62,'050890,신,쏠리드,"16,260",▼,"-390","-2.34","4,077,940","138.35","6.72%","67,417"
63,'007460,증,에이프로젠,"5,680",▼,"-1,080","-15.98","10,062,024","155.86","45.84%","67,374"
64,'036540,신,SFA반도체,"8,280",▲,"230","+2.86","8,182,965","316.20","4.98%","67,194"
65,'001450,신,현대해상,"32,800",▲,"2,550","+8.43","2,074,535","293.32","2.44%","67,050"
66,'093370,신,후성,"13,220",▲,"1,190","+9.89","5,195,308","187.51","4.85%","65,975"
67,'067080,신,대화제약,"15,970",▲,"1,110","+7.47","3,828,250","89.46","20.57%","65,371"
68,'450080,신,에코프로머티,"69,000",▲,"1,200","+1.77","935,711","107.75","1.33%","63,513"
69,'457190,신,이수스페셜티케미컬,"108,200",▲,"1,700","+1.60","588,693","114.94","1.95%","63,434"
70,'032580,경,피델릭스,"3,865",▲,"655","+20.40","16,247,935","141.42","49.04%","63,165"
71,'417840,,저스템,"17,250",▲,"220","+1.29","3,578,633","79.11","15.79%","62,862"
72,'039980,,폴라리스AI,"9,140",▲,"1,140","+14.25","6,751,821","1,452.68","46.39%","62,811"
73,'095610,,테스,"124,700",▲,"2,200","+1.80","503,703","51.32","2.61%","62,236"
74,'161000,신,애경케미칼,"14,470",▲,"800","+5.85","4,180,399","582.22","8.60%","61,775"
75,'001820,신,삼화콘덴서,"67,300",▲,"3,300","+5.16","920,550","271.99","8.86%","61,441"
76,'051900,신,LG생활건강,"280,000",▲,"23,500","+9.16","222,288","226.40","1.46%","60,689"
77,'007610,증,선도전기,"11,730",▼,"-1,870","-13.75","4,568,129","34.92","25.38%","57,857"
78,'452280,신,한선엔지니어링,"24,250",▲,"950","+4.08","2,319,063","136.76","12.05%","57,376"
79,'226950,증,올릭스,"160,300",▲,"4,400","+2.82","358,979","67.17","1.77%","57,157"
80,'347700,증,스피어,"42,950",▲,"450","+1.06","1,354,453","89.45","2.67%","57,145"
81,'078160,증,메디포스트,"17,970",▼,"-4,180","-18.87","3,045,208","145.43","7.77%","57,106"
82,'010690,신,화신,"14,730",▼,"-820","-5.27","3,591,730","110.97","10.29%","56,328"
83,'043260,증,성호전자,"42,800",▼,"-1,700","-3.82","1,298,211","87.42","1.84%","55,730"
84,'003280,신,흥아해운,"2,730",▼,"-105","-3.70","19,293,337","33.31","8.03%","54,276"
85,'476830,신,알지노믹스,"154,100",▲,"1,300","+0.85","352,678","38.49","2.54%","54,127"
86,'005500,신,삼진제약,"23,250",↑,"5,350","+29.89","2,460,974","6,388.83","18.48%","53,763"
87,'017900,경,광전자,"11,870",▲,"620","+5.51","4,569,511","150.89","7.89%","52,349"
88,'003380,신,하림지주,"13,400",▲,"1,090","+8.85","3,854,419","179.67","3.45%","52,138"
89,'078350,신,한양디지텍,"34,850",▲,"6,450","+22.71","1,564,061","357.54","10.26%","51,709"
90,'082920,,비츠로셀,"59,000",▼,"-2,700","-4.38","852,037","62.20","1.88%","51,312"
91,'089030,신,테크윙,"54,900",▼,"-2,400","-4.19","948,101","84.92","2.56%","51,228"
92,'348340,증,뉴로메카,"73,200",▼,"-3,000","-3.94","696,413","71.43","5.64%","50,739"
93,'033790,증,피노,"15,100",▼,"-240","-1.56","3,335,503","145.38","4.06%","49,798"
94,'033160,신,엠케이전자,"29,650",▲,"3,050","+11.47","1,641,831","177.26","6.83%","48,193"
95,'005290,신,동진쎄미켐,"57,900",▲,"200","+0.35","844,000","80.34","1.65%","47,999"
96,'257720,신,실리콘투,"41,100",▲,"450","+1.11","1,150,177","75.91","1.76%","47,435"
97,'380550,신,뉴로핏,"18,690",▲,"1,480","+8.60","2,413,142","968.16","19.96%","47,183"
98,'014680,주,한솔케미칼,"327,500",▼,"-8,500","-2.53","143,775","46.11","1.27%","46,590"
99,'083650,신,비에이치아이,"81,400",▼,"-1,900","-2.28","569,156","86.74","1.84%","46,204"
100,'190510,신,나무가,"22,600",▲,"4,100","+22.16","2,164,459","2,674.22","15.37%","45,927"
101,'161890,신,한국콜마,"100,700",▲,"3,300","+3.39","455,811","111.26","1.94%","45,445"
102,'017960,신,한국카본,"41,050",▼,"-2,200","-5.09","1,087,387","179.89","2.08%","44,866"
