순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'001820,,삼화콘덴서,"162,000",▲,"36,100","+28.67","13,024,414","136.97","125.30%","1,921,564"
2,'347850,주,디앤디파마텍,"110,000",▲,"11,200","+11.34","14,887,225","170.02","33.99%","1,610,824"
3,'001740,신,SK네트웍스,"11,980",▲,"600","+5.27","55,388,078","77.54","27.62%","674,112"
4,'010170,주,대한광통신,"23,250",▼,"-4,350","-15.76","22,856,475","115.88","14.71%","565,803"
5,'319400,신,현대무벡스,"37,600",▲,"700","+1.90","11,025,635","247.36","9.90%","423,686"
6,'080220,경,제주반도체,"109,700",▲,"4,600","+4.38","3,205,960","87.59","9.31%","335,954"
7,'439960,,코스모로보틱스,"41,300",▲,"800","+1.98","7,508,781","115.13","23.39%","329,097"
8,'417010,신,나노팀,"14,650",▲,"2,090","+16.64","19,726,582","219.40","97.79%","288,029"
9,'006660,신,삼성공조,"17,170",▲,"1,650","+10.63","14,438,070","1,024.21","177.68%","260,787"
10,'024060,신,흥구석유,"13,550",▲,"390","+2.96","15,653,824","2,555.59","104.36%","236,235"
11,'003280,신,흥아해운,"2,325",▲,"70","+3.10","90,795,501","1,059.58","37.77%","226,019"
12,'356680,,엑스게이트,"24,300",▼,"-1,450","-5.63","6,717,505","34.29","23.54%","168,523"
13,'403870,신,HPSP,"50,900",▼,"-4,300","-7.79","2,634,175","52.82","3.21%","134,179"
14,'242040,증,나무기술,"7,490",▲,"870","+13.14","17,914,860","140.80","51.77%","131,601"
15,'466100,신,클로봇,"44,750",▲,"3,800","+9.28","2,955,673","520.13","11.61%","129,391"
16,'108490,신,로보티즈,"293,000",▼,"-9,500","-3.14","433,042","94.03","2.96%","128,347"
17,'009420,주,한올바이오파마,"62,500",▼,"-8,200","-11.60","2,010,628","43.30","3.85%","126,977"
18,'126730,신,코칩,"30,800",↑,"7,100","+29.96","4,379,051","111.73","49.94%","123,905"
19,'052710,경,아모텍,"30,200",▲,"350","+1.17","3,819,855","76.14","26.15%","115,260"
20,'222800,경,심텍,"116,200",▼,"-5,800","-4.75","1,005,424","107.52","2.69%","113,721"
21,'347700,증,스피어,"42,100",▼,"-2,050","-4.64","2,688,955","80.06","5.30%","111,210"
22,'204320,신,HL만도,"61,900",▼,"-200","-0.32","1,738,808","150.61","3.71%","109,317"
23,'078600,신,대주전자재료,"153,800",▲,"3,700","+2.47","695,739","75.61","4.47%","106,874"
24,'477850,증,마키나락스,"36,000",▼,"-2,600","-6.74","2,797,731","76.86","15.95%","106,056"
25,'226950,증,올릭스,"180,300",▲,"3,100","+1.75","571,789","52.39","2.82%","102,250"
26,'131970,신,두산테스나,"153,500",▼,"-10,600","-6.46","644,254","96.63","3.34%","98,016"
27,'027360,신,아주IB투자,"13,640",▼,"-1,570","-10.32","6,079,133","108.79","5.02%","84,293"
28,'117730,증,티로보틱스,"19,770",▲,"2,080","+11.76","4,099,027","1,129.65","18.18%","83,604"
29,'103590,신,일진전기,"96,000",▼,"-3,700","-3.71","871,961","96.07","1.83%","82,942"
30,'393890,증,더블유씨피,"17,260",▲,"2,140","+14.15","4,487,379","1,132.04","13.26%","80,491"
31,'043260,증,성호전자,"36,550",▼,"-6,050","-14.20","2,107,811","78.04","2.98%","80,194"
32,'095610,신,테스,"123,400",▲,"4,400","+3.70","656,149","116.73","3.39%","79,716"
33,'100790,신,미래에셋벤처투자,"53,300",▼,"-2,900","-5.16","1,453,667","63.36","2.74%","77,897"
34,'067310,경,하나마이크론,"43,500",▼,"-3,500","-7.45","1,785,126","94.28","2.69%","76,975"
35,'397030,,에이프릴바이오,"69,000",▲,"3,300","+5.02","1,105,840","83.08","4.73%","75,404"
36,'007390,경,네이처셀,"32,300",▲,"300","+0.94","2,413,490","17.63","3.75%","75,394"
37,'012200,증,계양전기,"7,870",▲,"280","+3.69","8,653,142","734.08","31.79%","74,986"
38,'005290,신,동진쎄미켐,"57,700",▼,"-3,000","-4.94","1,280,388","53.48","2.52%","74,123"
39,'290650,신,엘앤씨바이오,"75,100",▼,"-3,900","-4.94","928,691","80.08","3.45%","71,147"
40,'332570,신,PS일렉트로닉스,"13,000",▲,"830","+6.82","5,923,267","212.26","12.69%","70,966"
41,'095340,신,ISC,"215,000",▼,"-17,000","-7.33","327,983","86.20","1.55%","70,122"
42,'218410,신,RFHIC,"92,700",▼,"-6,300","-6.36","747,418","97.12","2.82%","68,762"
43,'032820,증,우리기술,"15,540",▼,"-150","-0.96","4,451,860","84.73","2.60%","68,555"
44,'032580,위,피델릭스,"6,810",▲,"530","+8.44","10,267,780","72.72","31.00%","65,434"
45,'058610,신,에스피지,"116,800",▼,"-5,100","-4.18","548,941","106.30","2.48%","64,729"
46,'375500,신,DL이앤씨,"76,500",▼,"-1,900","-2.42","853,071","96.26","2.21%","64,211"
47,'486990,신,노타,"34,600",↑,"7,950","+29.83","1,873,008","62.39","8.78%","64,087"
48,'001340,신,PKC,"7,680",↑,"1,770","+29.95","9,076,549","3,459.10","20.19%","63,989"
49,'457190,신,이수스페셜티케미컬,"99,400",▲,"3,800","+3.97","648,740","126.90","2.15%","63,630"
50,'107640,신,한중엔시에스,"56,100",▲,"5,800","+11.53","1,139,786","541.69","12.58%","63,309"
