순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'010170,증,대한광통신,"27,950",▲,"5,600","+25.06","83,511,154","120.22","53.71%","2,226,443"
2,'439960,증,코스모로보틱스,"24,000",↑,"18,000","+300.00","41,102,881","","128.02%","916,582"
3,'319400,,현대무벡스,"38,500",▲,"550","+1.45","19,317,656","37.45","17.35%","734,055"
4,'027360,신,아주IB투자,"17,600",▲,"1,850","+11.75","33,823,000","630.25","27.92%","593,260"
5,'161580,신,필옵틱스,"57,200",▲,"2,500","+4.57","5,997,452","351.75","25.59%","360,739"
6,'058610,신,에스피지,"142,400",▲,"7,100","+5.25","2,311,200","73.49","10.43%","323,499"
7,'347700,증,스피어,"47,000",▲,"5,350","+12.85","6,601,586","488.35","13.18%","302,174"
8,'017900,경,광전자,"13,200",▲,"1,990","+17.75","21,759,961","420.02","37.56%","283,641"
9,'264850,신,이랜시스,"8,720",▲,"670","+8.32","31,494,641","115.56","103.97%","280,766"
10,'046890,,서울반도체,"17,060",▼,"-940","-5.22","11,940,821","423.15","20.48%","216,252"
11,'069540,경,빛과전자,"6,070",▲,"870","+16.73","34,211,837","493.27","34.95%","205,051"
12,'098460,신,고영,"41,500",▲,"800","+1.97","4,807,946","172.79","7.01%","199,992"
13,'032820,증,우리기술,"19,300",▼,"-850","-4.22","10,077,557","141.20","5.89%","195,591"
14,'100790,경,미래에셋벤처투자,"62,500",▲,"5,000","+8.70","3,103,000","170.95","5.85%","189,091"
15,'078150,주,HB테크놀러지,"4,965",▲,"135","+2.80","34,378,653","81.22","37.08%","187,953"
16,'043260,증,성호전자,"48,100",▲,"4,350","+9.94","3,870,752","153.14","5.46%","184,657"
17,'007610,증,선도전기,"12,870",↑,"2,970","+30.00","16,864,942","252.69","93.70%","184,532"
18,'012200,증,계양전기,"8,460",▼,"-20","-0.24","21,362,057","323.11","78.48%","184,395"
19,'083450,신,GST,"67,000",▲,"8,300","+14.14","2,675,287","259.30","14.52%","179,179"
20,'024840,경,KBI메탈,"9,980",▲,"680","+7.31","16,231,844","","46.50%","167,020"
