순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'010170,증,대한광통신,"21,800",▲,"3,530","+19.32","81,554,387","188.07","52.46%","1,706,475"
2,'203650,,드림시큐리티,"4,130",▲,"375","+9.99","133,769,386","147.11","133.53%","570,866"
3,'006360,신,GS건설,"39,250",▲,"3,800","+10.72","13,671,103","175.48","15.98%","537,351"
4,'006340,경,대원전선,"17,440",▼,"-600","-3.33","25,384,135","78.12","32.38%","435,922"
5,'375500,신,DL이앤씨,"100,400",▲,"7,300","+7.84","4,388,523","124.02","11.35%","435,683"
6,'024840,경,KBI메탈,"9,300",▲,"690","+8.01","41,291,789","257.51","118.29%","383,929"
7,'178320,신,서진시스템,"68,100",▲,"8,600","+14.45","5,441,986","272.59","9.15%","368,576"
8,'050890,신,쏠리드,"18,850",▲,"410","+2.22","17,685,865","81.86","29.11%","346,941"
9,'222800,신,심텍,"106,100",▲,"12,300","+13.11","3,117,421","99.75","8.35%","327,975"
10,'078150,신,HB테크놀러지,"4,530",▲,"510","+12.69","67,554,233","326.67","72.87%","309,518"
11,'0011T0,,채비,"17,540",▲,"370","+2.15","16,180,650","304.83","34.59%","306,871"
12,'138080,증,오이솔루션,"54,000",▲,"9,400","+21.08","5,395,999","501.49","43.60%","292,826"
13,'161580,신,필옵틱스,"57,900",▼,"-5,100","-8.10","4,848,504","41.70","20.69%","291,719"
14,'217590,신,티엠씨,"32,650",▲,"650","+2.03","7,495,292","237.12","31.11%","263,385"
15,'006910,신,보성파워텍,"15,600",▼,"-230","-1.45","15,587,759","39.56","31.73%","255,065"
16,'336260,주,두산퓨얼셀,"75,000",▼,"-3,300","-4.21","3,080,613","34.59","4.71%","232,775"
17,'032820,증,우리기술,"20,950",▼,"-300","-1.41","10,275,006","133.13","6.01%","223,214"
18,'005290,신,동진쎄미켐,"61,000",▲,"1,900","+3.21","3,616,272","222.06","7.04%","221,731"
19,'092790,신,넥스틸,"20,950",▲,"800","+3.97","10,294,371","136.03","39.60%","219,212"
20,'017550,신,수산세보틱스,"3,860",▲,"745","+23.92","56,258,492","2,766.93","90.16%","211,722"
21,'059120,신,아진엑스텍,"12,560",▲,"900","+7.72","15,380,439","197.43","84.00%","204,335"
22,'079900,신,전진건설로봇,"69,200",▲,"6,500","+10.37","2,831,362","296.56","19.41%","197,074"
23,'033100,,제룡전기,"88,900",▲,"700","+0.79","2,193,239","42.26","13.66%","192,639"
24,'058430,,포스코스틸리온,"8,110",▲,"330","+4.24","20,223,173","788.66","33.71%","176,839"
25,'004800,신,효성,"289,000",▲,"30,500","+11.80","579,251","133.97","3.47%","167,667"
