순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'439960,,코스모로보틱스,"56,200",▲,"7,600","+15.64","32,652,947","116.72","101.70%","1,834,689"
2,'010170,경,대한광통신,"22,900",▲,"1,350","+6.26","28,728,909","395.91","18.48%","659,239"
3,'001820,신,삼화콘덴서,"78,600",▲,"14,700","+23.00","5,462,381","1,219.90","52.55%","407,357"
4,'080220,경,제주반도체,"94,800",▼,"-1,100","-1.15","2,746,265","59.62","7.98%","260,615"
5,'069540,증,빛과전자,"5,140",▲,"530","+11.50","39,822,121","1,218.41","40.68%","212,950"
6,'077970,신,STX엔진,"41,700",▼,"-1,200","-2.80","4,123,159","178.52","10.27%","188,128"
7,'253840,신,수젠텍,"7,690",▲,"1,060","+15.99","21,381,097","441.89","127.71%","164,625"
8,'319400,신,현대무벡스,"32,350",▼,"-600","-1.82","4,752,431","78.73","4.27%","154,861"
9,'178320,신,서진시스템,"65,700",▼,"-4,100","-5.87","2,406,039","65.98","3.79%","154,129"
10,'222800,신,심텍,"103,600",▲,"4,900","+4.96","1,463,749","182.38","3.91%","150,269"
11,'288180,,케이피항공산업,"30,700",↓,"-13,150","-29.99","4,277,903","592.28","57.87%","149,903"
12,'005950,증,이수화학,"14,080",▲,"1,880","+15.41","10,990,706","199.49","41.80%","149,396"
13,'017900,증,광전자,"12,450",↑,"2,870","+29.96","12,794,672","707.98","22.09%","148,105"
14,'100790,,미래에셋벤처투자,"54,800",▼,"-6,000","-9.87","2,639,723","42.35","4.97%","143,111"
15,'487580,증,폴레드,"8,690",▲,"160","+1.88","15,168,406","85.77","60.24%","141,394"
16,'043260,증,성호전자,"39,350",▲,"4,050","+11.47","3,597,290","112.17","5.08%","134,150"
17,'217590,신,티엠씨,"26,150",▼,"-3,900","-12.98","4,653,410","120.24","19.32%","133,671"
18,'027360,신,아주IB투자,"15,520",▼,"-1,760","-10.19","8,017,732","20.63","6.62%","125,481"
19,'046890,,서울반도체,"14,440",▲,"190","+1.33","8,208,741","361.83","14.08%","124,707"
20,'067310,,하나마이크론,"47,200",▼,"-350","-0.74","2,519,186","107.02","3.80%","120,946"
21,'108490,신,로보티즈,"259,500",▼,"-14,500","-5.29","452,931","70.27","3.10%","116,081"
22,'001740,신,SK네트웍스,"7,800",▼,"-400","-4.88","12,993,892","87.88","6.48%","106,485"
23,'046970,증,우리로,"8,360",▲,"520","+6.63","12,603,027","226.26","28.76%","105,295"
24,'005250,신,녹십자홀딩스,"16,370",▲,"710","+4.53","6,113,997","166.72","13.01%","100,230"
25,'142280,신,녹십자엠에스,"6,310",↑,"1,450","+29.84","16,774,662","92.85","77.16%","97,772"
26,'347700,증,스피어,"41,000",▼,"-5,900","-12.58","2,285,346","31.05","4.50%","94,601"
27,'103590,신,일진전기,"100,100",▼,"-4,900","-4.67","884,414","92.86","1.86%","87,910"
28,'004020,신,현대제철,"36,400",▼,"-2,200","-5.70","2,376,102","65.79","1.79%","86,138"
29,'456010,증,아이씨티케이,"22,700",▼,"-2,750","-10.81","3,596,180","115.91","25.87%","84,706"
30,'066430,경,아이로보틱스,"3,660",▼,"-635","-14.78","19,871,367","30.03","50.76%","82,993"
31,'011000,관,진원생명과학,"1,634",▲,"268","+19.62","49,908,864","121.99","54.92%","81,084"
32,'356680,신,엑스게이트,"16,460",▼,"-2,540","-13.37","4,812,525","16.75","16.87%","79,970"
33,'161000,신,애경케미칼,"14,510",▲,"1,170","+8.77","5,462,663","233.91","11.23%","79,717"
34,'032820,증,우리기술,"16,080",▼,"-490","-2.96","4,972,668","131.50","2.90%","79,108"
