순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'010170,경,대한광통신,"19,870",▲,"2,100","+11.82","57,850,038","65.76","37.21%","1,141,748"
2,'008350,신,남선알미늄,"2,865",↑,"660","+29.93","196,832,071","433.77","152.49%","524,993"
3,'490470,신,세미파이브,"36,500",▲,"5,200","+16.61","14,572,861","242.86","43.05%","510,467"
4,'050890,신,쏠리드,"17,350",▲,"270","+1.58","23,105,716","51.39","38.04%","404,865"
5,'092790,신,넥스틸,"17,590",▲,"1,090","+6.61","18,428,614","209.25","70.88%","332,806"
6,'046970,위,우리로,"9,990",↑,"2,300","+29.91","34,219,636","110.58","78.09%","311,467"
7,'005880,신,대한해운,"2,860",▼,"-230","-7.44","99,981,686","63.65","30.98%","301,736"
8,'025860,신,남해화학,"9,390",▲,"1,450","+18.26","32,329,202","4,864.54","65.08%","300,255"
9,'475150,신,SK이터닉스,"59,100",▲,"100","+0.17","4,710,803","142.69","13.83%","286,878"
10,'011930,신,신성이엔지,"3,925",▲,"140","+3.70","73,720,590","53.47","35.82%","286,140"
11,'217590,신,티엠씨,"31,450",↑,"7,250","+29.96","9,558,447","116.65","39.68%","271,845"
12,'018470,신,조일알미늄,"1,917",▲,"403","+26.62","146,563,011","1,889.75","115.74%","267,275"
13,'005290,신,동진쎄미켐,"52,600",▲,"3,100","+6.26","5,136,810","54.76","10.00%","266,339"
14,'375500,신,DL이앤씨,"91,600",▼,"-2,900","-3.07","2,759,534","47.20","7.14%","253,251"
15,'010820,신,퍼스텍,"12,000",▲,"610","+5.36","21,119,301","68.37","43.31%","246,081"
16,'095340,,ISC,"218,000",▼,"-39,500","-15.34","1,011,619","40.32","4.78%","228,754"
17,'006360,신,GS건설,"35,950",▼,"-1,700","-4.52","6,315,157","24.27","7.38%","226,640"
18,'032820,증,우리기술,"21,100",▲,"100","+0.48","9,993,759","91.38","5.85%","210,511"
19,'115440,주,우리넷,"16,900",↑,"3,900","+30.00","12,904,561","444.19","119.55%","207,840"
20,'100790,신,미래에셋벤처투자,"29,950",▲,"2,000","+7.16","6,606,868","433.58","12.44%","198,119"
21,'006110,주,삼아알미늄,"58,800",▲,"3,600","+6.52","3,250,113","93.21","21.50%","197,501"
22,'278280,,천보,"65,200",▲,"11,200","+20.74","2,936,972","2,388.86","24.43%","186,208"
23,'403870,신,HPSP,"41,400",▼,"-4,150","-9.11","4,188,767","183.41","5.09%","177,556"
24,'263750,신,펄어비스,"57,400",▲,"1,800","+3.24","2,949,624","155.38","4.60%","168,127"
25,'257720,신,실리콘투,"47,050",▲,"4,400","+10.32","3,643,808","370.38","5.96%","167,806"
26,'083450,신,GST,"39,800",▲,"7,450","+23.03","4,454,987","443.44","24.18%","164,656"
27,'088800,증,에이스테크,"6,720",▲,"1,130","+20.21","23,738,706","199.58","31.44%","150,839"
28,'476830,신,알지노믹스,"201,000",▲,"12,500","+6.63","758,096","107.43","5.45%","148,366"
29,'215790,위,이노인스트루먼트,"3,340",▲,"415","+14.19","43,620,938","82.53","108.29%","142,038"
30,'093370,,후성,"10,630",▲,"40","+0.38","13,169,736","107.50","12.28%","140,661"
31,'100590,,머큐리,"11,320",▲,"2,030","+21.85","12,874,263","82.33","81.33%","140,415"
32,'043260,증,성호전자,"48,000",▲,"3,550","+7.99","2,870,328","198.98","4.05%","138,306"
33,'356860,,티엘비,"79,400",▲,"4,900","+6.58","1,766,636","238.47","17.97%","137,066"
34,'001780,신,알루코,"2,885",▲,"295","+11.39","45,487,864","1,272.16","46.98%","131,771"
35,'017960,신,한국카본,"50,600",▲,"4,050","+8.70","2,507,170","220.98","4.92%","126,426"
36,'178320,신,서진시스템,"47,700",▲,"2,450","+5.41","2,503,374","226.25","4.23%","117,872"
37,'100090,신,SK오션플랜트,"24,200",▼,"-1,550","-6.02","4,577,586","205.56","7.33%","114,414"
38,'003280,경,흥아해운,"3,430",▲,"145","+4.41","32,265,843","33.46","13.43%","113,056"
39,'218410,신,RFHIC,"94,000",▲,"2,100","+2.29","1,214,577","65.49","4.58%","113,002"
40,'322000,신,HD현대에너지솔루션,"160,900",▼,"-7,500","-4.45","640,616","61.33","5.72%","105,746"
