순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'0131D0,증,키움히어로제2호스팩,"2,735",▲,"735","+36.75","191,795,682","","3,039.56%","1,114,213"
2,'006340,신,대원전선,"8,140",▲,"1,700","+26.40","126,651,898","2,926.90","161.52%","1,018,372"
3,'032820,증,우리기술,"23,400",▲,"1,350","+6.12","35,081,698","577.54","20.51%","826,750"
4,'100790,주,미래에셋벤처투자,"59,000",▲,"1,300","+2.25","10,015,005","76.16","18.86%","600,414"
5,'403870,신,HPSP,"51,000",▲,"3,000","+6.25","9,784,582","270.71","11.89%","496,173"
6,'093370,,후성,"13,630",▼,"-470","-3.33","33,274,635","913.34","31.03%","493,321"
7,'006910,신,보성파워텍,"11,870",▲,"1,840","+18.34","40,170,263","2,676.26","81.77%","478,151"
8,'006360,신,GS건설,"41,500",▼,"-200","-0.48","7,791,732","129.77","9.11%","328,853"
9,'003280,,흥아해운,"3,155",▲,"60","+1.94","99,267,637","654.57","41.29%","328,765"
10,'011930,신,신성이엔지,"3,995",▼,"-135","-3.27","73,291,859","107.00","35.61%","311,838"
11,'456040,신,OCI,"135,200",▲,"13,800","+11.37","2,113,277","204.80","23.61%","282,187"
12,'417200,신,LS머트리얼즈,"26,050",▲,"900","+3.58","10,835,721","124.69","16.02%","279,737"
13,'097230,증,HJ중공업,"32,650",▲,"1,650","+5.32","8,672,783","77.96","9.61%","279,162"
14,'027360,신,아주IB투자,"14,590",▲,"440","+3.11","18,990,431","51.26","15.68%","277,759"
15,'046120,증,오르비텍,"12,420",▲,"1,470","+13.42","19,481,384","1,592.48","59.17%","248,241"
16,'178320,신,서진시스템,"55,800",▲,"2,600","+4.89","4,443,493","99.54","7.48%","245,381"
17,'336370,증,솔루스첨단소재,"16,100",▲,"2,600","+19.26","15,548,005","172.14","22.15%","244,473"
18,'060370,신,LS마린솔루션,"37,500",▲,"3,750","+11.11","6,381,784","644.63","12.22%","244,057"
19,'103590,신,일진전기,"91,700",▲,"4,200","+4.80","2,482,133","421.22","5.21%","228,553"
20,'375500,신,DL이앤씨,"97,500",▼,"-500","-0.51","2,194,934","107.83","5.68%","215,299"
21,'010170,경,대한광통신,"14,320",▼,"-900","-5.91","14,484,197","65.75","9.32%","213,892"
22,'005290,신,동진쎄미켐,"60,300",▼,"-100","-0.17","3,449,256","45.94","6.71%","212,115"
23,'043260,증,성호전자,"47,150",▼,"-4,450","-8.62","4,049,276","485.75","5.71%","186,682"
24,'077360,신,덕산하이메탈,"17,070",▲,"1,320","+8.38","10,500,286","618.59","23.11%","179,831"
25,'457190,신,이수스페셜티케미컬,"121,800",▼,"-8,300","-6.38","1,385,915","73.82","4.59%","171,475"
26,'000500,신,가온전선,"207,000",▲,"27,000","+15.00","745,179","196.85","4.51%","159,885"
27,'476830,신,알지노믹스,"183,500",▼,"-100","-0.05","854,666","87.46","6.14%","156,351"
28,'009900,신,명신산업,"12,300",▲,"830","+7.24","11,786,245","93.66","22.47%","148,739"
29,'322000,신,HD현대에너지솔루션,"179,700",▼,"-2,700","-1.48","800,430","30.23","7.15%","144,326"
30,'017860,신,DS단석,"25,450",▼,"-800","-3.05","5,557,775","45.42","31.61%","144,083"
31,'323280,신,태성,"74,700",▲,"500","+0.67","1,882,554","54.43","6.17%","141,966"
32,'229640,신,LS에코에너지,"62,400",▲,"2,400","+4.00","2,136,359","255.04","6.98%","138,496"
33,'092220,증,KEC,"1,601",▼,"-242","-13.13","77,888,056","94.04","38.80%","138,038"
34,'033100,신,제룡전기,"54,800",▲,"2,800","+5.38","2,451,206","760.62","15.27%","136,641"
35,'222080,신,씨아이에스,"16,100",▼,"-830","-4.90","8,383,483","31.92","10.78%","136,582"
36,'483650,신,달바글로벌,"227,500",▲,"14,500","+6.81","591,090","106.22","4.77%","134,146"
37,'332570,신,PS일렉트로닉스,"8,480",▲,"130","+1.56","14,590,424","338.80","30.87%","131,286"
38,'105840,신,우진,"28,800",▲,"1,350","+4.92","4,311,986","464.19","21.35%","128,340"
39,'222800,신,심텍,"84,100",▼,"-2,500","-2.89","1,460,339","67.39","3.92%","122,548"
40,'195870,신,해성디에스,"76,900",▲,"8,400","+12.26","1,618,232","176.66","9.52%","121,864"
41,'095340,신,ISC,"229,500",▼,"-10,000","-4.18","523,878","168.32","2.48%","121,595"
42,'049080,위,기가레인,"2,570",▲,"290","+12.72","46,195,150","590.06","54.43%","120,142"
43,'108490,신,로보티즈,"267,500",▼,"-8,500","-3.08","438,350","106.23","3.00%","120,035"
44,'161000,,애경케미칼,"17,120",▼,"-1,980","-10.37","6,821,770","17.17","14.03%","119,656"
45,'083650,신,비에이치아이,"100,800",▲,"2,600","+2.65","1,176,048","204.25","3.81%","118,839"
46,'131970,,두산테스나,"125,100",▲,"200","+0.16","897,696","39.55","4.65%","113,126"
