순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'093370,신,후성,"11,550",▲,"1,840","+18.95","62,427,340","535.65","58.21%","685,218"
2,'006360,신,GS건설,"35,600",▼,"-1,800","-4.81","16,856,439","50.91","19.70%","605,773"
3,'092790,신,넥스틸,"16,710",▲,"2,050","+13.98","30,894,299","404.47","118.82%","506,111"
4,'375500,신,DL이앤씨,"93,900",▼,"-1,300","-1.37","5,050,783","37.53","13.06%","469,849"
5,'475150,신,SK이터닉스,"59,100",▲,"1,200","+2.07","7,473,969","104.67","21.94%","453,553"
6,'010170,주,대한광통신,"14,180",▼,"-510","-3.47","26,673,787","38.06","17.16%","379,470"
7,'017900,경,광전자,"10,530",↑,"2,430","+30.00","38,525,476","109.54","66.49%","378,351"
8,'319400,신,현대무벡스,"30,100",▲,"900","+3.08","8,945,875","79.09","8.04%","278,256"
9,'032820,증,우리기술,"21,950",▼,"-1,700","-7.19","12,532,547","30.59","7.33%","276,571"
10,'065440,,이루온,"4,475",▲,"565","+14.45","57,791,929","810.21","211.89%","275,032"
11,'006110,신,삼아알미늄,"49,200",▲,"7,000","+16.59","5,187,613","131.72","34.31%","249,346"
12,'100590,신,머큐리,"8,800",▲,"1,410","+19.08","26,211,133","490.17","165.58%","228,605"
13,'069540,경,빛과전자,"4,225",↑,"975","+30.00","58,825,334","503.45","60.27%","223,697"
14,'008350,신,남선알미늄,"2,165",▲,"105","+5.10","96,243,925","138.82","74.57%","217,340"
15,'222800,신,심텍,"68,300",▲,"300","+0.44","2,606,251","60.23","6.98%","178,104"
16,'322000,신,HD현대에너지솔루션,"164,200",▼,"-7,200","-4.20","1,025,304","86.54","9.16%","175,821"
17,'010820,,퍼스텍,"9,770",↑,"2,250","+29.92","18,630,440","949.11","38.20%","172,408"
18,'005810,신,풍산홀딩스,"54,700",▲,"600","+1.11","3,079,120","76.04","21.36%","171,805"
19,'101490,신,에스앤에스텍,"101,500",▲,"10,800","+11.91","1,671,399","201.87","7.84%","165,543"
