순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'006360,신,GS건설,"41,250",▲,"3,800","+10.15","22,842,304","259.60","26.70%","928,714"
2,'050890,신,쏠리드,"18,160",▲,"1,280","+7.58","34,425,899","340.62","56.67%","644,082"
3,'010170,경,대한광통신,"19,800",▼,"-350","-1.74","26,021,656","52.14","16.74%","518,351"
4,'011930,신,신성이엔지,"4,120",▲,"380","+10.16","120,088,237","321.51","58.34%","490,885"
5,'010060,신,OCI홀딩스,"234,000",▲,"45,900","+24.40","2,109,735","116.57","11.30%","489,477"
6,'046970,위,우리로,"14,200",▲,"2,340","+19.73","34,354,862","81.85","78.40%","481,590"
7,'375500,신,DL이앤씨,"102,600",▲,"3,600","+3.64","4,648,303","75.66","12.02%","478,382"
8,'100790,주,미래에셋벤처투자,"39,550",▲,"650","+1.67","11,742,391","180.49","22.11%","471,084"
9,'027360,신,아주IB투자,"12,100",▲,"770","+6.80","35,910,668","112.16","29.65%","435,776"
10,'006340,신,대원전선,"6,540",▲,"1,030","+18.69","65,067,642","2,700.28","82.98%","427,168"
11,'032820,증,우리기술,"21,750",▲,"750","+3.57","17,285,359","230.34","10.11%","379,185"
12,'004980,신,성신양회,"13,430",▲,"1,050","+8.48","21,724,710","252.04","88.62%","306,505"
13,'089030,신,테크윙,"57,600",▲,"3,400","+6.27","4,338,789","398.70","11.71%","251,529"
14,'005290,신,동진쎄미켐,"56,800",▲,"4,500","+8.60","4,415,090","158.08","8.59%","245,068"
15,'032500,증,케이엠더블유,"34,150",▲,"5,700","+20.04","6,732,689","448.37","16.23%","219,997"
16,'222800,신,심텍,"71,500",▲,"5,200","+7.84","2,968,894","231.95","7.96%","207,417"
17,'078600,신,대주전자재료,"135,800",▲,"19,500","+16.77","1,567,154","203.89","10.10%","205,430"
18,'036930,신,주성엔지니어링,"70,600",▲,"7,000","+11.01","2,873,689","377.12","6.19%","202,883"
19,'263750,신,펄어비스,"59,000",▲,"1,100","+1.90","3,418,659","193.00","5.33%","196,790"
20,'064260,신,다날,"8,090",▲,"220","+2.80","23,042,099","259.76","30.47%","191,491"
21,'103590,신,일진전기,"87,000",▲,"2,700","+3.20","2,047,814","177.10","4.30%","180,763"
22,'475150,신,SK이터닉스,"55,200",▼,"-1,600","-2.82","3,195,978","83.98","9.39%","177,363"
23,'402490,신,그린리소스,"21,200",▲,"3,900","+22.54","8,722,795","144.71","52.66%","175,767"
24,'319400,,현대무벡스,"30,600",▲,"150","+0.49","5,534,523","137.94","4.97%","173,667"
25,'356680,신,엑스게이트,"12,980",↑,"2,990","+29.93","12,728,641","50.60","44.60%","155,203"
26,'347700,증,스피어,"45,650",▼,"-1,550","-3.28","3,286,863","36.44","6.57%","152,963"
27,'353200,신,대덕전자,"87,000",▼,"-1,500","-1.69","1,684,692","104.10","3.41%","150,096"
28,'062970,위,한국첨단소재,"4,075",▲,"190","+4.89","34,446,800","146.86","60.34%","148,559"
29,'072950,경,빛샘전자,"23,650",↑,"5,430","+29.80","6,672,476","156.99","82.87%","147,014"
30,'489790,신,한화비전,"81,100",▲,"4,200","+5.46","1,797,780","182.02","3.57%","145,479"
31,'158430,신,아톤,"8,820",↑,"2,030","+29.90","17,342,216","1,187.07","70.84%","145,223"
32,'217590,주,티엠씨,"32,800",▼,"-1,850","-5.34","4,159,419","30.02","17.27%","143,043"
33,'049080,위,기가레인,"2,855",▲,"360","+14.43","49,477,334","282.26","58.29%","142,241"
34,'457190,신,이수스페셜티케미컬,"105,700",▲,"8,900","+9.19","1,350,907","408.11","4.48%","140,298"
35,'347850,신,디앤디파마텍,"80,300",▲,"3,500","+4.56","1,741,369","264.15","3.98%","137,590"
36,'043260,증,성호전자,"51,100",▼,"-2,100","-3.95","2,398,113","79.03","3.39%","129,697"
37,'456040,신,OCI,"95,700",▲,"5,600","+6.22","1,236,525","243.70","13.82%","123,501"
38,'054920,신,한컴위드,"6,410",▲,"1,060","+19.81","19,730,334","1,576.22","69.93%","123,227"
39,'082920,신,비츠로셀,"50,100",▲,"5,900","+13.35","2,495,747","183.78","5.51%","121,168"
40,'218410,신,RFHIC,"96,300",▲,"600","+0.63","1,227,281","93.68","4.63%","118,980"
41,'234340,신,헥토파이낸셜,"33,250",▲,"4,900","+17.28","3,608,615","257.19","25.83%","117,441"
42,'403870,신,HPSP,"42,550",▼,"-100","-0.23","2,661,596","112.02","3.24%","113,228"
43,'476830,신,알지노믹스,"206,500",▲,"8,000","+4.03","549,697","89.57","3.95%","111,947"
44,'432720,,퀄리타스반도체,"21,000",▲,"450","+2.19","5,086,330","42.10","35.93%","108,845"
45,'005880,신,대한해운,"2,665",▲,"15","+0.57","40,108,531","104.60","12.43%","107,108"
46,'388050,신,지투파워,"13,980",▲,"1,050","+8.12","7,654,417","421.16","40.92%","106,896"
47,'322000,신,HD현대에너지솔루션,"160,000",▲,"2,200","+1.39","666,143","101.12","5.95%","106,565"
48,'095340,,ISC,"223,500",▲,"500","+0.22","472,657","72.70","2.23%","106,337"
49,'000500,신,가온전선,"128,100",▲,"22,100","+20.85","846,936","1,238.12","5.12%","105,957"
50,'215790,위,이노인스트루먼트,"4,340",↑,"1,000","+29.94","26,060,076","","64.70%","103,508"
51,'178320,신,서진시스템,"51,300",▲,"1,350","+2.70","2,009,503","57.70","3.40%","101,199"
52,'095610,신,테스,"90,300",▲,"6,500","+7.76","1,097,360","161.74","5.67%","100,310"
53,'417840,신,저스템,"9,600",▲,"2,000","+26.32","10,948,084","490.85","48.31%","100,168"
54,'336260,신,두산퓨얼셀,"44,100",▲,"600","+1.38","2,213,082","37.11","3.38%","98,045"
55,'115440,경,우리넷,"18,720",▲,"260","+1.41","5,093,387","43.78","47.19%","96,787"
56,'319660,신,피에스케이,"87,900",▲,"6,400","+7.85","1,077,970","187.22","3.73%","96,266"
57,'376900,증,로킷헬스케어,"104,800",▲,"1,800","+1.75","866,005","73.06","5.51%","93,869"
58,'037030,신,파워넷,"8,540",▲,"70","+0.83","10,797,018","36.66","42.32%","92,927"
59,'006110,,삼아알미늄,"52,200",▼,"-4,400","-7.77","1,764,775","131.63","11.67%","92,574"
60,'010820,,퍼스텍,"12,200",▲,"250","+2.09","7,679,324","112.99","15.75%","92,445"
61,'229640,신,LS에코에너지,"50,800",▲,"6,300","+14.16","1,861,731","371.62","6.08%","91,521"
62,'108490,신,로보티즈,"260,500",▲,"13,000","+5.25","355,842","118.93","2.43%","91,463"
63,'452190,신,한빛레이저,"5,280",▲,"585","+12.46","16,617,162","5,005.22","69.47%","91,347"
