순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'950260,,인제니아테라퓨틱스(Reg.S),"14,100",▼,"-3,890","-21.62","30,984,200","57.16","62.67%","534,379"
2,'257720,신,실리콘투,"45,300",▲,"800","+1.80","6,995,379","111.78","10.67%","324,052"
3,'108490,신,로보티즈,"267,000",▼,"-12,000","-4.30","1,063,498","83.03","7.26%","299,144"
4,'403870,신,HPSP,"45,700",▲,"3,050","+7.15","6,324,527","95.20","7.69%","284,014"
5,'025980,신,아난티,"5,350",▲,"850","+18.89","47,256,972","221.83","48.57%","250,331"
6,'007660,신,이수페타시스,"104,400",▲,"1,500","+1.46","2,264,001","96.61","3.09%","240,062"
7,'475150,,SK이터닉스,"57,800",▼,"-700","-1.20","3,877,380","98.61","11.39%","226,654"
8,'036930,신,주성엔지니어링,"171,600",▼,"-7,700","-4.29","1,064,055","46.69","2.29%","184,959"
9,'222800,신,심텍,"110,700",▼,"-200","-0.18","1,492,644","66.08","3.99%","167,397"
10,'010060,신,OCI홀딩스,"277,500",▲,"5,000","+1.83","545,709","123.11","2.93%","152,214"
11,'017800,신,현대엘리베이터,"74,200",▼,"-100","-0.13","1,661,465","202.42","4.26%","127,517"
12,'058610,신,에스피지,"101,500",▼,"-6,500","-6.02","1,160,669","61.56","5.24%","122,461"
13,'006660,신,삼성공조,"14,700",▼,"-410","-2.71","7,424,619","230.64","91.37%","114,637"
14,'080220,,제주반도체,"73,600",▼,"-2,200","-2.90","1,387,266","46.56","4.03%","102,917"
15,'125490,신,한라캐스트,"12,110",▲,"240","+2.02","8,066,549","315.71","22.10%","102,239"
16,'006360,신,GS건설,"34,950",▲,"800","+2.34","2,835,555","162.84","3.32%","97,964"
17,'119850,신,지엔씨에너지,"54,900",▲,"1,000","+1.86","1,800,737","133.66","10.95%","97,204"
18,'336260,,두산퓨얼셀,"39,800",▲,"3,600","+9.94","2,521,105","209.65","3.85%","97,084"
19,'067310,신,하나마이크론,"36,600",▼,"-2,600","-6.63","2,533,499","38.22","3.82%","95,445"
20,'039490,신,키움증권,"265,500",▼,"-18,000","-6.35","348,353","194.75","1.33%","92,770"
21,'003230,신,삼양식품,"1,304,000",▼,"-30,000","-2.25","69,620","55.84","0.93%","92,429"
22,'016360,신,삼성증권,"85,000",▼,"-3,800","-4.28","1,070,046","124.51","1.20%","90,808"
23,'009830,신,한화솔루션,"34,650",▲,"650","+1.91","2,621,553","88.91","1.17%","90,515"
24,'277810,신,레인보우로보틱스,"462,500",▼,"-7,500","-1.60","181,191","57.61","0.94%","83,753"
25,'024840,신,KBI메탈,"5,980",▲,"550","+10.13","13,394,771","459.02","31.04%","81,174"
26,'322000,신,HD현대에너지솔루션,"129,400",▲,"4,800","+3.85","615,098","157.21","5.50%","80,811"
27,'353200,신,대덕전자,"114,200",▼,"-3,400","-2.89","672,825","95.32","1.37%","78,343"
28,'095610,신,테스,"144,000",▲,"1,000","+0.70","535,822","54.17","2.77%","76,455"
29,'028050,신,삼성E&A,"48,500",▲,"600","+1.25","1,540,358","123.52","0.79%","73,860"
30,'047770,주,코데즈컴바인,"3,635",▲,"125","+3.56","19,327,120","2,017.56","51.08%","72,838"
31,'058470,신,리노공업,"67,900",▲,"100","+0.15","1,036,525","79.39","1.37%","69,950"
32,'039030,신,이오테크닉스,"415,000",▲,"1,000","+0.24","159,361","53.54","1.30%","67,399"
33,'101730,신,위메이드맥스,"4,815",▲,"720","+17.58","14,210,286","526.76","16.96%","67,352"
34,'240810,신,원익IPS,"109,300",▼,"-3,100","-2.76","600,777","53.95","1.23%","66,507"
35,'001450,신,현대해상,"50,000",▲,"300","+0.60","1,301,844","61.42","1.53%","64,969"
36,'047040,신,대우건설,"17,200",▲,"30","+0.17","3,825,535","103.11","0.94%","64,886"
37,'161890,,한국콜마,"127,800",▼,"-1,900","-1.46","489,430","68.09","2.08%","63,555"
38,'095340,신,ISC,"177,300",▲,"10,200","+6.10","350,649","124.77","1.66%","61,748"
39,'153890,,져스텍,"13,910",▲,"2,090","+17.68","4,446,666","509.44","36.91%","61,150"
40,'064400,신,LG씨엔에스,"71,000",▼,"-2,900","-3.92","857,523","44.92","0.89%","61,040"
41,'126640,증,화신정공,"5,380",↑,"1,235","+29.79","11,775,071","786.74","33.59%","58,854"
42,'950160,증,코오롱티슈진,"25,900",▼,"-1,700","-6.16","2,222,366","62.93","2.62%","58,841"
43,'006340,신,대원전선,"14,140",▲,"30","+0.21","4,095,128","87.68","5.23%","58,030"
44,'214450,신,파마리서치,"391,000",▼,"-2,000","-0.51","139,068","44.72","1.34%","54,382"
45,'045390,신,대아티아이,"3,335",▲,"320","+10.61","15,842,239","158.76","22.48%","54,052"
46,'007810,신,코리아써키트,"60,700",▼,"-4,700","-7.19","832,988","46.15","3.48%","52,558"
47,'010170,경,대한광통신,"12,700",▼,"-190","-1.47","4,113,309","69.84","2.65%","51,883"
48,'131290,신,티에스이,"256,000",▼,"-13,000","-4.83","196,644","73.80","1.78%","51,246"
49,'001550,,조비,"12,410",▲,"1,870","+17.74","4,041,713","950.20","77.85%","51,095"
