순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'080220,,제주반도체,"81,500",▼,"-6,800","-7.70","4,158,489","182.55","12.08%","346,296"
2,'058610,신,에스피지,"118,600",▲,"6,400","+5.70","2,892,884","259.74","13.05%","344,105"
3,'319400,신,현대무벡스,"28,000",▲,"2,700","+10.67","9,708,820","902.25","8.72%","278,527"
4,'950160,증,코오롱티슈진,"28,550",▲,"2,950","+11.52","9,739,980","156.61","11.47%","274,584"
5,'073240,신,금호타이어,"8,160",▲,"20","+0.25","28,873,858","70.46","10.06%","240,932"
6,'125490,신,한라캐스트,"12,590",▲,"1,760","+16.25","18,477,242","277.50","50.62%","234,459"
7,'036930,신,주성엔지니어링,"177,800",▼,"-1,500","-0.84","1,257,206","72.82","2.71%","224,061"
8,'475150,,SK이터닉스,"58,300",▲,"1,200","+2.10","3,798,942","51.36","11.16%","218,667"
9,'108490,신,로보티즈,"280,500",▲,"19,500","+7.47","751,898","141.95","5.13%","207,660"
10,'257720,신,실리콘투,"42,800",▲,"2,000","+4.90","4,643,790","98.45","7.09%","201,303"
11,'466100,,클로봇,"32,500",▲,"3,750","+13.04","5,673,055","582.79","22.29%","181,675"
12,'487400,주,케이앤에스아이앤씨,"14,860",▼,"-520","-3.38","10,774,396","43.08","105.01%","181,201"
13,'222800,신,심텍,"108,400",▲,"2,600","+2.46","1,666,171","85.03","4.45%","179,721"
14,'001210,주,금호전기,"6,490",▼,"-400","-5.81","23,746,497","585.17","191.88%","171,235"
15,'003230,신,삼양식품,"1,269,000",▲,"50,000","+4.10","128,554","149.90","1.71%","161,903"
16,'005180,신,빙그레,"82,200",▲,"13,500","+19.65","1,868,190","4,113.87","20.16%","151,069"
17,'388050,신,지투파워,"10,440",▲,"10","+0.10","14,084,650","169.66","75.29%","150,972"
18,'240810,신,원익IPS,"116,600",▼,"-3,400","-2.83","1,254,870","101.59","2.56%","144,603"
19,'277810,신,레인보우로보틱스,"501,000",▲,"4,000","+0.80","283,687","123.17","1.47%","143,141"
20,'119850,신,지엔씨에너지,"54,600",▼,"-800","-1.44","2,489,309","49.59","15.14%","138,045"
21,'002990,증,금호건설,"13,400",▼,"-970","-6.75","9,856,343","29.47","26.46%","137,519"
22,'095610,신,테스,"146,700",▲,"1,700","+1.17","905,958","121.23","4.68%","133,910"
23,'332570,신,PS일렉트로닉스,"10,540",▼,"-620","-5.56","11,699,722","60.37","25.05%","127,605"
24,'161890,신,한국콜마,"136,500",▲,"1,300","+0.96","920,094","41.65","3.90%","126,153"
25,'064400,신,LG씨엔에스,"79,900",▲,"1,500","+1.91","1,564,090","147.16","1.62%","124,889"
26,'353200,신,대덕전자,"119,100",▲,"6,100","+5.40","1,042,962","98.40","2.12%","122,333"
27,'001820,신,삼화콘덴서,"103,000",▼,"-300","-0.29","1,095,188","27.23","10.54%","114,331"
28,'214450,신,파마리서치,"398,500",▼,"-27,000","-6.35","279,553","70.96","2.70%","112,751"
29,'010060,신,OCI홀딩스,"277,000",▼,"-1,000","-0.36","408,628","44.41","2.19%","111,830"
30,'083650,신,비에이치아이,"60,700",▲,"4,200","+7.43","1,870,795","412.69","6.05%","111,662"
31,'007660,신,이수페타시스,"94,700",▼,"-2,100","-2.17","1,174,197","99.64","1.60%","110,674"
32,'062040,신,산일전기,"182,600",▼,"-5,400","-2.87","581,547","106.19","1.90%","105,069"
33,'009830,신,한화솔루션,"35,400",▼,"-1,150","-3.15","2,904,018","52.77","1.30%","102,895"
34,'483650,신,달바글로벌,"229,000",▼,"-7,000","-2.97","426,586","37.86","3.42%","97,859"
35,'004370,신,농심,"437,000",▲,"47,500","+12.20","219,616","690.14","3.62%","93,913"
36,'403870,신,HPSP,"40,400",▼,"-800","-1.94","2,307,105","80.37","2.81%","92,905"
37,'039030,신,이오테크닉스,"403,500",▲,"25,000","+6.61","224,102","110.77","1.82%","89,496"
38,'439960,,코스모로보틱스,"16,770",▲,"250","+1.51","5,083,563","268.13","15.67%","88,478"
39,'047040,신,대우건설,"18,010",▼,"-390","-2.12","4,825,589","86.21","1.18%","87,170"
40,'066970,증,엘앤에프,"108,600",▲,"6,000","+5.85","780,085","99.67","1.92%","83,460"
41,'010170,경,대한광통신,"13,370",▲,"130","+0.98","6,415,691","74.26","4.13%","82,770"
42,'006340,신,대원전선,"14,710",▼,"-400","-2.65","5,605,573","35.65","7.15%","82,302"
43,'058470,신,리노공업,"70,800",▼,"-500","-0.70","1,130,970","126.49","1.49%","79,958"
44,'440110,증,파두,"65,500",▲,"2,500","+3.97","1,183,773","222.66","2.37%","79,709"
45,'088350,신,한화생명,"5,630",▲,"600","+11.93","14,385,249","98.60","1.66%","78,519"
46,'028050,신,삼성E&A,"49,800",▲,"800","+1.63","1,578,974","88.69","0.81%","78,124"
47,'007340,신,DN오토모티브,"58,400",▲,"8,950","+18.10","1,382,297","474.91","2.37%","78,026"
