순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'128940,신,한미약품,"501,000",▼,"-39,000","-7.22","1,606,691","133.62","12.55%","816,523"
2,'052690,신,한전기술,"108,600",▲,"18,300","+20.27","3,160,535","609.58","8.27%","325,200"
3,'041190,신,우리기술투자,"6,800",▲,"930","+15.84","40,436,163","354.02","48.14%","272,429"
4,'124500,신,아이티센글로벌,"40,500",▲,"2,600","+6.86","4,509,505","57.53","19.44%","179,474"
5,'000880,신,한화,"118,100",▲,"17,500","+17.40","1,450,448","","2.72%","173,835"
6,'403870,신,HPSP,"48,500",▲,"4,550","+10.35","3,617,141","254.55","4.40%","169,041"
7,'008930,신,한미사이언스,"46,300",▼,"-10,200","-18.05","3,426,785","35.41","5.02%","165,400"
8,'0220W0,,한화머시너리앤서비스홀딩스,"10,010",▲,"10","+0.10","14,619,087","","17.30%","165,027"
9,'036930,신,주성엔지니어링,"178,800",▲,"12,800","+7.71","925,892","146.16","2.00%","157,337"
10,'0155E0,증,해치텍,"13,930",▼,"-9,070","-39.43","8,289,074","","151.07%","146,896"
11,'222800,신,심텍,"116,900",▲,"11,700","+11.12","1,259,541","99.51","3.37%","139,042"
12,'047040,신,대우건설,"17,620",▲,"1,860","+11.80","7,906,191","454.16","1.93%","133,073"
13,'257720,신,실리콘투,"51,900",▲,"2,450","+4.95","2,612,385","95.29","3.99%","132,995"
14,'066970,증,엘앤에프,"120,400",▼,"-1,200","-0.99","1,060,627","59.51","2.61%","127,979"
15,'003350,신,한국화장품제조,"14,410",▲,"2,690","+22.95","8,889,095","524.87","39.23%","120,512"
16,'161890,신,한국콜마,"150,000",▲,"6,700","+4.68","743,021","143.65","3.15%","109,638"
17,'001820,신,삼화콘덴서,"104,900",▲,"12,500","+13.53","1,050,540","370.94","10.11%","106,477"
18,'058610,신,에스피지,"96,500",▲,"2,500","+2.66","1,067,416","181.03","4.82%","102,281"
19,'007660,신,이수페타시스,"106,900",▲,"6,300","+6.26","930,553","131.06","1.27%","96,504"
20,'950260,,인제니아테라퓨틱스(Reg.S),"16,560",▲,"1,410","+9.31","5,829,096","69.25","11.79%","92,806"
21,'475150,,SK이터닉스,"55,200",▲,"2,000","+3.76","1,723,224","87.27","5.06%","91,746"
22,'083650,신,비에이치아이,"63,500",▲,"7,700","+13.80","1,445,461","314.84","4.68%","87,391"
23,'484810,신,티엑스알로보틱스,"15,280",▲,"1,620","+11.86","5,551,112","1,951.00","35.93%","86,942"
24,'0220WL,,한화머시너리앤서비스홀딩스3우B,"4,180",↓,"-1,790","-29.98","14,055,864","","59.47%","85,789"
25,'002990,증,금호건설,"15,380",▲,"520","+3.50","5,503,595","88.90","14.78%","83,380"
26,'388050,신,지투파워,"9,790",▲,"1,180","+13.70","8,467,714","1,612.64","45.26%","82,316"
27,'108490,신,로보티즈,"255,000",▲,"7,500","+3.03","323,530","115.34","2.21%","80,943"
28,'010060,신,OCI홀딩스,"275,000",▲,"6,000","+2.23","296,587","110.09","1.59%","80,511"
29,'090430,신,아모레퍼시픽,"143,300",▲,"3,400","+2.43","531,809","130.09","0.91%","76,402"
30,'080220,신,제주반도체,"76,900",▲,"4,100","+5.63","1,016,672","115.42","2.96%","75,235"
31,'356860,,티엘비,"38,700",▲,"4,950","+14.67","1,962,709","173.00","8.29%","71,568"
32,'006360,신,GS건설,"35,000",▲,"1,100","+3.24","1,858,236","155.95","2.18%","64,519"
33,'103140,신,풍산,"87,600",▲,"5,400","+6.57","701,824","337.64","2.51%","61,679"
34,'019170,,신풍제약,"9,230",▼,"-1,320","-12.51","6,014,492","104.50","11.48%","60,746"
35,'001210,주,금호전기,"8,580",▼,"-120","-1.38","6,868,475","55.48","55.50%","60,011"
36,'240810,신,원익IPS,"112,300",▲,"5,900","+5.55","532,845","116.03","1.09%","57,267"
37,'267270,신,HD건설기계,"134,800",▲,"7,700","+6.06","433,769","87.34","0.91%","56,928"
38,'353200,신,대덕전자,"110,800",▲,"6,200","+5.93","515,546","74.36","1.05%","54,549"
39,'417030,,니어스랩,"29,200",▲,"550","+1.92","1,944,203","24.38","33.66%","54,501"
40,'192820,신,코스맥스,"289,000",▲,"3,000","+1.05","190,503","63.08","1.68%","54,200"
41,'003490,신,대한항공,"26,300",▲,"300","+1.15","2,053,749","71.13","0.56%","53,613"
42,'067310,신,하나마이크론,"37,600",▲,"3,100","+8.99","1,486,214","133.91","2.24%","53,104"
43,'336260,,두산퓨얼셀,"42,350",▲,"3,200","+8.17","1,314,113","79.37","2.01%","52,927"
44,'016360,신,삼성증권,"88,400",▲,"1,800","+2.08","595,456","50.50","0.67%","51,700"
45,'010170,경,대한광통신,"13,500",▲,"350","+2.66","3,882,500","62.16","2.50%","50,981"
46,'028050,신,삼성E&A,"45,850",▲,"1,050","+2.34","1,116,501","99.54","0.57%","50,409"
47,'277810,신,레인보우로보틱스,"454,500",▲,"10,000","+2.25","109,499","121.25","0.57%","48,646"
48,'006260,신,LS,"294,500",▲,"6,000","+2.08","160,185","43.46","0.52%","45,978"
49,'119850,신,지엔씨에너지,"50,900",▲,"1,900","+3.88","927,276","102.33","5.64%","44,612"
50,'009830,신,한화솔루션,"32,350",▲,"200","+0.62","1,370,963","95.76","0.61%","43,604"
51,'322000,신,HD현대에너지솔루션,"135,100",▲,"10,300","+8.25","329,637","186.72","2.95%","42,964"
52,'199430,증,케이엔알시스템,"14,420",▲,"1,980","+15.92","2,726,661","2,613.60","24.36%","41,391"
53,'028670,신,팬오션,"6,380",▲,"60","+0.95","6,430,072","69.51","1.21%","41,218"
54,'004020,신,현대제철,"30,100",▲,"2,100","+7.50","1,412,513","244.45","1.06%","41,214"
55,'214450,신,파마리서치,"414,500",▼,"-1,500","-0.36","98,280","75.35","0.95%","40,372"
56,'483650,신,달바글로벌,"233,000",▲,"500","+0.22","173,716","68.97","1.40%","40,240"
57,'039030,신,이오테크닉스,"401,500",▲,"13,500","+3.48","98,729","102.31","0.81%","38,688"
58,'215600,증,신라젠,"2,960",↑,"680","+29.82","13,784,336","1,817.73","9.95%","38,093"
59,'005290,신,동진쎄미켐,"43,650",▲,"1,650","+3.93","890,593","134.50","1.75%","37,521"
60,'477850,,마키나락스,"24,400",▼,"-2,350","-8.79","1,550,286","180.32","8.74%","37,053"
61,'095610,신,테스,"139,000",▲,"5,600","+4.20","273,090","86.77","1.42%","36,627"
62,'047770,,코데즈컴바인,"3,240",▲,"145","+4.68","10,674,917","764.54","28.21%","36,495"
63,'004170,신,신세계,"395,000",▼,"-5,500","-1.37","93,107","136.00","0.99%","36,327"
64,'051900,신,LG생활건강,"316,000", ,"0","0","114,079","159.56","0.77%","36,303"
65,'058470,신,리노공업,"67,400",▲,"2,800","+4.33","560,244","110.78","0.74%","36,173"
66,'103590,신,일진전기,"66,300",▲,"200","+0.30","554,850","181.25","1.17%","35,610"
67,'064400,신,LG씨엔에스,"73,000",▲,"700","+0.97","499,053","101.60","0.52%","35,511"
68,'299660,증,셀리드,"2,395",▲,"110","+4.81","13,599,142","295.54","46.10%","34,887"
69,'141080,신,리가켐바이오,"99,700",▼,"-3,200","-3.11","352,421","121.72","0.96%","34,367"
70,'459550,신,알트,"2,470",▲,"215","+9.53","13,477,865","188.94","53.44%","34,229"
71,'377300,신,카카오페이,"46,100",▲,"1,300","+2.90","752,674","81.10","0.56%","34,222"
72,'047050,신,포스코인터내셔널,"53,900",▲,"300","+0.56","631,551","74.01","0.36%","33,471"
73,'006340,신,대원전선,"13,330",▲,"450","+3.49","2,552,382","122.56","3.26%","33,086"
74,'039490,신,키움증권,"276,000",▲,"8,500","+3.18","122,279","140.01","0.47%","32,836"
75,'082740,신,한화엔진,"47,450",▲,"2,550","+5.68","704,170","100.53","0.85%","32,647"
76,'347850,신,디앤디파마텍,"56,200",▼,"-1,100","-1.92","593,209","59.43","1.30%","32,586"
77,'064260,,다날,"5,470",▲,"220","+4.19","6,042,999","74.42","7.99%","32,517"
78,'319660,신,피에스케이,"129,900",▲,"4,600","+3.67","256,959","65.44","0.89%","32,313"
79,'062040,신,산일전기,"169,300",▲,"4,200","+2.54","195,466","110.91","0.64%","32,020"
80,'298380,신,에이비엘바이오,"74,600",▼,"-1,200","-1.58","436,359","131.10","0.78%","31,551"
81,'237690,신,에스티팜,"106,700",▼,"-3,500","-3.18","299,522","45.72","1.44%","31,487"
82,'032820,경,우리기술,"12,300",▲,"500","+4.24","2,609,928","237.65","1.52%","31,329"
83,'073240,신,금호타이어,"7,000",▼,"-190","-2.64","4,439,914","95.57","1.55%","31,243"
84,'153890,,져스텍,"14,240",▲,"930","+6.99","2,122,978","152.59","17.62%","30,037"
