순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'002990,증,금호건설,"17,020",▲,"1,870","+12.34","34,995,263","999.99","93.93%","591,601"
2,'222800,신,심텍,"122,600",▼,"-4,300","-3.39","2,073,914","54.63","5.47%","264,069"
3,'001210,증,금호전기,"10,680",↑,"2,460","+29.93","25,717,024","997.49","207.80%","252,943"
4,'257720,신,실리콘투,"52,900",▲,"3,750","+7.63","3,562,469","35.80","5.44%","183,139"
5,'001820,신,삼화콘덴서,"110,200",▲,"1,900","+1.75","1,560,837","251.69","15.02%","177,818"
6,'030530,,원익홀딩스,"19,080",▼,"-1,170","-5.78","7,778,851","1,304.69","10.08%","163,798"
7,'041190,신,우리기술투자,"6,490",▲,"350","+5.70","22,055,727","500.35","26.26%","148,023"
8,'0155E0,,해치텍,"15,120",▼,"-1,730","-10.27","8,013,444","71.89","146.05%","142,638"
9,'000500,신,가온전선,"202,500",▼,"-9,000","-4.26","692,796","35.30","2.33%","141,573"
10,'128940,신,한미약품,"507,000",▲,"3,000","+0.60","275,822","72.18","2.16%","139,781"
11,'047040,신,대우건설,"19,690",▼,"-310","-1.55","7,078,116","31.98","1.73%","137,471"
12,'403870,신,HPSP,"51,100",▲,"600","+1.19","2,656,013","88.98","3.23%","137,069"
13,'214450,신,파마리서치,"460,500",▲,"28,000","+6.47","298,925","212.41","2.88%","135,272"
14,'062040,신,산일전기,"201,500", ,"0","0","656,127","35.70","2.15%","131,373"
15,'161890,신,한국콜마,"164,100",▲,"18,300","+12.55","807,353","232.25","3.43%","126,369"
16,'019170,,신풍제약,"10,120",▲,"1,280","+14.48","11,972,412","1,311.38","22.85%","121,515"
17,'032820,주,우리기술,"12,510",▲,"270","+2.21","9,432,185","351.43","5.46%","121,338"
18,'010170,증,대한광통신,"14,310",▼,"-550","-3.70","8,401,502","30.21","5.41%","121,127"
19,'192820,신,코스맥스,"301,500",▲,"18,500","+6.54","405,359","252.69","3.58%","120,686"
20,'036930,신,주성엔지니어링,"176,800",▼,"-2,300","-1.28","655,401","77.12","1.42%","117,102"
21,'066970,증,엘앤에프,"134,700",▲,"4,900","+3.78","770,374","65.36","1.90%","102,934"
22,'052690,신,한전기술,"121,500",▼,"-4,800","-3.80","828,254","53.94","2.17%","102,628"
23,'010060,신,OCI홀딩스,"272,500",▼,"-3,500","-1.27","360,374","106.11","1.94%","100,009"
24,'950260,,인제니아테라퓨틱스(Reg.S),"18,000",▲,"650","+3.75","5,462,815","75.33","11.05%","99,043"
25,'294570,신,쿠콘,"30,700",▲,"5,750","+23.05","3,315,382","1,129.24","32.86%","98,179"
26,'475150,,SK이터닉스,"55,800", ,"0","0","1,724,896","115.81","5.07%","97,333"
27,'007660,신,이수페타시스,"112,600",▼,"-200","-0.18","817,910","83.76","1.12%","92,588"
28,'090430,신,아모레퍼시픽,"150,200",▲,"7,800","+5.48","597,569","235.13","1.03%","89,179"
29,'067310,신,하나마이크론,"35,350",▼,"-3,400","-8.77","2,181,203","155.85","3.29%","79,197"
30,'353200,신,대덕전자,"107,600",▼,"-3,700","-3.32","703,956","80.47","1.43%","77,122"
31,'108490,신,로보티즈,"241,500",▼,"-13,500","-5.29","313,318","121.77","2.14%","76,304"
32,'080220,신,제주반도체,"76,700",▼,"-1,000","-1.29","943,875","97.70","2.75%","73,634"
33,'064400,신,LG씨엔에스,"75,800",▲,"1,400","+1.88","944,390","182.65","0.98%","71,408"
34,'096530,신,씨젠,"35,900",▲,"4,000","+12.54","2,039,557","622.37","3.91%","70,558"
35,'003350,신,한국화장품제조,"14,440",▲,"1,020","+7.60","4,736,396","393.01","20.91%","69,284"
36,'028050,신,삼성E&A,"48,750",▼,"-1,350","-2.69","1,383,575","55.80","0.71%","67,545"
37,'073240,신,금호타이어,"7,330",▲,"220","+3.09","8,516,217","259.07","2.97%","61,601"
38,'082740,신,한화엔진,"48,250",▼,"-50","-0.10","1,230,601","172.95","1.48%","59,818"
39,'234340,신,헥토파이낸셜,"23,400",▲,"2,200","+10.38","2,472,453","412.21","17.70%","57,563"
40,'006260,신,LS,"311,500",▼,"-1,500","-0.48","177,930","57.19","0.58%","56,023"
41,'240810,신,원익IPS,"111,100",▼,"-1,600","-1.42","498,871","90.62","1.02%","55,766"
42,'124500,,아이티센글로벌,"38,750",▲,"1,000","+2.65","1,414,641","155.41","6.10%","55,693"
43,'336260,,두산퓨얼셀,"45,300",▲,"100","+0.22","1,153,653","128.94","1.77%","52,754"
44,'298380,신,에이비엘바이오,"77,300",▲,"1,300","+1.71","673,715","184.80","1.21%","52,639"
45,'356680,신,엑스게이트,"12,020",▲,"220","+1.86","4,118,582","916.69","14.43%","51,843"
46,'006360,신,GS건설,"37,150",▲,"250","+0.68","1,406,803","51.20","1.65%","51,660"
47,'088350,신,한화생명,"5,950",▲,"470","+8.58","8,872,010","236.51","1.03%","51,533"
48,'004170,신,신세계,"405,500",▼,"-19,500","-4.59","121,418","132.29","1.29%","49,184"
49,'119850,신,지엔씨에너지,"51,700",▲,"1,400","+2.78","938,719","112.74","5.71%","49,151"
50,'178320,신,서진시스템,"38,950",▼,"-2,400","-5.80","1,223,966","43.40","1.93%","48,712"
51,'483650,신,달바글로벌,"226,500",▲,"4,000","+1.80","215,804","118.15","1.73%","48,512"
52,'058470,신,리노공업,"66,800",▲,"100","+0.15","712,675","112.93","0.94%","48,059"
53,'009830,신,한화솔루션,"33,750",▲,"350","+1.05","1,332,669","89.32","0.60%","44,573"
54,'356860,,티엘비,"39,650",▼,"-1,850","-4.46","1,085,808","50.18","4.59%","44,130"
55,'095610,신,테스,"142,900",▼,"-3,100","-2.12","305,854","59.18","1.58%","44,124"
56,'079900,신,전진건설로봇,"41,250",▲,"1,150","+2.87","1,025,034","158.94","7.03%","42,937"
57,'001440,신,대한전선,"29,700",▼,"-100","-0.34","1,421,670","50.73","0.73%","42,204"
58,'0220W0,신,한화머시너리앤서비스홀딩스,"7,440",▼,"-170","-2.23","5,582,913","79.24","6.61%","41,567"
59,'277810,신,레인보우로보틱스,"455,500",▼,"-15,500","-3.29","88,406","49.79","0.46%","40,500"
60,'086450,신,동국제약,"21,250",▲,"2,610","+14.00","1,920,029","368.98","4.25%","39,291"
61,'001450,신,현대해상,"52,700",▲,"3,750","+7.66","756,882","99.63","0.89%","38,718"
62,'387690,신,레메디,"12,750",▲,"1,670","+15.07","3,039,483","640.23","39.86%","38,320"
63,'103590,신,일진전기,"72,700",▼,"-2,400","-3.20","519,836","38.31","1.10%","38,125"
64,'083650,신,비에이치아이,"65,100",▲,"1,100","+1.72","586,228","98.81","1.90%","37,992"
65,'051900,신,LG생활건강,"315,500",▲,"17,000","+5.70","121,201","98.39","0.81%","37,820"
66,'417030,,니어스랩,"29,150",▼,"-550","-1.85","1,249,966","105.48","21.64%","37,783"
67,'079650,증,서산,"5,070",▲,"320","+6.74","7,123,826","783.89","35.62%","37,585"
68,'232140,신,와이씨,"11,350",▼,"-1,140","-9.13","3,208,405","32.43","3.92%","37,423"
69,'361610,신,SK아이이테크놀로지,"16,670",▼,"-1,550","-8.51","2,147,410","34.08","2.63%","36,599"
70,'950160,증,코오롱티슈진,"18,710",▼,"-30","-0.16","1,928,137","130.71","2.27%","36,511"
71,'462860,신,더즌,"2,950",▲,"165","+5.92","11,619,960","669.40","16.20%","35,993"
72,'0126Z0,신,삼성에피스홀딩스,"374,500",▼,"-11,500","-2.98","95,542","157.76","0.39%","35,564"
73,'108860,신,셀바스AI,"9,420",▼,"-110","-1.15","3,490,183","130.50","12.97%","35,206"
74,'267270,신,HD건설기계,"136,400",▼,"-4,200","-2.99","256,221","81.31","0.54%","34,955"
75,'000880,주,한화,"133,600",▲,"3,400","+2.61","263,479","33.94","0.50%","34,836"
76,'024840,신,KBI메탈,"5,750",▲,"160","+2.86","5,617,156","73.77","12.98%","32,470"
77,'058610,신,에스피지,"92,300",▼,"-1,900","-2.02","339,285","48.64","1.53%","31,460"
78,'004020,신,현대제철,"30,850",▼,"-600","-1.91","1,012,150","43.24","0.76%","31,355"
79,'005387,신,현대차2우B,"192,400",▼,"-6,300","-3.17","162,448","114.71","0.47%","31,289"
80,'000990,신,DB하이텍,"93,800",▼,"-1,600","-1.68","326,830","81.53","0.76%","30,597"
81,'131290,신,티에스이,"237,500",▼,"-15,500","-6.13","127,589","96.22","1.16%","30,583"
82,'004490,신,세방전지,"66,000",▲,"5,900","+9.82","459,764","519.68","3.32%","30,034"
83,'064260,,다날,"5,550",▲,"190","+3.54","5,332,354","199.67","7.05%","29,880"
84,'477850,,마키나락스,"24,600", ,"0","0","1,153,426","219.90","6.50%","29,769"
85,'039030,신,이오테크닉스,"397,000",▼,"-9,500","-2.34","73,572","84.64","0.60%","29,437"
86,'241710,,코스메카코리아,"154,100",▲,"15,100","+10.86","196,848","179.21","1.85%","29,327"
87,'382900,신,범한퓨얼셀,"18,030",▲,"1,250","+7.45","1,547,301","3,164.41","17.67%","29,241"
88,'352820,신,하이브,"179,300",▲,"800","+0.45","163,549","35.84","0.38%","29,113"
89,'004370,신,농심,"447,500",▲,"20,500","+4.80","65,356","96.13","1.08%","28,926"
