순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'010170,증,대한광통신,"14,040",▲,"2,580","+22.51","43,603,066","238.52","28.05%","584,057"
2,'080220,신,제주반도체,"87,700",▲,"12,300","+16.31","4,838,539","373.86","14.05%","417,611"
3,'010060,신,OCI홀딩스,"282,500",▲,"10,000","+3.67","1,190,995","51.47","6.38%","328,009"
4,'009830,신,한화솔루션,"35,250",▲,"1,350","+3.98","7,666,392","38.23","4.46%","268,124"
5,'062040,신,산일전기,"183,900",▲,"26,600","+16.91","1,311,020","289.12","4.28%","235,973"
6,'036930,신,주성엔지니어링,"144,800",▲,"17,000","+13.30","1,584,576","188.85","3.41%","223,808"
7,'222800,신,심텍,"115,600",▲,"5,600","+5.09","1,503,652","83.60","4.02%","173,966"
8,'006360,신,GS건설,"34,900",▲,"3,250","+10.27","4,877,996","211.36","5.70%","167,025"
9,'214450,신,파마리서치,"410,000",▲,"31,500","+8.32","401,659","37.24","3.87%","160,311"
10,'095610,신,테스,"144,100",▲,"19,500","+15.65","1,124,320","204.10","5.81%","158,212"
11,'017900,신,광전자,"8,910",▲,"1,100","+14.08","16,496,300","74.84","28.47%","150,078"
12,'477850,,마키나락스,"32,850",▲,"3,800","+13.08","4,316,827","198.00","24.32%","140,832"
13,'240810,신,원익IPS,"98,400",▲,"10,100","+11.44","1,428,345","128.22","2.92%","137,474"
14,'066970,증,엘앤에프,"100,900",▲,"10,700","+11.86","1,359,305","60.73","3.35%","130,957"
15,'006340,신,대원전선,"14,950",▲,"1,160","+8.41","8,883,786","127.79","11.33%","128,356"
16,'347850,신,디앤디파마텍,"65,700",▲,"8,200","+14.26","1,884,259","165.66","4.12%","120,136"
17,'475150,,SK이터닉스,"51,300",▲,"800","+1.58","2,330,884","45.13","6.85%","118,727"
18,'058610,,에스피지,"107,300",▲,"5,600","+5.51","1,117,016","84.66","5.04%","116,893"
19,'043260,,성호전자,"20,650",▲,"3,440","+19.99","5,722,816","260.61","7.98%","113,907"
20,'277810,신,레인보우로보틱스,"488,500",▲,"23,500","+5.05","234,989","80.24","1.22%","112,382"
21,'119850,,지엔씨에너지,"53,100",▲,"800","+1.53","1,936,012","69.55","11.77%","99,479"
22,'047040,신,대우건설,"17,030",▲,"620","+3.78","5,695,649","103.30","1.39%","96,245"
23,'087010,증,펩트론,"182,800",▲,"1,000","+0.55","510,925","171.17","2.20%","95,258"
24,'108490,,로보티즈,"245,500",▲,"16,000","+6.97","384,669","130.78","2.63%","93,743"
25,'007660,신,이수페타시스,"92,200",▲,"9,900","+12.03","1,011,174","177.57","1.38%","91,033"
26,'000250,증,삼천당제약,"188,700",▲,"24,000","+14.57","498,480","263.25","2.13%","90,018"
27,'353200,,대덕전자,"107,600",▲,"3,800","+3.66","813,141","118.92","1.65%","88,557"
28,'141080,신,리가켐바이오,"120,400",▲,"7,200","+6.36","740,595","175.64","2.01%","88,247"
29,'089970,신,브이엠,"68,800",▲,"8,300","+13.72","1,285,122","105.55","4.89%","86,308"
30,'950160,증,코오롱티슈진,"19,330",▲,"1,670","+9.46","4,443,401","190.61","5.23%","86,132"
31,'319660,신,피에스케이,"133,800",▲,"15,400","+13.01","652,358","150.19","2.26%","84,459"
32,'003230,신,삼양식품,"1,285,000",▼,"-21,000","-1.61","64,160","66.92","0.86%","82,323"
33,'298380,신,에이비엘바이오,"93,900",▲,"7,300","+8.43","876,887","152.89","1.57%","80,858"
34,'073240,신,금호타이어,"7,340",▼,"-470","-6.02","10,543,687","47.07","3.68%","79,274"
35,'226950,증,올릭스,"138,500",▲,"17,300","+14.27","590,414","272.40","2.81%","79,273"
36,'322000,신,HD현대에너지솔루션,"120,300",▼,"-7,500","-5.87","655,238","62.03","5.86%","78,898"
37,'218410,신,RFHIC,"54,300",▲,"5,850","+12.07","1,471,146","164.88","5.54%","77,545"
38,'466100,신,클로봇,"33,100",▲,"1,300","+4.09","2,280,412","62.83","8.96%","75,006"
39,'403870,신,HPSP,"36,950",▲,"2,550","+7.41","2,009,472","149.49","2.45%","73,113"
40,'028300,증,HLB,"40,550",▲,"3,250","+8.71","1,818,536","124.92","1.37%","72,299"
41,'347700,증,스피어,"25,100",▲,"2,050","+8.89","2,655,452","85.03","5.16%","67,329"
42,'001440,신,대한전선,"28,900",▲,"1,800","+6.64","2,349,262","157.94","1.20%","66,803"
43,'090430,신,아모레퍼시픽,"134,800",▼,"-7,000","-4.94","485,950","81.47","0.84%","65,309"
44,'304100,신,솔트룩스,"18,490",▲,"1,530","+9.02","3,404,984","291.01","27.04%","62,239"
45,'090360,주,로보스타,"85,600",▼,"-1,500","-1.72","725,623","57.42","7.45%","61,207"
46,'058470,신,리노공업,"70,900",▲,"5,200","+7.91","883,172","147.62","1.16%","61,143"
47,'016360,신,삼성증권,"93,000",▲,"2,000","+2.20","652,341","72.00","0.74%","60,124"
48,'078600,신,대주전자재료,"97,900",▲,"9,700","+11.00","617,776","107.86","3.94%","58,828"
49,'100790,신,미래에셋벤처투자,"16,350",▲,"2,160","+15.22","3,522,875","1,334.10","6.64%","58,689"
50,'069540,경,빛과전자,"3,115",▲,"110","+3.66","18,536,018","43.11","16.45%","58,496"
51,'000990,신,DB하이텍,"91,900",▲,"7,800","+9.27","636,609","108.32","1.47%","57,645"
52,'439960,,코스모로보틱스,"18,160",▲,"1,030","+6.01","3,206,122","142.03","9.89%","57,270"
53,'028050,신,삼성E&A,"48,800",▲,"700","+1.46","1,174,281","65.92","0.60%","57,001"
54,'000500,신,가온전선,"162,200",▲,"14,500","+9.82","362,405","116.00","1.22%","56,458"
55,'067310,신,하나마이크론,"33,850",▲,"3,850","+12.83","1,689,713","224.47","2.55%","56,064"
56,'295310,신,에이치브이엠,"55,100",▲,"4,900","+9.76","973,966","140.66","8.02%","56,023"
57,'064400,신,LG씨엔에스,"73,600",▲,"1,000","+1.38","735,272","82.38","0.76%","53,668"
58,'032820,증,우리기술,"12,250",▲,"1,050","+9.38","4,132,623","194.53","2.40%","49,540"
59,'336260,,두산퓨얼셀,"32,700",▲,"2,150","+7.04","1,554,640","94.93","2.38%","49,383"
60,'352820,신,하이브,"183,600",▼,"-1,400","-0.76","268,808","86.86","0.63%","49,280"
61,'082740,,한화엔진,"46,300",▲,"3,800","+8.94","1,079,818","106.98","1.30%","49,208"
62,'003490,신,대한항공,"26,850",▼,"-300","-1.10","1,812,655","98.79","0.50%","48,333"
