순위,종목코드,분,종목명,현재가,대비,,등락률,거래량,전일비,회전율,금액(백만)
1,'002990,주,금호건설,"14,370",▼,"-560","-3.75","33,305,487","157.76","89.39%","531,443"
2,'487400,증,케이앤에스아이앤씨,"15,380",▲,"4,380","+39.82","24,697,201","","240.70%","501,033"
3,'475150,,SK이터닉스,"57,100",▲,"4,400","+8.35","7,342,629","253.01","21.56%","421,351"
4,'001820,신,삼화콘덴서,"103,300",▲,"15,300","+17.39","3,996,623","335.81","38.45%","415,130"
5,'036930,신,주성엔지니어링,"179,300",▲,"5,300","+3.05","1,715,731","65.01","3.70%","307,112"
6,'161890,신,한국콜마,"135,200",▲,"2,700","+2.04","2,138,852","49.77","9.07%","291,470"
7,'073240,신,금호타이어,"8,140",▲,"720","+9.70","35,816,684","194.88","12.47%","285,708"
8,'483650,신,달바글로벌,"236,000",▼,"-26,000","-9.92","1,077,527","189.32","8.63%","268,988"
9,'006340,신,대원전선,"15,110",▼,"-920","-5.74","15,529,715","56.14","19.81%","241,269"
10,'010060,신,OCI홀딩스,"278,000",▲,"22,000","+8.59","861,414","111.68","4.62%","234,745"
11,'332570,신,PS일렉트로닉스,"11,160",↑,"2,570","+29.92","19,367,255","1,066.30","41.47%","206,288"
12,'119850,신,지엔씨에너지,"55,400",▲,"7,200","+14.94","3,743,272","206.15","22.76%","203,483"
13,'222800,신,심텍,"105,800",▲,"1,200","+1.15","1,867,377","62.64","4.99%","199,197"
14,'009830,신,한화솔루션,"36,550",▲,"850","+2.38","5,411,085","127.98","2.41%","196,220"
15,'080220,,제주반도체,"88,300",▲,"1,300","+1.49","2,100,190","105.62","6.10%","188,379"
16,'257720,신,실리콘투,"40,800",▼,"-4,450","-9.83","4,438,765","47.66","6.77%","187,659"
17,'214450,신,파마리서치,"425,500",▲,"17,500","+4.29","377,071","124.95","3.63%","154,327"
18,'950160,증,코오롱티슈진,"25,600",▲,"4,250","+19.91","6,180,659","164.45","7.28%","151,975"
19,'240810,신,원익IPS,"120,000",▲,"8,500","+7.62","1,212,444","74.33","2.48%","142,901"
20,'336260,,두산퓨얼셀,"38,100",▲,"2,300","+6.42","3,198,184","271.92","4.89%","126,647"
21,'108490,신,로보티즈,"261,000",▲,"13,500","+5.45","486,960","143.16","3.33%","126,598"
22,'103590,신,일진전기,"72,400",▼,"-100","-0.14","1,665,931","47.01","3.50%","123,367"
23,'353200,신,대덕전자,"113,000",▲,"5,800","+5.41","1,055,181","159.76","2.14%","122,574"
24,'078930,신,GS,"107,400",▲,"6,400","+6.34","1,102,106","105.71","1.19%","119,609"
25,'100790,신,미래에셋벤처투자,"17,570",▲,"1,360","+8.39","6,332,798","711.72","11.93%","118,836"
26,'010170,경,대한광통신,"13,240",▼,"-270","-2.00","8,549,975","77.82","5.50%","116,086"
27,'006360,신,GS건설,"35,700",▲,"500","+1.42","3,197,346","115.03","3.74%","114,894"
28,'403870,신,HPSP,"41,200",▲,"2,550","+6.60","2,819,614","167.00","3.43%","114,537"
29,'000500,신,가온전선,"167,000",▲,"5,000","+3.09","667,799","161.28","2.25%","114,508"
30,'058610,신,에스피지,"112,200", ,"0","0","1,001,098","88.05","4.52%","112,535"
31,'090460,신,비에이치,"19,250",▲,"780","+4.22","5,802,861","74.81","17.22%","110,514"
32,'181710,신,NHN,"66,700",▲,"5,400","+8.81","1,701,119","55.86","5.20%","109,908"
33,'007660,신,이수페타시스,"96,800",▲,"6,700","+7.44","1,116,270","166.17","1.53%","107,436"
34,'277810,신,레인보우로보틱스,"497,000",▲,"7,000","+1.43","215,936","101.34","1.12%","106,837"
35,'469610,신,이노테크,"17,730",▲,"2,290","+14.83","6,027,762","221.61","67.41%","106,290"
36,'095610,신,테스,"145,000",▼,"-900","-0.62","696,687","93.04","3.60%","102,479"
37,'047040,신,대우건설,"18,400",▲,"570","+3.20","5,555,217","110.88","1.36%","102,028"
38,'035900,신,JYP Ent.,"40,850",▼,"-5,150","-11.20","2,332,533","528.82","6.57%","97,563"
39,'003230,신,삼양식품,"1,219,000",▲,"15,000","+1.25","80,252","65.11","1.07%","96,981"
40,'016360,신,삼성증권,"92,500",▼,"-600","-0.64","1,033,351","209.19","1.16%","96,628"
41,'062040,신,산일전기,"188,000",▼,"-1,100","-0.58","492,798","71.86","1.61%","94,465"
42,'352820,신,하이브,"176,400",▼,"-3,100","-1.73","500,352","187.43","1.17%","88,764"
43,'153890,,져스텍,"13,270",▲,"590","+4.65","6,274,453","91.70","52.07%","87,876"
44,'192820,신,코스맥스,"249,000",▼,"-500","-0.20","346,507","34.11","3.06%","87,767"
45,'028050,신,삼성E&A,"49,000",▼,"-300","-0.61","1,768,691","125.66","0.91%","87,240"
46,'000990,신,DB하이텍,"99,700",▲,"4,600","+4.84","847,665","170.09","1.95%","85,704"
47,'043260,,성호전자,"21,000",▲,"1,070","+5.37","3,943,803","217.10","5.50%","84,734"
48,'064400,신,LG씨엔에스,"78,400",▲,"1,100","+1.42","1,048,916","62.33","1.09%","82,391"
49,'001440,신,대한전선,"30,100",▲,"650","+2.21","2,694,023","121.41","1.38%","82,242"
50,'082740,신,한화엔진,"48,250",▲,"3,050","+6.75","1,657,373","260.25","1.99%","79,736"
51,'388050,신,지투파워,"10,430",↑,"2,400","+29.89","8,288,766","6,184.13","44.31%","79,064"
52,'039030,신,이오테크닉스,"378,500",▼,"-7,000","-1.82","198,417","166.90","1.62%","77,698"
53,'066970,증,엘앤에프,"102,600",▲,"3,200","+3.22","751,223","112.98","1.85%","77,302"
54,'226950,증,올릭스,"112,500",▼,"-1,000","-0.88","691,975","66.69","3.29%","77,041"
55,'003490,신,대한항공,"26,100",▼,"-400","-1.51","2,923,497","201.18","0.80%","76,747"
56,'088350,신,한화생명,"5,030",▲,"330","+7.02","14,497,870","434.31","1.67%","75,081"
57,'093370,신,후성,"11,960",▲,"1,010","+9.22","6,313,002","217.24","5.89%","74,809"
58,'000490,신,대동,"8,480",▲,"730","+9.42","8,148,046","2,632.08","28.27%","73,142"
59,'000250,증,삼천당제약,"189,800",▲,"3,600","+1.93","379,915","119.45","1.62%","72,900"
60,'006910,신,보성파워텍,"7,850",▲,"600","+8.28","9,020,240","1,039.91","18.37%","72,133"
61,'126730,신,코칩,"20,450",▲,"760","+3.86","3,270,043","96.25","37.29%","71,035"
62,'347850,신,디앤디파마텍,"61,700",▲,"1,200","+1.98","1,136,869","125.19","2.49%","70,979"
63,'004170,신,신세계,"419,500",▲,"20,500","+5.14","170,825","64.19","1.81%","70,705"
64,'241710,신,코스메카코리아,"124,500",▲,"1,100","+0.89","548,364","52.67","5.14%","70,023"
65,'087010,주,펩트론,"196,700",▲,"10,300","+5.53","358,501","155.41","1.54%","69,686"
66,'125490,신,한라캐스트,"10,830",▲,"1,900","+21.28","6,499,021","2,165.37","17.81%","68,121"
